time,Orlando,pts.away,score,pts.home,Golden State
4:26.0,M. Speights misses 2-pt shot from 2 ft (block by N. Young),,84-104,,
4:20.0,,,84-104,,Defensive rebound by K. Looney
4:14.0,Personal foul by B. Biyombo (drawn by K. Looney),,84-104,,
4:05.0,,,84-104,,P. McCaw misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by M. Speights,,84-104,,
3:57.0,M. Hezonja makes 2-pt shot from 2 ft,2,86-104,,
3:40.0,,,86-104,,Turnover by P. McCaw (bad pass)
3:25.0,B. Biyombo makes 2-pt shot from 2 ft (assist by M. Hezonja),2,88-104,,
3:08.0,,,88-104,,N. Young misses 3-pt shot from 26 ft
3:03.0,Defensive rebound by B. Biyombo,,88-104,,
2:50.0,A. Afflalo makes 3-pt shot from 23 ft (assist by S. Mack),3,91-104,,
2:37.0,,,91-104,,Turnover by O. Casspi (offensive goaltending)
2:37.0,,,91-104,,J. McGee enters the game for O. Casspi
2:18.0,B. Biyombo makes 2-pt shot from 8 ft (assist by M. Hezonja),2,93-104,,
2:04.0,,,93-104,,Shooting foul by M. Hezonja (drawn by N. Young)
2:04.0,,,93-105,1,N. Young makes free throw 1 of 2
2:04.0,,,93-106,1,N. Young makes free throw 2 of 2
1:43.0,M. Speights misses 2-pt shot from 15 ft,,93-106,,
1:41.0,Offensive rebound by Team,,93-106,,
1:41.0,,,93-106,,Loose ball foul by K. Looney (drawn by B. Biyombo)
1:35.0,S. Mack makes 3-pt shot from 25 ft,3,96-106,,
1:14.0,,,96-106,,K. Looney misses 2-pt shot from 1 ft (block by M. Speights)
1:11.0,,,96-106,,Offensive rebound by K. Looney
1:07.0,,,96-108,2,K. Looney makes 2-pt shot from 15 ft
1:00.0,M. Speights makes 3-pt shot from 29 ft (assist by S. Mack),3,99-108,,
0:50.0,,,99-108,,N. Young misses 3-pt shot from 22 ft
0:46.0,Defensive rebound by M. Speights,,99-108,,
0:44.0,A. Afflalo misses 3-pt shot from 26 ft,,99-108,,
0:41.0,,,99-108,,Defensive rebound by Team
0:26.0,Personal foul by M. Speights (drawn by J. McGee),,99-108,,
0:26.0,,,99-109,1,J. McGee makes free throw 1 of 2
0:26.0,,,99-110,1,J. McGee makes free throw 2 of 2
0:21.0,,,99-110,,Personal foul by Q. Cook (drawn by S. Mack)
0:21.0,S. Mack misses free throw 1 of 2,,99-110,,
0:21.0,Offensive rebound by Team,,99-110,,
0:21.0,S. Mack makes free throw 2 of 2,1,100-110,,
