time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Turner (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. M. Turner (G. Antetokounmpo gains possession)
11:42.0,,,0-0,,Turnover by K. Middleton (bad pass)
11:24.0,L. Stephenson makes 3-pt shot from 27 ft (assist by D. Collison),3,3-0,,
11:07.0,,,3-0,,T. Snell misses 2-pt shot at rim (block by M. Turner)
11:07.0,,,3-0,,Offensive rebound by Team
11:07.0,Personal foul by B. Bogdanovic (drawn by G. Antetokounmpo),,3-0,,
11:01.0,,,3-2,2,K. Middleton makes 2-pt shot from 18 ft (assist by J. Henson)
10:40.0,Turnover by M. Turner (turnover),,3-2,,
10:29.0,,,3-4,2,K. Middleton makes 2-pt shot from 17 ft
10:20.0,B. Bogdanovic misses 2-pt shot from 15 ft,,3-4,,
10:20.0,Offensive rebound by Team,,3-4,,
10:14.0,B. Bogdanovic misses 2-pt shot from 20 ft,,3-4,,
10:14.0,,,3-4,,Defensive rebound by E. Bledsoe
10:03.0,,,3-4,,J. Henson misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by D. Collison,,3-4,,
9:50.0,D. Collison makes 2-pt shot from 15 ft,2,5-4,,
9:35.0,,,5-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
9:12.0,,,5-6,,Personal foul by E. Bledsoe (drawn by M. Turner)
9:00.0,D. Collison misses 3-pt shot from 26 ft,,5-6,,
8:56.0,,,5-6,,Defensive rebound by J. Henson
8:48.0,,,5-9,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:27.0,T. Young misses 2-pt shot from 18 ft,,5-9,,
8:24.0,,,5-9,,Defensive rebound by J. Henson
8:14.0,,,5-11,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by E. Bledsoe)
7:48.0,T. Young misses 3-pt shot from 22 ft,,5-11,,
7:45.0,,,5-11,,Defensive rebound by G. Antetokounmpo
7:44.0,,,5-11,,Shooting foul by T. Young (drawn by J. Henson)
7:44.0,,,5-12,1,J. Henson makes free throw 2 of 2
7:44.0,,,5-12,,J. Henson misses free throw 1 of 2
7:44.0,,,5-12,,Offensive rebound by Team
