time,Washington,pts.away,score,pts.home,New York
2:54.0,,,112-106,2,M. Beasley makes 2-pt shot from 2 ft (assist by J. Jack)
2:36.0,B. Beal makes 2-pt shot from 1 ft,2,114-106,,
2:36.0,,,114-106,,New York full timeout
2:25.0,Violation by B. Beal (kicked ball),,114-106,,
2:16.0,,,114-108,2,M. Beasley makes 2-pt shot from 14 ft
1:55.0,B. Beal misses 2-pt shot from 2 ft (block by E. Kanter),,114-108,,
1:53.0,,,114-108,,Defensive rebound by M. Beasley
1:47.0,,,114-110,2,M. Beasley makes 2-pt shot from 8 ft
1:29.0,T. Satoransky misses 3-pt shot from 24 ft,,114-110,,
1:28.0,,,114-110,,Defensive rebound by E. Kanter
1:18.0,,,114-110,,Turnover by T. Hardaway (lost ball; steal by B. Beal)
1:16.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,116-110,,
1:08.0,,,116-110,,J. Jack misses 2-pt shot from 1 ft (block by T. Satoransky)
1:06.0,Defensive rebound by B. Beal,,116-110,,
1:00.0,Washington full timeout,,116-110,,
0:44.0,B. Beal misses 2-pt shot from 18 ft,,116-110,,
0:42.0,,,116-110,,Defensive rebound by J. Jack
0:38.0,,,116-110,,M. Beasley misses 2-pt shot from 11 ft
0:36.0,Defensive rebound by O. Porter,,116-110,,
0:23.0,,,116-110,,Personal take foul by J. Jack (drawn by B. Beal)
0:23.0,B. Beal makes free throw 1 of 2,1,117-110,,
0:23.0,B. Beal makes free throw 2 of 2,1,118-110,,
0:14.0,,,118-113,3,J. Jack makes 3-pt shot from 26 ft
0:14.0,Turnover by I. Mahinmi (bad pass),,118-113,,
0:11.0,,,118-113,,T. Hardaway misses 2-pt shot from 11 ft
0:09.0,Defensive rebound by K. Oubre,,118-113,,
