time,Washington,pts.away,score,pts.home,New York
5:23.0,O. Porter makes 2-pt shot from 20 ft (assist by T. Satoransky),2,15-22,,
5:06.0,,,15-24,2,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway)
4:47.0,T. Satoransky misses 3-pt shot from 24 ft,,15-24,,
4:45.0,,,15-24,,Defensive rebound by J. Jack
4:37.0,,,15-26,2,E. Kanter makes 2-pt shot from 19 ft
4:20.0,O. Porter misses 3-pt shot from 26 ft,,15-26,,
4:18.0,,,15-26,,Defensive rebound by C. Lee
4:13.0,,,15-28,2,T. Hardaway makes 2-pt shot from 1 ft (assist by C. Lee)
4:07.0,Washington full timeout,,15-28,,
4:07.0,,,15-28,,L. Thomas enters the game for M. Beasley
4:07.0,,,15-28,,E. Mudiay enters the game for J. Jack
4:07.0,I. Mahinmi enters the game for M. Gortat,,15-28,,
3:56.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by O. Porter),2,17-28,,
3:34.0,,,17-30,2,T. Hardaway makes 2-pt shot from 22 ft (assist by E. Mudiay)
3:16.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Satoransky),2,19-30,,
3:06.0,,,19-30,,C. Lee misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by I. Mahinmi,,19-30,,
3:00.0,,,19-30,,Personal foul by C. Lee (drawn by K. Oubre)
3:00.0,,,19-30,,K. O'Quinn enters the game for E. Kanter
3:00.0,J. Meeks enters the game for O. Porter,,19-30,,
2:52.0,Shooting foul by K. O'Quinn (drawn by I. Mahinmi),,19-30,,
2:52.0,I. Mahinmi misses free throw 1 of 2,,19-30,,
2:52.0,Offensive rebound by Team,,19-30,,
2:52.0,I. Mahinmi makes free throw 2 of 2,1,20-30,,
2:33.0,,,20-30,,Shooting foul by T. Satoransky (drawn by T. Hardaway)
2:33.0,,,20-30,,F. Ntilikina enters the game for C. Lee
2:33.0,M. Scott enters the game for T. Satoransky,,20-30,,
2:33.0,,,20-31,1,T. Hardaway makes free throw 1 of 3
2:33.0,,,20-32,1,T. Hardaway makes free throw 2 of 3
2:33.0,,,20-33,1,T. Hardaway makes free throw 3 of 3
2:20.0,Turnover by K. Oubre (lost ball; steal by E. Mudiay),,20-33,,
2:13.0,,,20-35,2,T. Hardaway makes 2-pt shot from 11 ft
2:00.0,K. Oubre misses 3-pt shot from 24 ft,,20-35,,
1:59.0,Offensive rebound by Team,,20-35,,
1:57.0,Shooting foul by F. Ntilikina (drawn by J. Meeks),,20-35,,
1:57.0,J. Meeks makes free throw 1 of 2,1,21-35,,
1:57.0,J. Meeks makes free throw 2 of 2,1,22-35,,
1:48.0,,,22-37,2,E. Mudiay makes 2-pt shot from 21 ft
1:33.0,B. Beal misses 2-pt shot from 2 ft,,22-37,,
1:31.0,Offensive rebound by I. Mahinmi,,22-37,,
1:31.0,I. Mahinmi misses 2-pt shot at rim,,22-37,,
1:30.0,Offensive rebound by I. Mahinmi,,22-37,,
1:30.0,I. Mahinmi makes 2-pt shot at rim,2,24-37,,
1:16.0,,,24-37,,Turnover by F. Ntilikina (bad pass; steal by I. Mahinmi)
1:05.0,Turnover by B. Beal (lost ball; steal by E. Mudiay),,24-37,,
1:01.0,Jump ball: E. Mudiay vs. B. Beal (M. Scott gains possession),,,,Jump ball: E. Mudiay vs. B. Beal (M. Scott gains possession)
1:01.0,,,24-37,,Turnover by E. Mudiay (turnover; steal by B. Beal)
0:50.0,B. Beal misses 2-pt shot from 10 ft,,24-37,,
0:48.0,,,24-37,,Defensive rebound by T. Hardaway
0:36.0,,,24-39,2,L. Thomas makes 2-pt shot from 2 ft
0:12.0,B. Beal makes 2-pt shot from 15 ft,2,26-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-41,2,F. Ntilikina makes 2-pt shot from 5 ft
11:23.0,,,26-41,,Personal foul by E. Mudiay (drawn by M. Scott)
11:19.0,J. Meeks makes 2-pt shot from 18 ft (assist by O. Porter),2,28-41,,
11:02.0,,,28-41,,K. O'Quinn misses 2-pt shot from 2 ft (block by I. Mahinmi)
11:00.0,Defensive rebound by I. Mahinmi,,28-41,,
10:57.0,M. Scott misses 2-pt shot from 17 ft,,28-41,,
10:54.0,,,28-41,,Defensive rebound by E. Mudiay
10:48.0,,,28-43,2,E. Mudiay makes 2-pt shot at rim
10:48.0,,,28-43,,Shooting foul by J. Meeks (drawn by E. Mudiay)
10:48.0,,,28-43,,E. Mudiay misses free throw 1 of 1
10:46.0,Defensive rebound by I. Mahinmi,,28-43,,
10:26.0,M. Scott misses 2-pt shot from 7 ft,,28-43,,
10:24.0,,,28-43,,Defensive rebound by M. Beasley
10:13.0,,,28-45,2,M. Beasley makes 2-pt shot from 22 ft (assist by F. Ntilikina)
10:12.0,Washington full timeout,,28-45,,
9:56.0,Shooting foul by K. O'Quinn (drawn by I. Mahinmi),,28-45,,
9:56.0,I. Mahinmi makes free throw 1 of 2,1,29-45,,
9:56.0,I. Mahinmi misses free throw 2 of 2,,29-45,,
9:54.0,,,29-45,,Defensive rebound by M. Beasley
9:42.0,,,29-45,,E. Mudiay misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by M. Scott,,29-45,,
9:28.0,M. Scott makes 2-pt shot from 16 ft (assist by J. Meeks),2,31-45,,
9:11.0,,,31-45,,Turnover by E. Mudiay (traveling)
9:11.0,,,31-45,,C. Lee enters the game for F. Ntilikina
9:02.0,Shooting foul by C. Lee (drawn by J. Meeks),,31-45,,
9:02.0,J. Meeks makes free throw 1 of 2,1,32-45,,
9:02.0,J. Meeks makes free throw 2 of 2,1,33-45,,
8:45.0,,,33-47,2,M. Beasley makes 2-pt shot from 8 ft
8:31.0,M. Scott misses 2-pt shot from 2 ft,,33-47,,
8:29.0,,,33-47,,Defensive rebound by M. Beasley
8:26.0,,,33-47,,C. Lee misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by Team,,33-47,,
8:07.0,K. Oubre misses 2-pt shot from 21 ft,,33-47,,
8:05.0,,,33-47,,Defensive rebound by K. O'Quinn
7:58.0,,,33-47,,Turnover by E. Mudiay (bad pass; steal by J. Meeks)
7:53.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Meeks),2,35-47,,
7:53.0,,,35-47,,New York full timeout
7:53.0,,,35-47,,T. Hardaway enters the game for L. Thomas
7:41.0,,,35-47,,M. Beasley misses 2-pt shot from 1 ft
7:39.0,,,35-47,,Offensive rebound by K. O'Quinn
7:39.0,,,35-49,2,K. O'Quinn makes 2-pt shot at rim
7:28.0,K. Oubre misses 3-pt shot from 25 ft,,35-49,,
7:26.0,,,35-49,,Defensive rebound by T. Hardaway
7:14.0,,,35-49,,M. Beasley misses 2-pt shot from 9 ft
7:12.0,Defensive rebound by J. Meeks,,35-49,,
7:03.0,I. Mahinmi makes 2-pt shot at rim (assist by O. Porter),2,37-49,,
6:52.0,,,37-49,,Shooting foul by K. Oubre (drawn by E. Mudiay)
6:52.0,,,37-49,,E. Kanter enters the game for K. O'Quinn
6:52.0,B. Beal enters the game for J. Meeks,,37-49,,
6:52.0,M. Morris enters the game for M. Scott,,37-49,,
6:52.0,,,37-50,1,E. Mudiay makes free throw 1 of 2
6:52.0,,,37-51,1,E. Mudiay makes free throw 2 of 2
6:38.0,O. Porter makes 2-pt shot from 18 ft,2,39-51,,
6:21.0,,,39-51,,M. Beasley misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by K. Oubre,,39-51,,
6:08.0,,,39-51,,J. Jack enters the game for E. Mudiay
6:04.0,M. Morris misses 2-pt shot from 19 ft,,39-51,,
6:02.0,,,39-51,,Defensive rebound by E. Kanter
5:48.0,,,39-53,2,T. Hardaway makes 2-pt shot from 22 ft (assist by E. Kanter)
5:33.0,O. Porter misses 2-pt shot from 12 ft,,39-53,,
5:31.0,Offensive rebound by I. Mahinmi,,39-53,,
5:29.0,I. Mahinmi makes 2-pt shot from 7 ft,2,41-53,,
5:20.0,,,41-56,3,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Kanter)
5:03.0,Turnover by I. Mahinmi (bad pass; steal by T. Hardaway),,41-56,,
4:59.0,,,41-58,2,C. Lee makes 2-pt shot at rim (assist by E. Kanter)
4:58.0,Washington full timeout,,41-58,,
4:58.0,T. Satoransky enters the game for K. Oubre,,41-58,,
4:47.0,O. Porter misses 3-pt shot from 25 ft,,41-58,,
4:45.0,,,41-58,,Defensive rebound by M. Beasley
4:38.0,,,41-60,2,T. Hardaway makes 2-pt shot at rim (assist by J. Jack)
4:24.0,Turnover by I. Mahinmi (lost ball; steal by J. Jack),,41-60,,
4:23.0,Personal foul by I. Mahinmi (drawn by J. Jack),,41-60,,
4:23.0,M. Gortat enters the game for I. Mahinmi,,41-60,,
4:06.0,,,41-63,3,T. Hardaway makes 3-pt shot from 26 ft
3:40.0,M. Morris misses 2-pt shot from 20 ft,,41-63,,
3:38.0,,,41-63,,Defensive rebound by T. Hardaway
3:31.0,,,41-66,3,T. Hardaway makes 3-pt shot from 27 ft
3:08.0,O. Porter misses 2-pt shot from 14 ft,,41-66,,
3:07.0,,,41-66,,Defensive rebound by E. Kanter
2:56.0,,,41-68,2,T. Hardaway makes 2-pt shot from 13 ft
2:34.0,M. Morris makes 2-pt shot from 7 ft (assist by T. Satoransky),2,43-68,,
2:18.0,Personal foul by B. Beal (drawn by T. Hardaway),,43-68,,
2:12.0,,,43-68,,T. Hardaway misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by M. Morris,,43-68,,
2:03.0,B. Beal makes 3-pt shot from 25 ft,3,46-68,,
1:48.0,,,46-68,,Turnover by J. Jack (bad pass; steal by B. Beal)
1:45.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris),2,48-68,,
1:45.0,,,48-68,,New York full timeout
1:33.0,,,48-70,2,M. Beasley makes 2-pt shot from 1 ft (assist by C. Lee)
1:12.0,Turnover by M. Morris (traveling),,48-70,,
0:57.0,,,48-72,2,E. Kanter makes 2-pt shot from 1 ft
0:47.0,B. Beal misses 3-pt shot from 26 ft,,48-72,,
0:46.0,Offensive rebound by M. Gortat,,48-72,,
0:46.0,M. Gortat misses 2-pt shot at rim,,48-72,,
0:41.0,,,48-72,,Defensive rebound by E. Kanter
0:29.0,,,48-72,,E. Kanter misses 2-pt shot from 7 ft
0:29.0,Defensive rebound by M. Morris,,48-72,,
0:08.0,B. Beal makes 2-pt shot at rim,2,50-72,,
0:08.0,Shooting foul by E. Kanter (drawn by B. Beal),,50-72,,
0:08.0,B. Beal makes free throw 1 of 1,1,51-72,,
0:01.0,,,51-72,,C. Lee misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by M. Morris,,51-72,,
0:00.0,M. Morris misses 3-pt shot from 60 ft,,51-72,,
0:00.0,Offensive rebound by Team,,51-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,51-72,,Shooting foul by M. Gortat (drawn by E. Kanter)
11:52.0,,,51-73,1,E. Kanter makes free throw 1 of 2
11:52.0,,,51-73,,E. Kanter misses free throw 2 of 2
11:50.0,Defensive rebound by M. Gortat,,51-73,,
11:38.0,M. Morris misses 2-pt shot from 10 ft,,51-73,,
11:35.0,,,51-73,,Defensive rebound by C. Lee
11:30.0,,,51-73,,T. Hardaway misses 3-pt shot from 22 ft (block by O. Porter)
11:29.0,,,51-73,,Offensive rebound by Team
11:25.0,,,51-73,,M. Beasley misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by M. Gortat,,51-73,,
11:13.0,M. Morris makes 2-pt shot from 18 ft (assist by T. Satoransky),2,53-73,,
10:54.0,,,53-73,,M. Beasley misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by T. Satoransky,,53-73,,
10:47.0,T. Satoransky makes 2-pt shot from 5 ft,2,55-73,,
10:27.0,,,55-73,,E. Kanter misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by B. Beal,,55-73,,
10:08.0,O. Porter makes 2-pt shot from 18 ft (assist by M. Morris),2,57-73,,
9:50.0,,,57-73,,J. Jack misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by B. Beal,,57-73,,
9:41.0,T. Satoransky makes 3-pt shot from 26 ft (assist by B. Beal),3,60-73,,
9:41.0,,,60-73,,New York full timeout
9:29.0,,,60-75,2,T. Hardaway makes 2-pt shot from 14 ft (assist by E. Kanter)
9:11.0,M. Morris misses 2-pt shot from 15 ft,,60-75,,
9:10.0,Offensive rebound by Team,,60-75,,
9:10.0,,,60-75,,Loose ball foul by C. Lee (drawn by M. Gortat)
8:53.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,62-75,,
8:39.0,,,62-78,3,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Kanter)
