time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Horford (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. A. Horford (B. Simmons gains possession)
11:40.0,,,0-0,,R. Covington misses 2-pt shot from 11 ft (block by J. Tatum)
11:34.0,Defensive rebound by K. Irving,,0-0,,
11:19.0,A. Horford misses 2-pt shot from 8 ft,,0-0,,
11:13.0,Offensive rebound by A. Baynes,,0-0,,
11:09.0,K. Irving makes 3-pt shot from 26 ft,3,3-0,,
10:58.0,,,3-2,2,J. Redick makes 2-pt shot from 16 ft (assist by R. Covington)
10:58.0,,,3-2,,Shooting foul by J. Tatum (drawn by J. Redick)
10:58.0,,,3-3,1,J. Redick makes free throw 1 of 1
10:36.0,A. Horford misses 2-pt shot from 15 ft,,3-3,,
10:34.0,Offensive rebound by A. Baynes,,3-3,,
10:34.0,A. Baynes makes 2-pt shot from 1 ft,2,5-3,,
10:31.0,Shooting foul by J. Bayless (drawn by A. Baynes),,5-3,,
10:31.0,A. Baynes misses free throw 1 of 1,,5-3,,
10:31.0,,,5-3,,Defensive rebound by J. Embiid
10:23.0,,,5-3,,Turnover by B. Simmons (bad pass; steal by J. Brown)
10:14.0,,,5-3,,Personal foul by R. Covington (drawn by J. Brown)
10:05.0,A. Baynes misses 2-pt shot from 13 ft,,5-3,,
10:05.0,,,5-3,,Defensive rebound by B. Simmons
10:05.0,Personal foul by A. Baynes (drawn by J. Embiid),,5-3,,
10:01.0,,,5-3,,J. Embiid misses 3-pt shot from 27 ft
9:59.0,Defensive rebound by K. Irving,,5-3,,
9:53.0,A. Baynes makes 2-pt shot from 19 ft (assist by K. Irving),2,7-3,,
9:38.0,,,7-3,,J. Embiid misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by J. Brown,,7-3,,
9:27.0,K. Irving misses 2-pt shot from 6 ft,,7-3,,
9:27.0,Offensive rebound by K. Irving,,7-3,,
9:22.0,K. Irving makes 2-pt shot at rim,2,9-3,,
9:16.0,,,9-6,3,J. Bayless makes 3-pt shot from 22 ft (assist by B. Simmons)
9:02.0,Turnover by A. Horford (bad pass; steal by J. Bayless),,9-6,,
8:58.0,,,9-9,3,J. Redick makes 3-pt shot from 25 ft
8:41.0,J. Tatum makes 2-pt shot from 17 ft (assist by A. Baynes),2,11-9,,
8:23.0,,,11-9,,B. Simmons misses 2-pt shot from 9 ft
8:19.0,Defensive rebound by A. Horford,,11-9,,
8:18.0,Turnover by A. Horford (turnover),,11-9,,
8:02.0,,,11-9,,J. Embiid misses 3-pt shot from 22 ft
7:58.0,Defensive rebound by J. Brown,,11-9,,
7:46.0,A. Horford misses 2-pt shot from 12 ft,,11-9,,
7:43.0,,,11-9,,Defensive rebound by J. Embiid
7:36.0,,,11-9,,J. Redick misses 2-pt shot from 17 ft
7:35.0,,,11-9,,Offensive rebound by Team
7:35.0,Loose ball foul by K. Irving (drawn by J. Bayless),,11-9,,
7:35.0,,,11-9,,A. Johnson enters the game for J. Embiid
7:35.0,D. Theis enters the game for A. Baynes,,11-9,,
7:32.0,,,11-11,2,J. Bayless makes 2-pt shot from 4 ft (assist by J. Redick)
7:15.0,A. Horford makes 3-pt shot from 27 ft (assist by K. Irving),3,14-11,,
7:05.0,,,14-11,,Personal foul by R. Covington (drawn by J. Brown)
7:05.0,,,14-11,,Turnover by R. Covington (turnover)
7:05.0,,,14-11,,D. Saric enters the game for R. Covington
6:50.0,,,14-11,,Personal foul by J. Redick (drawn by D. Theis)
6:50.0,,,14-11,,Philadelphia full timeout
6:50.0,,,14-11,,M. Fultz enters the game for J. Bayless
6:39.0,K. Irving misses 2-pt shot from 12 ft,,14-11,,
6:35.0,,,14-11,,Defensive rebound by D. Saric
6:25.0,,,14-13,2,D. Saric makes 2-pt shot from 11 ft
6:09.0,J. Brown makes 2-pt shot from 20 ft,2,16-13,,
5:51.0,,,16-13,,D. Saric misses 3-pt shot from 26 ft
5:49.0,,,16-13,,Offensive rebound by B. Simmons
5:47.0,,,16-15,2,B. Simmons makes 2-pt shot from 2 ft
5:27.0,J. Tatum makes 2-pt shot from 3 ft (assist by A. Horford),2,18-15,,
5:14.0,,,18-17,2,D. Saric makes 2-pt shot from 7 ft
5:03.0,J. Brown misses 2-pt shot from 5 ft,,18-17,,
5:03.0,,,18-17,,Defensive rebound by B. Simmons
4:59.0,Jump ball: B. Simmons vs. J. Brown (M. Fultz gains possession),,,,Jump ball: B. Simmons vs. J. Brown (M. Fultz gains possession)
4:59.0,,,18-17,,T. McConnell enters the game for B. Simmons
4:59.0,T. Rozier enters the game for J. Brown,,18-17,,
