time,Houston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Capela (K. Walker gains possession),,,,Jump ball: D. Howard vs. C. Capela (K. Walker gains possession)
11:41.0,,,0-3,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lamb)
11:26.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,3-3,,
11:11.0,,,3-3,,D. Howard misses 2-pt shot from 12 ft
11:08.0,Defensive rebound by C. Capela,,3-3,,
11:02.0,J. Harden misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist),,3-3,,
11:02.0,Offensive rebound by Team,,3-3,,
11:00.0,E. Gordon misses 2-pt shot from 13 ft,,3-3,,
11:00.0,,,3-3,,Defensive rebound by M. Kidd-Gilchrist
10:47.0,,,3-3,,K. Walker misses 3-pt shot from 25 ft
10:47.0,,,3-3,,Offensive rebound by D. Howard
10:39.0,,,3-5,2,D. Howard makes 2-pt shot from 2 ft
10:39.0,,,3-5,,Shooting foul by J. Harden (drawn by D. Howard)
10:39.0,,,3-5,,D. Howard misses free throw 1 of 1
10:36.0,Defensive rebound by J. Harden,,3-5,,
10:25.0,Turnover by J. Harden (bad pass; steal by M. Kidd-Gilchrist),,3-5,,
10:21.0,,,3-5,,K. Walker misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
10:21.0,,,3-5,,Offensive rebound by M. Kidd-Gilchrist
10:15.0,,,3-8,3,J. Lamb makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
10:06.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,6-8,,
9:52.0,Violation by L. Mbah a Moute (kicked ball),,6-8,,
9:41.0,,,6-8,,M. Williams misses 2-pt shot from 2 ft (block by C. Capela)
9:38.0,Defensive rebound by C. Capela,,6-8,,
9:35.0,R. Anderson misses 3-pt shot from 25 ft,,6-8,,
9:35.0,Offensive rebound by C. Capela,,6-8,,
9:21.0,R. Anderson makes 3-pt shot from 22 ft (assist by J. Harden),3,9-8,,
9:05.0,,,9-10,2,D. Howard makes 2-pt shot from 1 ft
9:05.0,,,9-10,,Shooting foul by C. Capela (drawn by D. Howard)
9:05.0,,,9-10,,D. Howard misses free throw 1 of 1
9:02.0,Defensive rebound by R. Anderson,,9-10,,
8:52.0,E. Gordon misses 3-pt shot from 26 ft,,9-10,,
8:47.0,,,9-10,,Defensive rebound by D. Howard
8:41.0,,,9-10,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by C. Capela,,9-10,,
8:33.0,R. Anderson misses 3-pt shot from 30 ft,,9-10,,
8:30.0,,,9-10,,Defensive rebound by D. Howard
8:26.0,Violation by C. Capela (kicked ball),,9-10,,
8:21.0,,,9-10,,Turnover by M. Williams (bad pass; steal by R. Anderson)
8:14.0,E. Gordon misses 3-pt shot from 25 ft,,9-10,,
8:10.0,,,9-10,,Defensive rebound by D. Howard
8:05.0,,,9-10,,J. Lamb misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
7:59.0,Defensive rebound by E. Gordon,,9-10,,
7:59.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by K. Walker),,9-10,,
7:59.0,Offensive rebound by Team,,9-10,,
7:57.0,E. Gordon misses 3-pt shot from 24 ft,,9-10,,
7:54.0,,,9-10,,Defensive rebound by M. Kidd-Gilchrist
7:42.0,,,9-12,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker)
7:34.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden),,9-12,,
7:34.0,J. Harden makes free throw 1 of 2,1,10-12,,
7:34.0,J. Harden makes free throw 2 of 2,1,11-12,,
7:20.0,,,11-15,3,J. Lamb makes 3-pt shot from 22 ft (assist by K. Walker)
