time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. D. Howard,,,,Jump ball: T. Maker vs. D. Howard
11:43.0,Turnover by M. Williams (bad pass; steal by T. Maker),,0-0,,
11:33.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 7 ft
11:21.0,J. Lamb misses 2-pt shot from 2 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Middleton
11:15.0,Personal foul by D. Howard (drawn by K. Middleton),,0-2,,
11:07.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot from 10 ft
10:47.0,K. Walker makes 3-pt shot from 26 ft (assist by D. Howard),3,3-4,,
10:30.0,Personal foul by M. Williams (drawn by G. Antetokounmpo),,3-4,,
10:22.0,,,3-4,,K. Middleton misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by D. Howard,,3-4,,
10:02.0,Turnover by J. Lamb (bad pass; steal by T. Maker),,3-4,,
10:00.0,,,3-6,2,G. Antetokounmpo makes 2-pt shot at rim
10:00.0,,,3-6,,Shooting foul by J. Lamb (drawn by G. Antetokounmpo)
10:00.0,,,3-7,1,G. Antetokounmpo makes free throw 1 of 1
9:43.0,Turnover by K. Walker (bad pass; steal by T. Maker),,3-7,,
9:38.0,,,3-7,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by D. Howard,,3-7,,
9:32.0,M. Williams makes 2-pt shot from 1 ft (assist by D. Bacon),2,5-7,,
9:32.0,Shooting foul by K. Middleton (drawn by M. Williams),,5-7,,
9:32.0,M. Williams misses free throw 1 of 1,,5-7,,
9:29.0,,,5-7,,Defensive rebound by G. Antetokounmpo
9:14.0,,,5-7,,G. Antetokounmpo misses 2-pt shot from 8 ft
9:11.0,,,5-7,,Offensive rebound by G. Antetokounmpo
9:08.0,,,5-7,,K. Middleton misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by D. Bacon,,5-7,,
8:48.0,J. Lamb makes 2-pt shot from 10 ft,2,7-7,,
8:36.0,,,7-9,2,M. Dellavedova makes 2-pt shot from 10 ft
