time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Gasol (J. Martin gains possession),,,,Jump ball: D. Jordan vs. M. Gasol (J. Martin gains possession)
11:40.0,M. Gasol makes 2-pt shot from 11 ft,2,2-0,,
11:25.0,,,2-0,,Turnover by B. Griffin (bad pass; steal by J. Martin)
11:22.0,J. Martin misses 2-pt shot from 1 ft (block by B. Griffin),,2-0,,
11:22.0,Offensive rebound by Team,,2-0,,
11:19.0,M. Conley misses 2-pt shot from 1 ft,,2-0,,
11:16.0,,,2-0,,Defensive rebound by P. Beverley
11:04.0,,,2-2,2,D. Gallinari makes 2-pt shot at rim
10:44.0,,,2-2,,Personal foul by D. Gallinari (drawn by M. Gasol)
10:37.0,M. Conley makes 2-pt shot from 15 ft,2,4-2,,
10:24.0,,,4-2,,Shooting foul by J. Martin (drawn by B. Griffin)
10:24.0,,,4-3,1,B. Griffin makes free throw 1 of 2
10:24.0,,,4-4,1,B. Griffin makes free throw 2 of 2
10:23.0,,,4-4,,B. Griffin misses 2-pt shot from 2 ft
10:23.0,,,4-4,,Offensive rebound by B. Griffin
10:06.0,M. Gasol misses 2-pt shot from 11 ft,,4-4,,
10:02.0,,,4-4,,Defensive rebound by D. Gallinari
9:54.0,,,4-4,,D. Gallinari misses 2-pt shot from 14 ft
9:52.0,Defensive rebound by J. Martin,,4-4,,
9:50.0,Turnover by J. Martin (bad pass; steal by B. Griffin),,4-4,,
9:42.0,,,4-4,,P. Beverley misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by M. Gasol,,4-4,,
9:30.0,M. Gasol misses 3-pt shot from 24 ft,,4-4,,
9:26.0,Offensive rebound by J. Ennis,,4-4,,
9:25.0,J. Ennis makes 2-pt shot from 1 ft,2,6-4,,
9:02.0,,,6-6,2,P. Beverley makes 2-pt shot from 13 ft
8:50.0,D. Brooks misses 2-pt shot from 15 ft,,6-6,,
8:47.0,,,6-6,,Defensive rebound by D. Jordan
8:38.0,,,6-6,,Shooting foul by J. Martin (drawn by B. Griffin)
8:38.0,,,6-6,,B. Griffin misses free throw 1 of 2
8:38.0,,,6-6,,Offensive rebound by Team
8:38.0,C. Parsons enters the game for J. Martin,,6-6,,
8:38.0,,,6-7,1,B. Griffin makes free throw 2 of 2
8:21.0,M. Conley makes 3-pt shot from 25 ft (assist by D. Brooks),3,9-7,,
8:03.0,,,9-10,3,A. Rivers makes 3-pt shot from 25 ft (assist by B. Griffin)
7:50.0,M. Conley misses 3-pt shot from 23 ft,,9-10,,
7:48.0,,,9-10,,Defensive rebound by D. Gallinari
7:29.0,,,9-10,,A. Rivers misses 3-pt shot from 26 ft
7:25.0,,,9-10,,Offensive rebound by D. Jordan
7:24.0,,,9-10,,D. Jordan misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by M. Gasol,,9-10,,
7:20.0,Turnover by D. Brooks (discontinued dribble),,9-10,,
7:03.0,,,9-10,,Turnover by A. Rivers (traveling)
6:52.0,M. Conley misses 3-pt shot from 24 ft,,9-10,,
6:48.0,,,9-10,,Defensive rebound by D. Jordan
6:39.0,,,9-10,,P. Beverley misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by M. Gasol,,9-10,,
6:32.0,,,9-10,,Personal foul by P. Beverley (drawn by M. Conley)
6:32.0,,,9-10,,LA Clippers full timeout
6:14.0,C. Parsons misses 2-pt shot from 3 ft (block by D. Jordan),,9-10,,
6:09.0,Offensive rebound by C. Parsons,,9-10,,
6:08.0,C. Parsons makes 2-pt shot from 8 ft,2,11-10,,
5:52.0,,,11-10,,P. Beverley misses 3-pt shot from 24 ft
5:48.0,,,11-10,,Offensive rebound by P. Beverley
5:38.0,,,11-10,,B. Griffin misses 2-pt shot from 2 ft
5:33.0,,,11-10,,Offensive rebound by B. Griffin
5:33.0,,,11-12,2,B. Griffin makes 2-pt shot at rim
5:25.0,M. Gasol makes 2-pt shot from 5 ft (assist by C. Parsons),2,13-12,,
5:15.0,,,13-12,,Turnover by A. Rivers (step out of bounds)
5:15.0,T. Evans enters the game for D. Brooks,,13-12,,
5:15.0,,,13-12,,W. Johnson enters the game for D. Gallinari
4:57.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,16-12,,
4:46.0,,,16-15,3,B. Griffin makes 3-pt shot from 24 ft
4:31.0,M. Conley misses 2-pt shot from 19 ft,,16-15,,
4:29.0,Offensive rebound by J. Ennis,,16-15,,
4:24.0,J. Ennis makes 3-pt shot from 27 ft (assist by M. Conley),3,19-15,,
4:10.0,,,19-15,,A. Rivers misses 2-pt shot from 11 ft
4:10.0,,,19-15,,Offensive rebound by D. Jordan
3:56.0,,,19-17,2,A. Rivers makes 2-pt shot from 1 ft (assist by D. Jordan)
3:49.0,M. Gasol makes 2-pt shot from 2 ft,2,21-17,,
3:29.0,,,21-20,3,P. Beverley makes 3-pt shot from 25 ft (assist by A. Rivers)
3:05.0,T. Evans makes 2-pt shot from 3 ft,2,23-20,,
2:38.0,,,23-20,,W. Johnson misses 3-pt shot from 25 ft
2:34.0,,,23-20,,Offensive rebound by P. Beverley
2:26.0,,,23-22,2,B. Griffin makes 2-pt shot from 1 ft
2:17.0,Memphis full timeout,,23-22,,
2:17.0,,,23-22,,W. Reed enters the game for D. Jordan
2:17.0,,,23-22,,S. Thornwell enters the game for P. Beverley
2:17.0,,,23-22,,L. Williams enters the game for A. Rivers
2:17.0,M. Chalmers enters the game for J. Ennis,,23-22,,
2:17.0,D. Brooks enters the game for M. Conley,,23-22,,
2:05.0,M. Gasol misses 2-pt shot from 12 ft,,23-22,,
2:05.0,,,23-22,,Defensive rebound by B. Griffin
1:56.0,,,23-22,,Shooting foul by C. Parsons (drawn by S. Thornwell)
1:56.0,,,23-23,1,S. Thornwell makes free throw 1 of 2
1:56.0,B. Wright enters the game for M. Gasol,,23-23,,
1:56.0,,,23-23,,S. Thornwell misses free throw 2 of 2
1:51.0,Defensive rebound by C. Parsons,,23-23,,
1:34.0,D. Brooks misses 2-pt shot from 22 ft,,23-23,,
1:28.0,,,23-23,,Defensive rebound by S. Thornwell
1:28.0,Personal foul by D. Brooks (drawn by S. Thornwell),,23-23,,
1:28.0,,,23-23,,D. Gallinari enters the game for B. Griffin
1:28.0,,,23-23,,S. Thornwell misses free throw 1 of 2
1:28.0,,,23-23,,Offensive rebound by Team
1:28.0,,,23-23,,S. Thornwell misses free throw 2 of 2
1:28.0,Defensive rebound by M. Chalmers,,23-23,,
1:13.0,M. Chalmers misses 2-pt shot from 2 ft,,23-23,,
1:13.0,Offensive rebound by B. Wright,,23-23,,
1:13.0,,,23-23,,Personal foul by W. Johnson (drawn by B. Wright)
1:13.0,,,23-23,,Turnover by W. Johnson (turnover)
1:13.0,B. Wright makes free throw 2 of 2,1,24-23,,
1:13.0,B. Wright makes free throw 1 of 2,1,25-23,,
0:50.0,,,25-23,,W. Reed misses 2-pt shot from 6 ft (block by B. Wright)
0:47.0,Defensive rebound by B. Wright,,25-23,,
0:39.0,C. Parsons makes 2-pt shot from 18 ft (assist by T. Evans),2,27-23,,
0:35.0,Personal foul by M. Chalmers (drawn by L. Williams),,27-23,,
0:35.0,,,27-24,1,L. Williams makes free throw 1 of 2
0:35.0,,,27-25,1,L. Williams makes free throw 2 of 2
0:29.0,T. Evans misses 3-pt shot from 26 ft,,27-25,,
0:25.0,,,27-25,,Defensive rebound by L. Williams
0:04.0,,,27-25,,L. Williams misses 2-pt shot from 2 ft (block by B. Wright)
0:04.0,,,27-25,,Offensive rebound by Team
0:02.0,,,27-25,,Turnover by L. Williams (bad pass; steal by C. Parsons)
0:00.0,T. Evans misses 2-pt shot from 1 ft (block by S. Thornwell),,27-25,,
0:00.0,Offensive rebound by Team,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-27,2,D. Gallinari makes 2-pt shot from 18 ft (assist by W. Johnson)
11:26.0,B. Wright makes 2-pt shot from 1 ft (assist by C. Parsons),2,29-27,,
11:11.0,,,29-27,,L. Williams misses 2-pt shot from 8 ft
11:06.0,Defensive rebound by B. Wright,,29-27,,
11:03.0,T. Evans misses 2-pt shot from 2 ft,,29-27,,
10:57.0,,,29-27,,Defensive rebound by W. Reed
10:50.0,,,29-27,,W. Reed misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by D. Brooks,,29-27,,
10:43.0,C. Parsons makes 3-pt shot from 22 ft (assist by T. Evans),3,32-27,,
10:23.0,Personal foul by M. Chalmers (drawn by D. Gallinari),,32-27,,
10:23.0,,,32-27,,A. Rivers enters the game for S. Thornwell
10:10.0,,,32-27,,Shooting foul by D. Brooks (drawn by D. Gallinari)
10:10.0,,,32-28,1,D. Gallinari makes free throw 1 of 2
10:10.0,J. Ennis enters the game for D. Brooks,,32-28,,
10:10.0,J. Martin enters the game for C. Parsons,,32-28,,
10:10.0,,,32-29,1,D. Gallinari makes free throw 2 of 2
9:58.0,,,32-29,,Personal foul by L. Williams (drawn by J. Ennis)
9:44.0,B. Wright misses 2-pt shot from 8 ft,,32-29,,
9:40.0,,,32-29,,Defensive rebound by W. Reed
9:28.0,,,32-31,2,W. Reed makes 2-pt shot from 7 ft (assist by D. Gallinari)
9:19.0,M. Chalmers makes 2-pt shot from 13 ft,2,34-31,,
9:01.0,,,34-31,,A. Rivers misses 2-pt shot from 1 ft (block by B. Wright)
8:57.0,,,34-31,,Offensive rebound by W. Reed
8:56.0,,,34-33,2,W. Reed makes 2-pt shot from 1 ft
8:48.0,T. Evans misses 2-pt shot from 4 ft (block by W. Johnson),,34-33,,
8:48.0,Offensive rebound by Team,,34-33,,
8:45.0,J. Ennis makes 2-pt shot from 1 ft (assist by T. Evans),2,36-33,,
8:34.0,,,36-33,,W. Johnson misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by J. Ennis,,36-33,,
8:28.0,T. Evans makes 2-pt shot from 1 ft (assist by J. Ennis),2,38-33,,
8:19.0,,,38-33,,Shooting foul by J. Martin (drawn by L. Williams)
