time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Drummond (T. Harris gains possession),,,,Jump ball: J. Embiid vs. A. Drummond (T. Harris gains possession)
11:45.0,T. Harris makes 2-pt shot from 13 ft (assist by A. Drummond),2,2-0,,
11:33.0,,,2-2,2,B. Simmons makes 2-pt shot from 2 ft (assist by D. Saric)
11:15.0,A. Bradley misses 2-pt shot from 21 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by R. Covington
11:01.0,,,2-4,2,B. Simmons makes 2-pt shot from 7 ft
10:44.0,Turnover by R. Bullock (step out of bounds),,2-4,,
10:30.0,,,2-7,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
10:13.0,T. Harris misses 2-pt shot from 20 ft,,2-7,,
10:10.0,,,2-7,,Defensive rebound by B. Simmons
10:03.0,,,2-9,2,B. Simmons makes 2-pt shot from 2 ft
9:50.0,R. Bullock misses 3-pt shot from 26 ft,,2-9,,
9:47.0,,,2-9,,Defensive rebound by J. Embiid
9:44.0,,,2-9,,J. Redick misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by A. Drummond,,2-9,,
9:33.0,Turnover by A. Drummond (lost ball; steal by R. Covington),,2-9,,
9:28.0,,,2-9,,D. Saric misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by A. Drummond,,2-9,,
9:18.0,I. Smith misses 2-pt shot from 18 ft,,2-9,,
9:13.0,Offensive rebound by A. Drummond,,2-9,,
9:13.0,A. Drummond misses 2-pt shot at rim,,2-9,,
9:12.0,,,2-9,,Defensive rebound by R. Covington
9:03.0,Personal foul by A. Drummond (drawn by J. Embiid),,2-9,,
8:52.0,,,2-11,2,J. Embiid makes 2-pt shot from 9 ft
8:29.0,A. Bradley misses 2-pt shot from 1 ft,,2-11,,
8:27.0,,,2-11,,Defensive rebound by D. Saric
8:20.0,,,2-13,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
8:14.0,Detroit full timeout,,2-13,,
8:01.0,Turnover by A. Bradley (out of bounds lost ball),,2-13,,
8:01.0,,,2-13,,T. McConnell enters the game for J. Redick
7:51.0,,,2-15,2,B. Simmons makes 2-pt shot from 5 ft (assist by D. Saric)
7:38.0,T. Harris misses 2-pt shot from 14 ft,,2-15,,
7:30.0,Offensive rebound by A. Drummond,,2-15,,
7:30.0,A. Drummond misses 2-pt shot at rim,,2-15,,
7:30.0,,,2-15,,Defensive rebound by J. Embiid
7:19.0,,,2-15,,J. Embiid misses 2-pt shot from 10 ft
7:15.0,Defensive rebound by T. Harris,,2-15,,
7:04.0,T. Harris makes 2-pt shot from 6 ft (assist by A. Bradley),2,4-15,,
6:44.0,,,4-17,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
6:28.0,T. Harris misses 3-pt shot from 25 ft,,4-17,,
6:25.0,,,4-17,,Defensive rebound by J. Embiid
6:17.0,,,4-17,,D. Saric misses 2-pt shot from 1 ft (block by T. Harris)
6:14.0,,,4-17,,Offensive rebound by D. Saric
6:04.0,,,4-17,,J. Embiid misses 2-pt shot from 8 ft
6:03.0,,,4-17,,Offensive rebound by J. Embiid
6:03.0,,,4-17,,J. Embiid misses 2-pt shot from 8 ft
6:03.0,,,4-17,,Offensive rebound by Team
6:03.0,,,4-17,,Turnover by Team (shot clock)
6:03.0,,,4-17,,A. Johnson enters the game for D. Saric
6:03.0,,,4-17,,J. Bayless enters the game for J. Embiid
5:46.0,I. Smith makes 2-pt shot from 1 ft,2,6-17,,
5:45.0,,,6-19,2,B. Simmons makes 2-pt shot from 2 ft
5:45.0,,,6-19,,Shooting foul by A. Bradley (drawn by B. Simmons)
5:45.0,,,6-20,1,B. Simmons makes free throw 1 of 1
5:31.0,,,6-20,,Personal foul by A. Johnson (drawn by T. Harris)
5:24.0,I. Smith makes 2-pt shot from 16 ft,2,8-20,,
5:09.0,,,8-22,2,J. Bayless makes 2-pt shot from 8 ft
5:09.0,Violation by A. Drummond (def goaltending),,8-22,,
4:50.0,R. Bullock makes 3-pt shot from 26 ft (assist by T. Harris),3,11-22,,
4:36.0,,,11-22,,A. Johnson misses 2-pt shot from 3 ft
4:33.0,Defensive rebound by T. Harris,,11-22,,
4:31.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,13-22,,
4:09.0,,,13-22,,T. McConnell misses 2-pt shot from 7 ft
4:07.0,Defensive rebound by A. Drummond,,13-22,,
4:02.0,Turnover by R. Bullock (out of bounds lost ball),,13-22,,
4:02.0,,,13-22,,J. Redick enters the game for R. Covington
4:02.0,,,13-22,,R. Holmes enters the game for B. Simmons
3:49.0,Personal foul by A. Bradley (drawn by J. Redick),,13-22,,
3:49.0,B. Marjanovic enters the game for A. Drummond,,13-22,,
3:49.0,D. Buycks enters the game for I. Smith,,13-22,,
3:49.0,L. Kennard enters the game for A. Bradley,,13-22,,
3:36.0,,,13-24,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Redick)
3:17.0,B. Marjanovic misses 2-pt shot from 7 ft,,13-24,,
3:14.0,,,13-24,,Defensive rebound by T. McConnell
2:58.0,,,13-26,2,J. Redick makes 2-pt shot from 23 ft (assist by A. Johnson)
2:52.0,Detroit full timeout,,13-26,,
2:52.0,,,13-26,,J. Embiid enters the game for A. Johnson
2:39.0,B. Marjanovic misses 2-pt shot from 8 ft,,13-26,,
2:36.0,,,13-26,,Defensive rebound by J. Redick
2:26.0,,,13-26,,J. Embiid misses 2-pt shot from 15 ft
2:23.0,,,13-26,,Offensive rebound by R. Holmes
2:09.0,,,13-26,,Turnover by T. McConnell (bad pass; steal by T. Harris)
2:02.0,T. Harris misses 2-pt shot from 12 ft,,13-26,,
1:58.0,,,13-26,,Defensive rebound by R. Holmes
1:44.0,,,13-26,,J. Redick misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by L. Kennard,,13-26,,
