time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. S. Labissiere (Z. Randolph gains possession),,,,Jump ball: K. Towns vs. S. Labissiere (Z. Randolph gains possession)
11:41.0,S. Labissiere misses 2-pt shot from 6 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Towns
11:23.0,,,0-0,,K. Towns misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by Z. Randolph,,0-0,,
11:04.0,Z. Randolph makes 2-pt shot from 4 ft,2,2-0,,
10:46.0,,,2-2,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler)
10:41.0,Shooting foul by J. Teague (drawn by D. Fox),,2-2,,
10:41.0,D. Fox makes free throw 1 of 2,1,3-2,,
10:41.0,D. Fox makes free throw 2 of 2,1,4-2,,
10:27.0,,,4-4,2,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Butler)
10:05.0,Z. Randolph misses 3-pt shot from 26 ft,,4-4,,
10:03.0,Offensive rebound by S. Labissiere,,4-4,,
9:48.0,G. Hill makes 2-pt shot from 20 ft (assist by S. Labissiere),2,6-4,,
9:33.0,,,6-6,2,A. Wiggins makes 2-pt shot from 19 ft
9:16.0,Turnover by D. Fox (bad pass; steal by J. Butler),,6-6,,
9:13.0,,,6-8,2,J. Butler makes 2-pt shot at rim
8:58.0,S. Labissiere misses 2-pt shot from 19 ft,,6-8,,
8:55.0,,,6-8,,Defensive rebound by J. Teague
8:53.0,Personal foul by G. Temple (drawn by K. Towns),,6-8,,
8:44.0,Personal foul by S. Labissiere (drawn by K. Towns),,6-8,,
8:34.0,,,6-8,,A. Wiggins misses 2-pt shot from 13 ft
8:31.0,Defensive rebound by Z. Randolph,,6-8,,
8:14.0,D. Fox misses 3-pt shot from 23 ft,,6-8,,
8:11.0,,,6-8,,Defensive rebound by T. Gibson
8:00.0,,,6-10,2,K. Towns makes 2-pt shot from 5 ft (assist by J. Teague)
7:43.0,G. Hill makes 3-pt shot from 22 ft (assist by Z. Randolph),3,9-10,,
7:25.0,,,9-13,3,K. Towns makes 3-pt shot from 23 ft (assist by J. Teague)
7:18.0,G. Hill makes 3-pt shot from 26 ft (assist by D. Fox),3,12-13,,
7:06.0,,,12-13,,J. Teague misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by Z. Randolph,,12-13,,
6:56.0,G. Temple misses 2-pt shot from 2 ft (block by K. Towns),,12-13,,
6:55.0,Offensive rebound by G. Temple,,12-13,,
6:49.0,,,12-13,,Minnesota full timeout
6:43.0,G. Hill misses 2-pt shot from 11 ft,,12-13,,
6:40.0,,,12-13,,Defensive rebound by J. Teague
6:21.0,,,12-13,,T. Gibson misses 2-pt shot from 2 ft
6:19.0,,,12-13,,Offensive rebound by K. Towns
6:19.0,,,12-15,2,K. Towns makes 2-pt shot from 1 ft
6:02.0,G. Temple makes 3-pt shot from 22 ft (assist by D. Fox),3,15-15,,
5:54.0,,,15-15,,Turnover by J. Teague (out of bounds lost ball)
5:38.0,Turnover by Z. Randolph (bad pass; steal by K. Towns),,15-15,,
5:29.0,,,15-17,2,T. Gibson makes 2-pt shot from 2 ft (assist by K. Towns)
5:07.0,Z. Randolph makes 2-pt shot from 6 ft,2,17-17,,
4:51.0,,,17-17,,Shooting foul by G. Hill (drawn by J. Butler)
4:51.0,,,17-18,1,J. Butler makes free throw 1 of 2
4:51.0,,,17-18,,G. Dieng enters the game for K. Towns
4:51.0,W. Cauley-Stein enters the game for S. Labissiere,,17-18,,
4:51.0,,,17-19,1,J. Butler makes free throw 2 of 2
4:35.0,Turnover by D. Fox (lost ball; steal by T. Gibson),,17-19,,
4:32.0,,,17-21,2,J. Teague makes 2-pt shot from 1 ft (assist by T. Gibson)
4:32.0,Sacramento full timeout,,17-21,,
4:32.0,F. Mason enters the game for D. Fox,,17-21,,
4:15.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,17-21,,
4:12.0,,,17-21,,Defensive rebound by G. Dieng
3:51.0,,,17-21,,Turnover by Team (shot clock)
3:51.0,B. Bogdanovic enters the game for G. Temple,,17-21,,
3:33.0,G. Hill misses 3-pt shot from 22 ft,,17-21,,
3:30.0,,,17-21,,Defensive rebound by J. Butler
3:27.0,,,17-23,2,A. Wiggins makes 2-pt shot from 17 ft (assist by J. Butler)
3:06.0,Turnover by F. Mason (bad pass; steal by J. Teague),,17-23,,
3:04.0,,,17-23,,Turnover by J. Teague (lost ball; steal by Z. Randolph)
2:56.0,Turnover by B. Bogdanovic (bad pass; steal by G. Dieng),,17-23,,
2:50.0,,,17-23,,T. Gibson misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
2:48.0,,,17-23,,Offensive rebound by Team
2:48.0,,,17-23,,T. Jones enters the game for J. Teague
2:48.0,,,17-23,,J. Crawford enters the game for J. Butler
2:38.0,,,17-25,2,T. Gibson makes 2-pt shot from 13 ft (assist by J. Crawford)
2:24.0,,,17-25,,Personal foul by T. Gibson (drawn by Z. Randolph)
2:16.0,,,17-25,,Personal foul by T. Gibson (drawn by W. Cauley-Stein)
2:16.0,,,17-25,,K. Towns enters the game for T. Gibson
2:03.0,Z. Randolph makes 2-pt shot from 15 ft,2,19-25,,
1:52.0,,,19-25,,G. Dieng misses 2-pt shot from 5 ft
1:50.0,Defensive rebound by Z. Randolph,,19-25,,
1:41.0,Z. Randolph makes 3-pt shot from 25 ft (assist by F. Mason),3,22-25,,
1:16.0,,,22-27,2,K. Towns makes 2-pt shot from 2 ft
0:58.0,F. Mason misses 2-pt shot from 11 ft,,22-27,,
0:54.0,,,22-27,,Defensive rebound by G. Dieng
0:53.0,,,22-29,2,J. Crawford makes 2-pt shot from 15 ft
0:46.0,Z. Randolph misses 2-pt shot from 3 ft (block by K. Towns),,22-29,,
0:43.0,Offensive rebound by Z. Randolph,,22-29,,
0:39.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by K. Towns),,22-29,,
0:38.0,Offensive rebound by W. Cauley-Stein,,22-29,,
0:37.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,22-29,,
0:36.0,Offensive rebound by Z. Randolph,,22-29,,
0:35.0,Z. Randolph misses 2-pt shot from 1 ft,,22-29,,
0:34.0,,,22-29,,Defensive rebound by Team
0:34.0,Loose ball foul by Z. Randolph (drawn by K. Towns),,22-29,,
0:34.0,B. Hield enters the game for G. Hill,,22-29,,
0:34.0,K. Koufos enters the game for Z. Randolph,,22-29,,
0:29.0,,,22-31,2,T. Jones makes 2-pt shot from 5 ft
0:29.0,,,22-31,,Shooting foul by F. Mason (drawn by T. Jones)
0:29.0,,,22-32,1,T. Jones makes free throw 1 of 1
0:14.0,F. Mason misses 3-pt shot from 25 ft,,22-32,,
0:09.0,,,22-32,,Defensive rebound by G. Dieng
0:02.0,,,22-32,,A. Wiggins misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by K. Koufos,,22-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,22-34,2,K. Towns makes 2-pt shot from 8 ft (assist by J. Crawford)
11:25.0,W. Cauley-Stein misses 2-pt shot from 5 ft (block by G. Dieng),,22-34,,
11:20.0,Offensive rebound by B. Hield,,22-34,,
11:17.0,B. Hield misses 3-pt shot from 27 ft,,22-34,,
11:13.0,,,22-34,,Defensive rebound by G. Dieng
11:11.0,,,22-36,2,G. Dieng makes 2-pt shot from 21 ft (assist by T. Jones)
11:01.0,,,22-36,,Personal foul by G. Dieng (drawn by K. Koufos)
10:47.0,F. Mason misses 2-pt shot from 11 ft,,22-36,,
10:43.0,,,22-36,,Defensive rebound by K. Towns
10:38.0,,,22-36,,J. Crawford misses 2-pt shot from 20 ft
10:34.0,Defensive rebound by B. Bogdanovic,,22-36,,
10:27.0,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by B. Bogdanovic),2,24-36,,
10:00.0,,,24-38,2,K. Towns makes 2-pt shot from 14 ft (assist by J. Crawford)
9:37.0,K. Koufos misses 2-pt shot from 5 ft (block by K. Towns),,24-38,,
9:34.0,Offensive rebound by K. Koufos,,24-38,,
9:33.0,B. Hield makes 2-pt shot from 17 ft (assist by K. Koufos),2,26-38,,
9:14.0,,,26-38,,Shooting foul by W. Cauley-Stein (drawn by K. Towns)
9:14.0,,,26-39,1,K. Towns makes free throw 1 of 2
9:14.0,,,26-40,1,K. Towns makes free throw 2 of 2
8:58.0,Shooting foul by K. Towns (drawn by W. Cauley-Stein),,26-40,,
8:58.0,W. Cauley-Stein makes free throw 1 of 2,1,27-40,,
8:58.0,G. Hill enters the game for F. Mason,,27-40,,
8:58.0,W. Cauley-Stein makes free throw 2 of 2,1,28-40,,
8:45.0,,,28-43,3,T. Jones makes 3-pt shot from 24 ft (assist by G. Dieng)
8:20.0,Turnover by G. Hill (bad pass; steal by J. Crawford),,28-43,,
8:11.0,,,28-43,,J. Crawford misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by K. Koufos,,28-43,,
8:02.0,B. Hield misses 3-pt shot from 23 ft,,28-43,,
8:00.0,,,28-43,,Defensive rebound by G. Dieng
7:53.0,,,28-43,,Turnover by T. Jones (out of bounds lost ball)
7:39.0,B. Bogdanovic misses 2-pt shot from 16 ft,,28-43,,
7:39.0,Offensive rebound by Team,,28-43,,
7:39.0,,,28-43,,Loose ball foul by M. Georges-Hunt (drawn by B. Hield)
7:39.0,,,28-43,,T. Gibson enters the game for G. Dieng
7:39.0,,,28-43,,J. Butler enters the game for M. Georges-Hunt
7:28.0,B. Bogdanovic makes 3-pt shot from 22 ft,3,31-43,,
6:59.0,,,31-45,2,K. Towns makes 2-pt shot from 6 ft
6:49.0,,,31-45,,Personal foul by T. Jones (drawn by K. Koufos)
6:49.0,,,31-45,,Minnesota full timeout
6:49.0,,,31-45,,J. Teague enters the game for T. Jones
6:42.0,Turnover by B. Hield (bad pass; steal by J. Butler),,31-45,,
6:29.0,,,31-45,,K. Towns misses 2-pt shot from 5 ft
6:26.0,Defensive rebound by B. Bogdanovic,,31-45,,
6:18.0,K. Koufos makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,33-45,,
6:00.0,,,33-45,,Shooting foul by K. Koufos (drawn by T. Gibson)
6:00.0,,,33-46,1,T. Gibson makes free throw 1 of 2
6:00.0,,,33-46,,A. Wiggins enters the game for J. Crawford
6:00.0,V. Carter enters the game for K. Koufos,,33-46,,
6:00.0,,,33-47,1,T. Gibson makes free throw 2 of 2
5:46.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,36-47,,
5:37.0,Personal foul by B. Bogdanovic (drawn by J. Teague),,36-47,,
5:27.0,,,36-50,3,A. Wiggins makes 3-pt shot from 22 ft (assist by K. Towns)
5:07.0,Shooting foul by K. Towns (drawn by W. Cauley-Stein),,36-50,,
5:07.0,W. Cauley-Stein makes free throw 1 of 2,1,37-50,,
5:07.0,W. Cauley-Stein misses free throw 2 of 2,,37-50,,
5:04.0,,,37-50,,Defensive rebound by K. Towns
4:53.0,,,37-50,,A. Wiggins misses 2-pt shot from 22 ft
4:50.0,Defensive rebound by W. Cauley-Stein,,37-50,,
4:41.0,B. Hield makes 2-pt shot at rim,2,39-50,,
4:18.0,,,39-50,,T. Gibson misses 2-pt shot from 10 ft
4:11.0,,,39-50,,Offensive rebound by J. Butler
4:11.0,,,39-52,2,J. Butler makes 2-pt shot at rim
3:58.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Hill),2,41-52,,
3:40.0,,,41-52,,Turnover by J. Teague (bad pass; steal by V. Carter)
3:33.0,Z. Randolph enters the game for W. Cauley-Stein,,41-52,,
3:33.0,,,41-52,,G. Dieng enters the game for K. Towns
3:26.0,Shooting foul by G. Dieng (drawn by G. Hill),,41-52,,
3:26.0,G. Hill makes free throw 1 of 2,1,42-52,,
3:26.0,G. Hill makes free throw 2 of 2,1,43-52,,
3:11.0,,,43-52,,A. Wiggins misses 2-pt shot from 11 ft
3:09.0,Defensive rebound by Z. Randolph,,43-52,,
2:51.0,Turnover by Z. Randolph (turnover),,43-52,,
2:51.0,Sacramento full timeout,,43-52,,
2:33.0,,,43-52,,G. Dieng misses 2-pt shot from 18 ft
2:31.0,Defensive rebound by Z. Randolph,,43-52,,
2:18.0,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),2,45-52,,
2:01.0,,,45-52,,Turnover by J. Teague (step out of bounds)
1:42.0,V. Carter misses 3-pt shot from 25 ft,,45-52,,
1:37.0,Offensive rebound by B. Hield,,45-52,,
1:28.0,,,45-52,,Personal foul by G. Dieng (drawn by Z. Randolph)
1:28.0,Z. Randolph makes free throw 1 of 2,1,46-52,,
1:28.0,,,46-52,,K. Towns enters the game for G. Dieng
1:28.0,Z. Randolph makes free throw 2 of 2,1,47-52,,
1:23.0,,,47-54,2,J. Butler makes 2-pt shot from 1 ft
1:23.0,,,47-54,,Shooting foul by Z. Randolph (drawn by J. Butler)
1:23.0,,,47-55,1,J. Butler makes free throw 1 of 1
1:16.0,V. Carter makes 2-pt shot from 1 ft (assist by G. Hill),2,49-55,,
1:16.0,Shooting foul by T. Gibson (drawn by V. Carter),,49-55,,
1:16.0,,,49-55,,M. Georges-Hunt enters the game for T. Gibson
1:16.0,V. Carter misses free throw 1 of 1,,49-55,,
1:14.0,,,49-55,,Defensive rebound by K. Towns
0:53.0,,,49-58,3,M. Georges-Hunt makes 3-pt shot from 22 ft (assist by J. Butler)
0:47.0,V. Carter makes 3-pt shot from 26 ft (assist by G. Hill),3,52-58,,
0:27.0,,,52-61,3,A. Wiggins makes 3-pt shot from 22 ft (assist by M. Georges-Hunt)
0:03.0,G. Hill makes 3-pt shot from 29 ft (assist by V. Carter),3,55-61,,
0:00.0,,,55-64,2,J. Teague makes 3-pt shot from 32 ft (assist by K. Towns)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,55-64,,J. Teague misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by W. Cauley-Stein,,55-64,,
11:14.0,W. Cauley-Stein makes 2-pt shot from 3 ft,2,57-64,,
11:00.0,,,57-66,2,A. Wiggins makes 2-pt shot from 8 ft (assist by J. Teague)
11:00.0,,,57-66,,Shooting foul by G. Hill (drawn by A. Wiggins)
11:00.0,,,57-67,1,A. Wiggins makes free throw 1 of 1
10:40.0,Z. Randolph misses 2-pt shot from 18 ft,,57-67,,
10:37.0,,,57-67,,Defensive rebound by A. Wiggins
10:19.0,,,57-67,,A. Wiggins misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by G. Hill,,57-67,,
10:13.0,G. Temple misses 2-pt shot from 2 ft (block by J. Butler),,57-67,,
10:13.0,Offensive rebound by Team,,57-67,,
9:59.0,G. Hill misses 2-pt shot from 6 ft,,57-67,,
9:56.0,,,57-67,,Defensive rebound by K. Towns
9:53.0,,,57-67,,J. Teague misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by G. Hill,,57-67,,
9:45.0,J. Jackson misses 3-pt shot from 24 ft,,57-67,,
9:41.0,Offensive rebound by G. Temple,,57-67,,
9:39.0,G. Hill makes 3-pt shot from 25 ft (assist by G. Temple),3,60-67,,
9:18.0,,,60-67,,A. Wiggins misses 2-pt shot from 1 ft
9:17.0,,,60-67,,Offensive rebound by Team
9:13.0,,,60-67,,T. Gibson misses 2-pt shot from 15 ft
9:12.0,,,60-67,,Offensive rebound by K. Towns
9:11.0,,,60-67,,Shooting foul by G. Temple (drawn by K. Towns)
9:11.0,,,60-68,1,K. Towns makes free throw 1 of 2
9:11.0,,,60-69,1,K. Towns makes free throw 2 of 2
8:52.0,Z. Randolph makes 2-pt shot from 5 ft (assist by J. Jackson),2,62-69,,
8:43.0,,,62-69,,J. Butler misses 2-pt shot from 2 ft
8:41.0,,,62-69,,Offensive rebound by T. Gibson
8:40.0,,,62-71,2,T. Gibson makes 2-pt shot at rim
8:15.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,62-71,,
8:11.0,Offensive rebound by Z. Randolph,,62-71,,
8:10.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by T. Gibson),,62-71,,
8:08.0,Offensive rebound by Team,,62-71,,
7:59.0,,,62-71,,Personal foul by A. Wiggins (drawn by G. Temple)
7:47.0,J. Jackson makes 2-pt shot from 4 ft (assist by G. Temple),2,64-71,,
7:21.0,Jump ball: T. Gibson vs. J. Jackson (J. Teague gains possession),,,,Jump ball: T. Gibson vs. J. Jackson (J. Teague gains possession)
7:20.0,,,64-71,,J. Teague misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by G. Temple,,64-71,,
7:13.0,Turnover by W. Cauley-Stein (lost ball; steal by J. Teague),,64-71,,
7:04.0,,,64-73,2,J. Butler makes 2-pt shot from 2 ft
7:04.0,,,64-73,,Shooting foul by G. Temple (drawn by J. Butler)
7:04.0,,,64-74,1,J. Butler makes free throw 1 of 1
