time,Charlotte,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. D. Howard (M. Williams gains possession),,,,Jump ball: J. Nurkic vs. D. Howard (M. Williams gains possession)
11:40.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,2-0,,
11:25.0,,,2-0,,Shooting foul by M. Williams (drawn by J. Nurkic)
11:25.0,,,2-1,1,J. Nurkic makes free throw 1 of 2
11:25.0,,,2-2,1,J. Nurkic makes free throw 2 of 2
11:11.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,2-2,,
11:09.0,,,2-2,,Defensive rebound by J. Nurkic
11:02.0,,,2-4,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
10:40.0,Turnover by D. Howard (lost ball; steal by A. Aminu),,2-4,,
10:37.0,,,2-6,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
10:21.0,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum),3,5-6,,
10:06.0,,,5-6,,C. McCollum misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by D. Howard,,5-6,,
9:50.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,5-6,,
9:46.0,Offensive rebound by N. Batum,,5-6,,
9:46.0,N. Batum misses 2-pt shot at rim,,5-6,,
9:45.0,,,5-6,,Defensive rebound by J. Nurkic
9:40.0,,,5-6,,M. Harkless misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by D. Howard,,5-6,,
9:31.0,M. Williams misses 3-pt shot from 23 ft,,5-6,,
9:30.0,,,5-6,,Defensive rebound by D. Lillard
9:20.0,,,5-6,,A. Aminu misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by M. Kidd-Gilchrist,,5-6,,
9:03.0,N. Batum misses 2-pt shot from 16 ft,,5-6,,
9:00.0,,,5-6,,Defensive rebound by A. Aminu
8:53.0,,,5-8,2,C. McCollum makes 2-pt shot from 5 ft
8:31.0,D. Howard misses 2-pt shot from 3 ft,,5-8,,
8:30.0,,,5-8,,Defensive rebound by A. Aminu
8:23.0,,,5-8,,D. Lillard misses 2-pt shot from 11 ft
8:20.0,,,5-8,,Offensive rebound by J. Nurkic
8:20.0,,,5-10,2,J. Nurkic makes 2-pt shot from 4 ft
8:20.0,Violation by D. Howard (def goaltending),,5-10,,
8:00.0,K. Walker misses 2-pt shot from 1 ft (block by J. Nurkic),,5-10,,
8:00.0,Offensive rebound by Team,,5-10,,
7:56.0,K. Walker misses 2-pt shot from 11 ft,,5-10,,
7:51.0,,,5-10,,Defensive rebound by J. Nurkic
7:41.0,,,5-10,,A. Aminu misses 2-pt shot at rim
7:39.0,Defensive rebound by D. Howard,,5-10,,
7:35.0,,,5-10,,Violation by J. Nurkic (kicked ball)
7:30.0,N. Batum misses 3-pt shot from 25 ft,,5-10,,
7:28.0,,,5-10,,Defensive rebound by A. Aminu
7:18.0,,,5-10,,Portland full timeout
7:12.0,,,5-12,2,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum)
6:47.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,5-12,,
6:44.0,,,5-12,,Defensive rebound by M. Harkless
6:29.0,,,5-14,2,J. Nurkic makes 2-pt shot at rim
6:17.0,,,5-14,,Personal foul by J. Nurkic (drawn by K. Walker)
6:11.0,K. Walker misses 2-pt shot from 17 ft,,5-14,,
6:08.0,,,5-14,,Defensive rebound by A. Aminu
6:05.0,,,5-14,,Shooting foul by D. Howard (drawn by A. Aminu)
6:05.0,,,5-15,1,A. Aminu makes free throw 1 of 2
6:05.0,,,5-15,,A. Aminu misses free throw 2 of 2
6:01.0,Defensive rebound by D. Howard,,5-15,,
5:48.0,K. Walker misses 3-pt shot from 26 ft,,5-15,,
5:47.0,,,5-15,,Defensive rebound by D. Lillard
5:39.0,,,5-18,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
5:17.0,Turnover by M. Williams (lost ball; steal by J. Nurkic),,5-18,,
5:13.0,,,5-18,,J. Nurkic misses 2-pt shot at rim (block by M. Williams)
5:13.0,,,5-18,,Offensive rebound by Team
5:13.0,,,5-18,,P. Connaughton enters the game for M. Harkless
5:13.0,,,5-18,,E. Turner enters the game for C. McCollum
4:58.0,,,5-20,2,E. Turner makes 2-pt shot from 6 ft
4:46.0,Charlotte full timeout,,5-20,,
4:38.0,N. Batum misses 3-pt shot from 25 ft,,5-20,,
4:35.0,,,5-20,,Defensive rebound by J. Nurkic
4:20.0,,,5-20,,D. Lillard misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by M. Kidd-Gilchrist,,5-20,,
4:04.0,,,5-20,,Personal foul by J. Nurkic (drawn by D. Howard)
4:04.0,,,5-20,,E. Davis enters the game for A. Aminu
4:04.0,,,5-20,,Z. Collins enters the game for J. Nurkic
3:54.0,D. Howard misses 2-pt shot from 4 ft,,5-20,,
3:51.0,,,5-20,,Defensive rebound by E. Davis
3:43.0,,,5-22,2,D. Lillard makes 2-pt shot from 3 ft
