time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: M. Gasol vs. J. Nurkic (A. Aminu gains possession)
11:44.0,S. Napier misses 3-pt shot from 23 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Brooks
11:22.0,,,0-2,2,D. Brooks makes 2-pt shot at rim (assist by M. Gasol)
11:06.0,,,0-2,,Personal foul by J. Green (drawn by A. Aminu)
10:53.0,E. Turner misses 3-pt shot from 24 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by M. Chalmers
10:45.0,,,0-4,2,J. Green makes 2-pt shot from 20 ft (assist by J. Martin)
10:28.0,Turnover by C. McCollum (lost ball; steal by D. Brooks),,0-4,,
10:26.0,,,0-6,2,D. Brooks makes 2-pt shot at rim
10:10.0,C. McCollum makes 2-pt shot from 21 ft,2,2-6,,
9:48.0,,,2-6,,J. Martin misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by J. Nurkic,,2-6,,
9:38.0,E. Turner misses 2-pt shot at rim,,2-6,,
9:36.0,,,2-6,,Defensive rebound by J. Green
9:30.0,,,2-6,,M. Chalmers misses 2-pt shot from 6 ft (block by J. Nurkic)
9:27.0,,,2-6,,Offensive rebound by M. Chalmers
9:22.0,,,2-6,,D. Brooks misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by C. McCollum,,2-6,,
9:07.0,C. McCollum makes 3-pt shot from 25 ft,3,5-6,,
8:51.0,,,5-9,3,M. Gasol makes 3-pt shot from 25 ft (assist by D. Brooks)
8:39.0,Turnover by J. Nurkic (lost ball; steal by M. Gasol),,5-9,,
8:31.0,,,5-9,,D. Brooks misses 2-pt shot from 2 ft
8:28.0,,,5-9,,Offensive rebound by D. Brooks
8:27.0,,,5-9,,J. Green misses 3-pt shot from 25 ft
8:27.0,,,5-9,,Offensive rebound by Team
8:27.0,Loose ball foul by S. Napier (drawn by J. Martin),,5-9,,
8:21.0,,,5-9,,Turnover by M. Chalmers (bad pass)
8:08.0,S. Napier misses 3-pt shot from 25 ft,,5-9,,
8:06.0,,,5-9,,Defensive rebound by J. Martin
7:51.0,,,5-11,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
7:23.0,S. Napier misses 2-pt shot from 3 ft,,5-11,,
7:23.0,Offensive rebound by Team,,5-11,,
7:23.0,,,5-11,,Loose ball foul by M. Gasol (drawn by J. Nurkic)
7:23.0,,,5-11,,K. Simmons enters the game for M. Chalmers
7:16.0,A. Aminu misses 3-pt shot from 25 ft,,5-11,,
7:12.0,,,5-11,,Defensive rebound by J. Martin
6:56.0,,,5-11,,M. Gasol misses 2-pt shot from 5 ft
6:55.0,,,5-11,,Offensive rebound by J. Green
6:55.0,,,5-11,,J. Green misses 2-pt shot from 1 ft (block by E. Turner)
6:55.0,,,5-11,,Offensive rebound by Team
6:55.0,,,5-11,,Memphis full timeout
6:46.0,,,5-11,,Turnover by K. Simmons (bad pass; steal by A. Aminu)
