time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Johnson vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: D. Johnson vs. D. Jordan (A. Rivers gains possession)
11:37.0,S. Thornwell makes 2-pt shot from 12 ft (assist by B. Griffin),2,2-0,,
11:09.0,,,2-0,,D. Johnson misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by W. Johnson,,2-0,,
10:58.0,W. Johnson misses 3-pt shot from 23 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by C. Anthony
10:47.0,,,2-0,,C. Anthony misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by D. Jordan,,2-0,,
10:35.0,,,2-0,,Def 3 sec tech foul by D. Johnson
10:35.0,W. Johnson makes technical free throw,1,3-0,,
10:23.0,W. Johnson makes 3-pt shot from 26 ft (assist by A. Rivers),3,6-0,,
10:13.0,,,6-0,,Offensive foul by P. George (drawn by S. Thornwell)
10:13.0,,,6-0,,Turnover by P. George (offensive foul)
9:57.0,B. Griffin misses 2-pt shot from 19 ft (block by A. Roberson),,6-0,,
9:54.0,,,6-0,,Defensive rebound by P. George
9:48.0,Personal foul by D. Jordan (drawn by P. George),,6-0,,
9:34.0,,,6-0,,P. George misses 2-pt shot from 11 ft (block by S. Thornwell)
9:31.0,,,6-0,,Offensive rebound by A. Roberson
9:30.0,,,6-0,,A. Roberson misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by D. Jordan,,6-0,,
9:16.0,B. Griffin misses 3-pt shot from 24 ft,,6-0,,
9:10.0,Offensive rebound by D. Jordan,,6-0,,
9:10.0,D. Jordan misses 2-pt shot at rim,,6-0,,
9:10.0,,,6-0,,Defensive rebound by R. Westbrook
9:08.0,Personal foul by S. Thornwell (drawn by R. Westbrook),,6-0,,
9:01.0,Def 3 sec tech foul by D. Jordan,,6-0,,
9:01.0,,,6-0,,C. Anthony misses technical free throw
9:01.0,,,6-0,,Offensive rebound by Team
8:53.0,,,6-2,2,R. Westbrook makes 2-pt shot from 1 ft
8:53.0,,,6-2,,Shooting foul by B. Griffin (drawn by R. Westbrook)
8:53.0,,,6-3,1,R. Westbrook makes free throw 1 of 1
8:32.0,Turnover by D. Jordan (bad pass; steal by P. George),,6-3,,
8:24.0,,,6-5,2,R. Westbrook makes 2-pt shot at rim (assist by C. Anthony)
8:24.0,,,6-5,,Shooting foul by A. Rivers (drawn by R. Westbrook)
8:24.0,,,6-6,1,R. Westbrook makes free throw 1 of 1
8:12.0,A. Rivers makes 2-pt shot from 6 ft,2,8-6,,
8:02.0,,,8-9,3,P. George makes 3-pt shot from 23 ft (assist by D. Johnson)
7:44.0,Shooting foul by A. Roberson (drawn by A. Rivers),,8-9,,
7:44.0,A. Rivers misses free throw 1 of 2,,8-9,,
7:44.0,Offensive rebound by Team,,8-9,,
7:44.0,A. Rivers makes free throw 2 of 2,1,9-9,,
7:36.0,,,9-11,2,P. George makes 2-pt shot from 15 ft (assist by R. Westbrook)
7:20.0,Shooting foul by A. Roberson (drawn by W. Johnson),,9-11,,
7:20.0,W. Johnson makes free throw 1 of 2,1,10-11,,
7:20.0,,,10-11,,A. Abrines enters the game for A. Roberson
7:20.0,W. Johnson misses free throw 2 of 2,,10-11,,
7:18.0,,,10-11,,Defensive rebound by C. Anthony
7:00.0,,,10-14,3,A. Abrines makes 3-pt shot from 25 ft (assist by C. Anthony)
6:50.0,Turnover by S. Thornwell (bad pass; steal by R. Westbrook),,10-14,,
6:46.0,LA Clippers full timeout,,10-14,,
6:46.0,L. Williams enters the game for S. Thornwell,,10-14,,
6:45.0,,,10-16,2,R. Westbrook makes 2-pt shot from 1 ft
6:29.0,Turnover by W. Johnson (bad pass; steal by R. Westbrook),,10-16,,
6:28.0,,,10-18,2,R. Westbrook makes 2-pt shot at rim
6:09.0,A. Rivers misses 3-pt shot from 26 ft,,10-18,,
6:07.0,,,10-18,,Defensive rebound by A. Abrines
5:53.0,,,10-21,3,P. George makes 3-pt shot from 23 ft (assist by C. Anthony)
5:41.0,L. Williams misses 3-pt shot from 26 ft,,10-21,,
5:39.0,,,10-21,,Defensive rebound by A. Abrines
5:33.0,,,10-21,,C. Anthony misses 2-pt shot from 1 ft
5:30.0,,,10-21,,Offensive rebound by C. Anthony
5:30.0,,,10-23,2,C. Anthony makes 2-pt shot at rim
5:13.0,A. Rivers makes 3-pt shot from 25 ft,3,13-23,,
4:54.0,Personal foul by A. Rivers (drawn by A. Abrines),,13-23,,
4:54.0,,,13-24,1,A. Abrines makes free throw 1 of 2
4:54.0,,,13-24,,A. Roberson enters the game for P. George
4:54.0,J. Evans enters the game for A. Rivers,,13-24,,
4:54.0,,,13-25,1,A. Abrines makes free throw 2 of 2
4:39.0,Offensive foul by D. Jordan (drawn by D. Johnson),,13-25,,
4:39.0,Turnover by D. Jordan (offensive foul),,13-25,,
4:39.0,,,13-25,,J. Grant enters the game for D. Johnson
4:39.0,W. Reed enters the game for D. Jordan,,13-25,,
4:28.0,,,13-25,,Turnover by J. Grant (lost ball; steal by B. Griffin)
4:22.0,Turnover by J. Evans (bad pass; steal by R. Westbrook),,13-25,,
4:18.0,,,13-25,,R. Westbrook misses 2-pt shot from 1 ft
4:16.0,,,13-27,2,A. Roberson makes 2-pt shot at rim
4:13.0,,,13-27,,Offensive rebound by A. Roberson
3:59.0,L. Williams misses 2-pt shot from 7 ft,,13-27,,
3:59.0,Offensive rebound by W. Reed,,13-27,,
3:57.0,W. Reed makes 2-pt shot at rim,2,15-27,,
3:39.0,,,15-27,,R. Westbrook misses 2-pt shot from 19 ft
3:39.0,Defensive rebound by W. Johnson,,15-27,,
3:29.0,,,15-27,,Personal foul by C. Anthony (drawn by B. Griffin)
3:29.0,,,15-27,,R. Felton enters the game for R. Westbrook
3:29.0,,,15-27,,P. George enters the game for C. Anthony
3:29.0,,,15-27,,P. Patterson enters the game for A. Roberson
3:21.0,Shooting foul by P. Patterson (drawn by J. Evans),,15-27,,
3:21.0,J. Evans misses free throw 1 of 2,,15-27,,
3:21.0,Offensive rebound by Team,,15-27,,
3:21.0,J. Evans makes free throw 2 of 2,1,16-27,,
2:57.0,,,16-27,,J. Grant misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by W. Reed,,16-27,,
2:44.0,,,16-27,,Personal foul by P. George (drawn by B. Griffin)
2:44.0,,,16-27,,Oklahoma City full timeout
2:44.0,B. Griffin makes free throw 1 of 2,1,17-27,,
2:44.0,B. Griffin makes free throw 2 of 2,1,18-27,,
2:28.0,,,18-27,,P. George misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by B. Griffin,,18-27,,
2:16.0,B. Griffin misses 3-pt shot from 25 ft,,18-27,,
2:15.0,Offensive rebound by Team,,18-27,,
2:15.0,,,18-27,,Loose ball foul by J. Grant (drawn by W. Reed)
2:15.0,W. Reed misses free throw 1 of 2,,18-27,,
2:15.0,Offensive rebound by Team,,18-27,,
2:15.0,W. Reed makes free throw 2 of 2,1,19-27,,
2:03.0,,,19-27,,R. Felton misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by W. Reed,,19-27,,
1:53.0,B. Griffin makes 2-pt shot from 4 ft,2,21-27,,
1:35.0,,,21-27,,J. Grant misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by W. Johnson,,21-27,,
1:20.0,B. Griffin makes 2-pt shot from 3 ft,2,23-27,,
1:20.0,,,23-27,,Violation by J. Grant (def goaltending)
0:56.0,,,23-27,,R. Felton misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by W. Reed,,23-27,,
0:47.0,L. Williams makes 2-pt shot from 1 ft,2,25-27,,
0:36.0,,,25-27,,Shooting foul by W. Reed (drawn by R. Felton)
0:36.0,,,25-28,1,R. Felton makes free throw 1 of 2
0:36.0,,,25-28,,J. Huestis enters the game for P. George
0:36.0,,,25-28,,R. Felton misses free throw 2 of 2
0:34.0,Defensive rebound by W. Reed,,25-28,,
0:17.0,L. Williams makes 3-pt shot from 25 ft,3,28-28,,
0:02.0,,,28-30,2,R. Felton makes 2-pt shot from 14 ft
0:00.0,L. Williams makes 3-pt shot from 46 ft,3,31-30,,
