time,Charlotte,pts.away,score,pts.home,Miami
2:19.0,,,23-12,,W. Ellington enters the game for D. Waiters
2:19.0,F. Kaminsky enters the game for M. Williams,,23-12,,
2:19.0,C. Zeller enters the game for M. Carter-Williams,,23-12,,
2:19.0,M. Monk enters the game for D. Howard,,23-12,,
2:19.0,J. Lamb enters the game for M. Kidd-Gilchrist,,23-12,,
2:07.0,,,23-12,,Shooting foul by M. Monk (drawn by K. Olynyk)
2:07.0,,,23-13,1,K. Olynyk makes free throw 1 of 2
2:07.0,,,23-14,1,K. Olynyk makes free throw 2 of 2
1:45.0,N. Batum misses 2-pt shot from 12 ft,,23-14,,
1:40.0,,,23-14,,Defensive rebound by J. Winslow
1:38.0,,,23-14,,Turnover by K. Olynyk (bad pass)
1:25.0,N. Batum makes 2-pt shot from 12 ft,2,25-14,,
1:07.0,,,25-17,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
0:54.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Monk),3,28-17,,
0:47.0,Personal foul by N. Batum (drawn by J. Richardson),,28-17,,
0:36.0,M. Kidd-Gilchrist enters the game for N. Batum,,28-17,,
0:34.0,,,28-19,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Winslow)
0:18.0,Turnover by M. Monk (bad pass; steal by W. Ellington),,28-19,,
0:15.0,,,28-22,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Winslow)
0:05.0,Shooting foul by T. Johnson (drawn by M. Monk),,28-22,,
0:05.0,M. Monk makes free throw 1 of 2,1,29-22,,
0:05.0,M. Monk makes free throw 2 of 2,1,30-22,,
0:00.0,,,30-22,,J. Richardson misses 2-pt shot from 3 ft (block by C. Zeller)
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-25,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
11:24.0,Turnover by C. Zeller (lost ball; steal by J. Johnson),,30-25,,
11:20.0,,,30-25,,J. Winslow misses 2-pt shot from 7 ft (block by C. Zeller)
11:20.0,,,30-25,,Offensive rebound by Team
11:08.0,,,30-25,,T. Johnson misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by M. Monk,,30-25,,
11:02.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Monk),2,32-25,,
10:43.0,,,32-25,,K. Olynyk misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by F. Kaminsky,,32-25,,
10:25.0,F. Kaminsky misses 2-pt shot from 12 ft,,32-25,,
10:22.0,,,32-25,,Defensive rebound by W. Ellington
10:08.0,,,32-28,3,W. Ellington makes 3-pt shot from 23 ft (assist by K. Olynyk)
9:49.0,F. Kaminsky makes 2-pt shot from 4 ft (assist by J. Lamb),2,34-28,,
9:34.0,,,34-30,2,J. Winslow makes 2-pt shot at rim (assist by K. Olynyk)
9:22.0,M. Monk misses 3-pt shot from 26 ft,,34-30,,
9:19.0,,,34-30,,Defensive rebound by J. Winslow
9:15.0,,,34-30,,Shooting foul by F. Kaminsky (drawn by J. Winslow)
9:15.0,,,34-31,1,J. Winslow makes free throw 1 of 2
9:15.0,,,34-31,,G. Dragic enters the game for T. Johnson
9:15.0,,,34-31,,J. Winslow misses free throw 2 of 2
9:10.0,Defensive rebound by M. Kidd-Gilchrist,,34-31,,
8:55.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,34-31,,
8:51.0,,,34-31,,Defensive rebound by K. Olynyk
8:35.0,,,34-31,,Turnover by J. Johnson (bad pass)
8:21.0,F. Kaminsky misses 2-pt shot from 7 ft,,34-31,,
8:18.0,,,34-31,,Defensive rebound by J. Johnson
8:18.0,Personal foul by F. Kaminsky (drawn by J. Winslow),,34-31,,
8:10.0,,,34-31,,Turnover by G. Dragic (bad pass; steal by M. Kidd-Gilchrist)
8:01.0,M. Monk misses 2-pt shot from 10 ft,,34-31,,
7:56.0,,,34-31,,Defensive rebound by J. Winslow
7:51.0,,,34-31,,Turnover by J. Johnson (traveling)
7:41.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb),3,37-31,,
7:22.0,,,37-31,,W. Ellington misses 3-pt shot from 25 ft
7:10.0,,,37-31,,Offensive rebound by J. Winslow
7:09.0,,,37-33,2,J. Winslow makes 2-pt shot at rim
6:55.0,J. Lamb misses 2-pt shot from 8 ft,,37-33,,
6:52.0,,,37-33,,Defensive rebound by J. Johnson
6:41.0,,,37-36,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow)
6:33.0,Charlotte full timeout,,37-36,,
6:33.0,M. Williams enters the game for M. Monk,,37-36,,
6:33.0,M. Carter-Williams enters the game for F. Kaminsky,,37-36,,
6:33.0,Charlotte full timeout,,37-36,,
6:23.0,J. Lamb makes 2-pt shot from 8 ft,2,39-36,,
6:06.0,,,39-36,,J. Johnson misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by C. Zeller,,39-36,,
5:51.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,39-36,,
5:48.0,,,39-36,,Defensive rebound by J. Johnson
5:41.0,,,39-36,,W. Ellington misses 3-pt shot from 25 ft
5:38.0,,,39-36,,Offensive rebound by K. Olynyk
5:26.0,,,39-38,2,G. Dragic makes 2-pt shot from 1 ft (assist by K. Olynyk)
5:09.0,J. Lamb makes 2-pt shot from 18 ft,2,41-38,,
4:56.0,,,41-38,,G. Dragic misses 2-pt shot at rim (block by M. Carter-Williams)
4:53.0,Defensive rebound by M. Carter-Williams,,41-38,,
4:48.0,C. Zeller makes 2-pt shot at rim (assist by M. Carter-Williams),2,43-38,,
4:40.0,,,43-38,,Miami full timeout
4:40.0,,,43-38,,D. Waiters enters the game for J. Winslow
4:40.0,N. Batum enters the game for M. Kidd-Gilchrist,,43-38,,
4:40.0,D. Howard enters the game for C. Zeller,,43-38,,
4:22.0,,,43-38,,Turnover by G. Dragic (lost ball; steal by J. Lamb)
4:15.0,Turnover by D. Howard (turnover),,43-38,,
4:00.0,,,43-38,,Turnover by D. Waiters (lost ball; steal by M. Carter-Williams)
3:52.0,N. Batum misses 2-pt shot from 12 ft,,43-38,,
3:49.0,Offensive rebound by D. Howard,,43-38,,
3:48.0,D. Howard misses 2-pt shot from 1 ft (block by J. Johnson),,43-38,,
3:45.0,,,43-38,,Defensive rebound by W. Ellington
3:45.0,,,43-38,,Shooting foul by M. Carter-Williams (drawn by D. Waiters)
3:45.0,,,43-39,1,D. Waiters makes free throw 1 of 2
3:45.0,,,43-39,,B. Adebayo enters the game for W. Ellington
3:45.0,,,43-39,,J. Richardson enters the game for K. Olynyk
3:45.0,,,43-40,1,D. Waiters makes free throw 2 of 2
3:36.0,,,43-40,,Personal foul by G. Dragic (drawn by M. Carter-Williams)
3:26.0,Turnover by D. Howard (turnover),,43-40,,
3:16.0,,,43-42,2,D. Waiters makes 2-pt shot from 1 ft
3:08.0,Offensive foul by D. Howard (drawn by G. Dragic),,43-42,,
3:08.0,Turnover by D. Howard (offensive foul),,43-42,,
2:55.0,,,43-42,,D. Waiters misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by M. Williams,,43-42,,
2:46.0,Turnover by M. Carter-Williams (bad pass; steal by J. Richardson),,43-42,,
2:43.0,,,43-44,2,J. Richardson makes 2-pt shot at rim
2:32.0,Turnover by M. Carter-Williams (bad pass; steal by B. Adebayo),,43-44,,
2:32.0,,,43-44,,Turnover by B. Adebayo (bad pass)
2:32.0,Technical foul by M. Carter-Williams,,43-44,,
2:32.0,,,43-45,1,G. Dragic makes technical free throw
2:32.0,M. Monk enters the game for M. Carter-Williams,,43-45,,
2:19.0,Turnover by D. Howard (bad pass; steal by B. Adebayo),,43-45,,
2:10.0,,,43-45,,J. Johnson misses 3-pt shot from 23 ft
2:09.0,Defensive rebound by D. Howard,,43-45,,
2:09.0,Offensive charge foul by D. Howard (drawn by B. Adebayo),,43-45,,
2:09.0,Turnover by D. Howard (offensive foul),,43-45,,
2:09.0,M. Kidd-Gilchrist enters the game for D. Howard,,43-45,,
2:09.0,C. Zeller enters the game for N. Batum,,43-45,,
1:59.0,,,43-45,,Turnover by J. Richardson (bad pass; steal by M. Williams)
1:49.0,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by J. Lamb),2,45-45,,
1:39.0,Personal foul by M. Monk (drawn by G. Dragic),,45-45,,
1:39.0,,,45-45,,K. Olynyk enters the game for G. Dragic
1:39.0,,,45-45,,J. Winslow enters the game for B. Adebayo
1:39.0,,,45-45,,T. Johnson enters the game for J. Johnson
1:29.0,,,45-47,2,K. Olynyk makes 2-pt shot from 5 ft
1:14.0,C. Zeller makes 2-pt shot from 16 ft (assist by M. Monk),2,47-47,,
0:52.0,,,47-49,2,D. Waiters makes 2-pt shot from 1 ft
0:39.0,M. Monk makes 2-pt shot at rim (assist by C. Zeller),2,49-49,,
0:39.0,Shooting foul by T. Johnson (drawn by M. Monk),,49-49,,
0:39.0,M. Monk misses free throw 1 of 1,,49-49,,
0:38.0,,,49-49,,Defensive rebound by J. Winslow
0:24.0,Personal foul by C. Zeller (drawn by K. Olynyk),,49-49,,
0:24.0,,,49-49,,K. Olynyk misses free throw 1 of 2
0:24.0,,,49-49,,Offensive rebound by Team
0:24.0,,,49-50,1,K. Olynyk makes free throw 2 of 2
0:04.0,J. Lamb misses 3-pt shot from 26 ft,,49-50,,
0:00.0,,,49-50,,Defensive rebound by J. Winslow
0:00.0,,,49-50,,J. Winslow misses 3-pt shot from 43 ft
0:00.0,,,49-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,49-50,,Turnover by G. Dragic (bad pass)
11:29.0,D. Howard makes 2-pt shot from 14 ft (assist by N. Batum),2,51-50,,
11:09.0,,,51-52,2,J. Richardson makes 2-pt shot from 1 ft
11:05.0,Offensive foul by D. Howard (drawn by B. Adebayo),,51-52,,
11:05.0,Turnover by D. Howard (offensive foul),,51-52,,
10:51.0,,,51-52,,Turnover by B. Adebayo (out of bounds lost ball)
10:36.0,M. Williams makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,53-52,,
10:26.0,Def 3 sec tech foul by D. Howard,,53-52,,
10:26.0,,,53-52,,G. Dragic misses technical free throw
10:26.0,,,53-52,,Offensive rebound by Team
10:20.0,,,53-54,2,G. Dragic makes 2-pt shot from 11 ft (assist by D. Waiters)
10:05.0,M. Carter-Williams misses 2-pt shot from 13 ft,,53-54,,
10:02.0,,,53-54,,Defensive rebound by J. Winslow
9:51.0,,,53-54,,J. Winslow misses 2-pt shot at rim
9:49.0,Defensive rebound by D. Howard,,53-54,,
9:45.0,M. Williams misses 3-pt shot from 23 ft,,53-54,,
9:41.0,,,53-54,,Defensive rebound by G. Dragic
9:39.0,,,53-54,,G. Dragic misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by M. Kidd-Gilchrist,,53-54,,
9:33.0,M. Williams makes 2-pt shot from 2 ft,2,55-54,,
9:33.0,Shooting foul by D. Waiters (drawn by M. Williams),,55-54,,
9:33.0,M. Williams makes free throw 1 of 1,1,56-54,,
9:18.0,,,56-56,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
9:03.0,N. Batum makes 2-pt shot from 19 ft,2,58-56,,
8:44.0,,,58-56,,B. Adebayo misses 2-pt shot from 10 ft
8:32.0,,,58-56,,Offensive rebound by B. Adebayo
8:27.0,,,58-56,,G. Dragic misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by D. Howard,,58-56,,
8:13.0,Turnover by D. Howard (step out of bounds),,58-56,,
7:59.0,,,58-59,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
7:44.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,58-59,,
7:41.0,,,58-59,,Defensive rebound by G. Dragic
7:39.0,,,58-59,,Shooting foul by D. Howard (drawn by B. Adebayo)
7:39.0,,,58-60,1,B. Adebayo makes free throw 1 of 2
7:39.0,C. Zeller enters the game for D. Howard,,58-60,,
7:39.0,,,58-60,,B. Adebayo misses free throw 2 of 2
7:36.0,Defensive rebound by M. Williams,,58-60,,
7:31.0,Offensive foul by M. Williams (drawn by J. Richardson),,58-60,,
7:31.0,Turnover by M. Williams (offensive foul),,58-60,,
7:25.0,,,58-60,,Turnover by G. Dragic (bad pass)
7:06.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,60-60,,
