time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Zeller (A. Horford gains possession),,,,Jump ball: A. Horford vs. T. Zeller (A. Horford gains possession)
11:39.0,,,0-0,,S. Ojeleye misses 3-pt shot from 22 ft
11:35.0,Defensive rebound by E. Bledsoe,,0-0,,
11:29.0,Turnover by E. Bledsoe (bad pass; steal by J. Brown),,0-0,,
11:12.0,,,0-0,,Shooting foul by T. Zeller (drawn by A. Horford)
11:12.0,,,0-1,1,A. Horford makes free throw 1 of 2
11:12.0,,,0-1,,A. Horford misses free throw 2 of 2
11:12.0,Defensive rebound by G. Antetokounmpo,,0-1,,
10:52.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Brogdon),3,3-1,,
10:32.0,,,3-1,,T. Rozier misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by E. Bledsoe,,3-1,,
10:21.0,K. Middleton misses 2-pt shot from 15 ft,,3-1,,
10:17.0,,,3-1,,Defensive rebound by J. Brown
10:12.0,,,3-1,,J. Tatum misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by M. Brogdon,,3-1,,
10:06.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,5-1,,
9:43.0,,,5-1,,A. Horford misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by E. Bledsoe,,5-1,,
9:35.0,E. Bledsoe misses 2-pt shot from 1 ft,,5-1,,
9:33.0,,,5-1,,Defensive rebound by A. Horford
9:29.0,,,5-1,,Offensive charge foul by A. Horford (drawn by T. Zeller)
9:29.0,,,5-1,,Turnover by A. Horford (offensive foul)
9:25.0,,,5-1,,Personal foul by J. Brown (drawn by K. Middleton)
9:08.0,E. Bledsoe misses 2-pt shot from 18 ft,,5-1,,
9:06.0,,,5-1,,Defensive rebound by A. Horford
8:57.0,,,5-1,,J. Brown misses 2-pt shot from 21 ft
8:55.0,Defensive rebound by K. Middleton,,5-1,,
8:47.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,5-1,,
8:47.0,G. Antetokounmpo makes free throw 1 of 2,1,6-1,,
8:47.0,G. Antetokounmpo makes free throw 2 of 2,1,7-1,,
8:28.0,,,7-4,3,S. Ojeleye makes 3-pt shot from 22 ft (assist by T. Rozier)
7:59.0,K. Middleton misses 3-pt shot from 22 ft,,7-4,,
7:57.0,,,7-4,,Defensive rebound by A. Horford
7:49.0,,,7-6,2,J. Tatum makes 2-pt shot from 7 ft
7:49.0,,,7-6,,Shooting foul by M. Brogdon (drawn by J. Tatum)
7:49.0,,,7-7,1,J. Tatum makes free throw 1 of 1
7:31.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,9-7,,
7:13.0,,,9-7,,T. Rozier misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by K. Middleton,,9-7,,
7:04.0,K. Middleton misses 2-pt shot from 13 ft,,9-7,,
7:01.0,,,9-7,,Defensive rebound by J. Tatum
6:46.0,,,9-9,2,J. Brown makes 2-pt shot from 10 ft (assist by T. Rozier)
6:31.0,M. Brogdon makes 2-pt shot from 2 ft,2,11-9,,
6:15.0,,,11-11,2,A. Horford makes 2-pt shot at rim (assist by J. Tatum)
6:05.0,Turnover by M. Brogdon (turnover),,11-11,,
6:05.0,,,11-11,,Boston full timeout
6:05.0,,,11-11,,M. Morris enters the game for J. Tatum
6:05.0,J. Parker enters the game for K. Middleton,,11-11,,
5:50.0,,,11-13,2,A. Horford makes 2-pt shot from 9 ft
5:34.0,J. Parker makes 2-pt shot from 20 ft (assist by T. Zeller),2,13-13,,
5:18.0,,,13-13,,M. Morris misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by T. Zeller,,13-13,,
5:10.0,E. Bledsoe misses 2-pt shot from 20 ft,,13-13,,
5:07.0,,,13-13,,Defensive rebound by S. Ojeleye
4:57.0,,,13-13,,J. Brown misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by T. Zeller,,13-13,,
4:40.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,13-13,,
4:38.0,,,13-13,,Defensive rebound by A. Horford
4:20.0,,,13-13,,Turnover by A. Horford (bad pass; steal by T. Zeller)
4:09.0,M. Brogdon misses 2-pt shot from 4 ft (block by T. Rozier),,13-13,,
4:08.0,Offensive rebound by Team,,13-13,,
4:08.0,,,13-13,,M. Smart enters the game for S. Ojeleye
4:08.0,T. Maker enters the game for E. Bledsoe,,13-13,,
4:08.0,M. Dellavedova enters the game for T. Zeller,,13-13,,
3:53.0,T. Maker misses 3-pt shot from 25 ft (block by A. Horford),,13-13,,
3:51.0,,,13-13,,Defensive rebound by M. Morris
3:47.0,,,13-15,2,T. Rozier makes 2-pt shot from 4 ft
3:35.0,Turnover by M. Dellavedova (lost ball; steal by M. Smart),,13-15,,
3:32.0,,,13-15,,T. Rozier misses 3-pt shot from 24 ft
3:31.0,,,13-15,,Offensive rebound by A. Horford
3:31.0,,,13-15,,A. Horford misses 2-pt shot at rim
3:29.0,Defensive rebound by J. Parker,,13-15,,
3:23.0,J. Parker misses 3-pt shot from 24 ft,,13-15,,
3:22.0,Offensive rebound by Team,,13-15,,
3:20.0,,,13-15,,Loose ball foul by T. Rozier (drawn by T. Maker)
3:15.0,M. Brogdon misses 2-pt shot from 18 ft,,13-15,,
3:12.0,,,13-15,,Defensive rebound by J. Brown
2:55.0,,,13-15,,M. Morris misses 2-pt shot from 13 ft
2:52.0,Defensive rebound by G. Antetokounmpo,,13-15,,
2:42.0,Turnover by J. Parker (lost ball; steal by M. Morris),,13-15,,
2:37.0,,,13-15,,J. Brown misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
2:37.0,,,13-15,,Offensive rebound by Team
2:37.0,Milwaukee full timeout,,13-15,,
2:37.0,,,13-15,,A. Baynes enters the game for A. Horford
2:37.0,T. Snell enters the game for M. Brogdon,,13-15,,
2:36.0,,,13-17,2,M. Smart makes 2-pt shot at rim (assist by M. Morris)
