time,LA Clippers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Jordan (T. Harris gains possession),,,,Jump ball: R. Lopez vs. D. Jordan (T. Harris gains possession)
11:46.0,S. Thornwell misses 2-pt shot from 14 ft,,0-0,,
11:43.0,Offensive rebound by S. Thornwell,,0-0,,
11:37.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers),3,3-0,,
11:15.0,,,3-2,2,R. Lopez makes 2-pt shot from 5 ft
11:03.0,T. Harris misses 3-pt shot from 24 ft,,3-2,,
10:59.0,Offensive rebound by D. Jordan,,3-2,,
10:57.0,D. Jordan misses 2-pt shot from 1 ft,,3-2,,
10:57.0,Offensive rebound by D. Jordan,,3-2,,
10:52.0,D. Jordan makes 2-pt shot at rim,2,5-2,,
10:30.0,,,5-2,,K. Dunn misses 2-pt shot from 7 ft
10:30.0,,,5-2,,Offensive rebound by R. Lopez
10:23.0,,,5-5,3,D. Nwaba makes 3-pt shot from 26 ft (assist by K. Dunn)
10:05.0,L. Williams makes 2-pt shot at rim (assist by D. Jordan),2,7-5,,
9:47.0,,,7-5,,N. Vonleh misses 2-pt shot from 5 ft
9:47.0,Defensive rebound by D. Jordan,,7-5,,
9:36.0,A. Rivers misses 3-pt shot from 25 ft,,7-5,,
9:34.0,,,7-5,,Defensive rebound by Team
9:21.0,,,7-5,,N. Vonleh misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by T. Harris,,7-5,,
9:11.0,,,7-5,,Personal foul by N. Vonleh (drawn by D. Jordan)
9:05.0,Turnover by T. Harris (lost ball; steal by D. Nwaba),,7-5,,
8:59.0,,,7-7,2,D. Nwaba makes 2-pt shot from 1 ft
8:56.0,L. Williams misses 3-pt shot from 26 ft,,7-7,,
8:53.0,,,7-7,,Defensive rebound by Z. LaVine
8:35.0,,,7-7,,Z. LaVine misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by A. Rivers,,7-7,,
8:13.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,9-7,,
8:02.0,,,9-7,,D. Nwaba misses 2-pt shot from 12 ft
8:00.0,Defensive rebound by D. Jordan,,9-7,,
7:54.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,11-7,,
7:54.0,,,11-7,,Chicago full timeout
7:41.0,,,11-9,2,R. Lopez makes 2-pt shot at rim (assist by Z. LaVine)
7:28.0,A. Rivers makes 2-pt shot at rim (assist by D. Jordan),2,13-9,,
7:13.0,,,13-9,,Z. LaVine misses 3-pt shot from 25 ft
7:13.0,,,13-9,,Offensive rebound by Team
7:13.0,Loose ball foul by S. Thornwell (drawn by N. Vonleh),,13-9,,
7:05.0,,,13-9,,N. Vonleh misses 2-pt shot from 12 ft
7:02.0,Defensive rebound by D. Jordan,,13-9,,
6:50.0,Shooting foul by D. Nwaba (drawn by L. Williams),,13-9,,
