time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. P. Gasol (J. Randle gains possession),,,,Jump ball: B. Lopez vs. P. Gasol (J. Randle gains possession)
11:45.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by D. Murray,,0-0,,
11:29.0,B. Forbes misses 2-pt shot from 20 ft,,0-0,,
11:25.0,Offensive rebound by L. Aldridge,,0-0,,
11:19.0,L. Aldridge misses 2-pt shot from 10 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by L. Ball
11:03.0,,,0-3,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram)
10:42.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Murray),2,2-3,,
10:31.0,,,2-3,,B. Lopez misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by D. Murray,,2-3,,
10:15.0,P. Gasol misses 2-pt shot from 13 ft,,2-3,,
10:12.0,,,2-3,,Defensive rebound by B. Ingram
9:54.0,,,2-3,,J. Randle misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by D. Murray,,2-3,,
9:47.0,D. Murray misses 2-pt shot from 7 ft,,2-3,,
9:44.0,,,2-3,,Defensive rebound by K. Caldwell-Pope
9:33.0,,,2-3,,J. Randle misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by P. Gasol,,2-3,,
9:23.0,Turnover by P. Gasol (bad pass),,2-3,,
9:07.0,,,2-5,2,B. Ingram makes 2-pt shot from 18 ft
9:06.0,San Antonio full timeout,,2-5,,
8:57.0,,,2-5,,Personal foul by J. Randle (drawn by L. Aldridge)
8:48.0,D. Murray misses 2-pt shot from 11 ft,,2-5,,
8:46.0,,,2-5,,Defensive rebound by B. Lopez
8:29.0,,,2-7,2,B. Ingram makes 2-pt shot from 17 ft
8:15.0,P. Gasol misses 2-pt shot from 7 ft,,2-7,,
8:13.0,,,2-7,,Defensive rebound by L. Ball
8:04.0,,,2-7,,B. Lopez misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by P. Gasol,,2-7,,
7:51.0,B. Forbes makes 2-pt shot from 12 ft (assist by D. Murray),2,4-7,,
7:36.0,,,4-7,,Turnover by J. Randle (bad pass; steal by B. Forbes)
7:32.0,B. Forbes makes 2-pt shot at rim,2,6-7,,
7:19.0,,,6-7,,B. Ingram misses 2-pt shot from 19 ft
7:18.0,Defensive rebound by P. Gasol,,6-7,,
7:05.0,K. Anderson misses 2-pt shot from 10 ft,,6-7,,
7:03.0,,,6-7,,Defensive rebound by J. Randle
6:51.0,,,6-10,3,L. Ball makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
6:26.0,D. Murray misses 2-pt shot from 2 ft,,6-10,,
6:24.0,,,6-10,,Defensive rebound by J. Randle
6:16.0,,,6-10,,B. Ingram misses 2-pt shot from 10 ft
6:13.0,Defensive rebound by P. Gasol,,6-10,,
6:04.0,P. Gasol misses 2-pt shot from 19 ft,,6-10,,
6:02.0,,,6-10,,Defensive rebound by B. Lopez
5:58.0,,,6-10,,K. Caldwell-Pope misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by D. Murray,,6-10,,
5:44.0,K. Anderson makes 2-pt shot from 21 ft (assist by L. Aldridge),2,8-10,,
5:43.0,,,8-10,,LA Lakers full timeout
5:43.0,,,8-10,,T. Ennis enters the game for B. Lopez
5:43.0,,,8-10,,K. Kuzma enters the game for L. Ball
5:43.0,P. Mills enters the game for D. Murray,,8-10,,
5:43.0,D. Bertans enters the game for P. Gasol,,8-10,,
5:43.0,M. Ginobili enters the game for K. Anderson,,8-10,,
5:26.0,,,8-10,,Turnover by K. Caldwell-Pope (out of bounds lost ball)
5:12.0,L. Aldridge misses 2-pt shot from 7 ft,,8-10,,
5:07.0,,,8-10,,Defensive rebound by J. Randle
5:01.0,,,8-12,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
5:01.0,,,8-12,,Shooting foul by L. Aldridge (drawn by B. Ingram)
5:01.0,,,8-12,,B. Ingram misses free throw 1 of 1
5:00.0,Defensive rebound by Team,,8-12,,
4:44.0,Shooting foul by J. Randle (drawn by L. Aldridge),,8-12,,
4:44.0,L. Aldridge makes free throw 1 of 2,1,9-12,,
4:44.0,,,9-12,,L. Nance enters the game for J. Randle
4:44.0,L. Aldridge misses free throw 2 of 2,,9-12,,
4:41.0,,,9-12,,Defensive rebound by K. Kuzma
4:33.0,,,9-12,,K. Kuzma misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by B. Forbes,,9-12,,
4:16.0,Turnover by L. Aldridge (bad pass; steal by B. Ingram),,9-12,,
4:11.0,,,9-12,,Offensive foul by L. Nance (drawn by M. Ginobili)
4:11.0,,,9-12,,Turnover by L. Nance (offensive foul)
4:11.0,B. Paul enters the game for B. Forbes,,9-12,,
3:56.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,11-12,,
3:41.0,,,11-12,,L. Nance misses 2-pt shot from 19 ft
3:41.0,Defensive rebound by D. Bertans,,11-12,,
3:32.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,13-12,,
3:20.0,,,13-12,,T. Ennis misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by P. Mills,,13-12,,
3:01.0,Shooting foul by T. Ennis (drawn by L. Aldridge),,13-12,,
3:01.0,L. Aldridge makes free throw 1 of 2,1,14-12,,
