time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Gasol (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. M. Gasol (D. Green gains possession)
11:47.0,,,0-0,,D. Green misses 2-pt shot from 21 ft
11:44.0,Defensive rebound by Team,,0-0,,
11:30.0,A. Harrison misses 2-pt shot from 9 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by Z. Pachulia
11:22.0,,,0-2,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
11:08.0,D. Brooks misses 3-pt shot from 25 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by Z. Pachulia
10:58.0,,,0-5,3,D. Green makes 3-pt shot from 26 ft (assist by Z. Pachulia)
10:36.0,T. Evans misses 3-pt shot from 26 ft,,0-5,,
10:32.0,,,0-5,,Defensive rebound by Z. Pachulia
10:27.0,,,0-7,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
10:27.0,Memphis full timeout,,0-7,,
10:02.0,Jump ball: Z. Pachulia vs. M. Gasol (J. Green gains possession),,,,Jump ball: Z. Pachulia vs. M. Gasol (J. Green gains possession)
10:02.0,Turnover by Team (shot clock),,0-7,,
9:52.0,,,0-10,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
9:36.0,J. Green makes 2-pt shot from 18 ft (assist by T. Evans),2,2-10,,
9:29.0,,,2-10,,Turnover by D. Green (bad pass)
9:17.0,,,2-10,,Personal foul by Z. Pachulia (drawn by M. Gasol)
9:07.0,T. Evans makes 2-pt shot from 1 ft (assist by J. Green),2,4-10,,
9:01.0,,,4-13,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:47.0,A. Harrison makes 3-pt shot from 23 ft (assist by T. Evans),3,7-13,,
8:38.0,,,7-16,3,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant)
8:19.0,Shooting foul by K. Thompson (drawn by M. Gasol),,7-16,,
8:19.0,M. Gasol makes free throw 1 of 2,1,8-16,,
8:19.0,M. Gasol makes free throw 2 of 2,1,9-16,,
