time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: D. Dedmon vs. J. Valanciunas (K. Lowry gains possession)
11:43.0,K. Lowry misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Bazemore
11:24.0,,,0-0,,Turnover by J. Collins (turnover)
11:12.0,Turnover by K. Lowry (bad pass),,0-0,,
10:51.0,,,0-0,,D. Dedmon misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by J. Valanciunas,,0-0,,
10:41.0,S. Ibaka misses 2-pt shot from 15 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by D. Schroder
10:24.0,Personal foul by O. Anunoby (drawn by D. Dedmon),,0-0,,
10:18.0,,,0-0,,Turnover by K. Bazemore (bad pass; steal by O. Anunoby)
10:07.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by D. DeRozan),2,2-0,,
9:56.0,,,2-0,,D. Schroder misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by O. Anunoby,,2-0,,
9:48.0,S. Ibaka misses 3-pt shot from 25 ft,,2-0,,
9:43.0,Offensive rebound by J. Valanciunas,,2-0,,
9:30.0,J. Valanciunas makes 2-pt shot from 1 ft,2,4-0,,
9:14.0,,,4-0,,D. Dedmon misses 2-pt shot from 12 ft
9:11.0,Defensive rebound by K. Lowry,,4-0,,
9:02.0,S. Ibaka makes 2-pt shot from 13 ft,2,6-0,,
8:45.0,,,6-0,,Turnover by D. Schroder (lost ball; steal by O. Anunoby)
8:38.0,J. Valanciunas misses 3-pt shot from 24 ft,,6-0,,
8:33.0,,,6-0,,Defensive rebound by D. Schroder
8:25.0,,,6-2,2,D. Schroder makes 2-pt shot from 15 ft
8:11.0,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan),3,9-2,,
7:58.0,,,9-2,,D. Dedmon misses 3-pt shot from 23 ft
7:56.0,,,9-2,,Offensive rebound by Team
7:56.0,,,9-4,2,T. Waller-Prince makes 2-pt shot at rim (assist by K. Bazemore)
7:56.0,,,9-4,,Shooting foul by D. DeRozan (drawn by T. Waller-Prince)
7:56.0,,,9-5,1,T. Waller-Prince makes free throw 1 of 1
7:39.0,Turnover by J. Valanciunas (out of bounds lost ball),,9-5,,
7:28.0,,,9-5,,K. Bazemore misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by J. Valanciunas,,9-5,,
7:17.0,,,9-5,,Personal foul by D. Schroder (drawn by K. Lowry)
7:10.0,,,9-5,,E. Ilyasova enters the game for J. Collins
7:06.0,S. Ibaka misses 2-pt shot from 13 ft,,9-5,,
7:03.0,,,9-5,,Defensive rebound by K. Bazemore
6:49.0,,,9-5,,Shooting foul by O. Anunoby (drawn by D. Schroder)
6:49.0,,,9-5,,Atlanta full timeout
6:49.0,N. Powell enters the game for O. Anunoby,,9-5,,
6:49.0,,,9-6,1,D. Schroder makes free throw 1 of 2
6:49.0,,,9-7,1,D. Schroder makes free throw 2 of 2
6:41.0,D. DeRozan misses 3-pt shot from 23 ft,,9-7,,
6:38.0,,,9-7,,Defensive rebound by D. Schroder
6:31.0,,,9-9,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder)
6:19.0,S. Ibaka misses 2-pt shot from 16 ft,,9-9,,
6:19.0,,,9-9,,Defensive rebound by D. Dedmon
6:06.0,,,9-9,,T. Waller-Prince misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by K. Lowry,,9-9,,
5:58.0,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Lowry),2,11-9,,
5:47.0,,,11-9,,Turnover by D. Schroder (bad pass)
5:47.0,,,11-9,,M. Belinelli enters the game for K. Bazemore
5:32.0,Shooting foul by D. Dedmon (drawn by S. Ibaka),,11-9,,
5:32.0,S. Ibaka makes free throw 1 of 2,1,12-9,,
5:32.0,S. Ibaka makes free throw 2 of 2,1,13-9,,
5:14.0,,,13-12,3,M. Belinelli makes 3-pt shot from 23 ft (assist by D. Dedmon)
4:57.0,Offensive foul by J. Valanciunas (drawn by D. Dedmon),,13-12,,
4:57.0,Turnover by J. Valanciunas (offensive foul),,13-12,,
4:45.0,,,13-12,,D. Dedmon misses 2-pt shot from 10 ft
4:44.0,,,13-12,,Offensive rebound by Team
4:44.0,Loose ball foul by K. Lowry (drawn by E. Ilyasova),,13-12,,
4:40.0,,,13-14,2,D. Schroder makes 2-pt shot from 17 ft
4:22.0,Turnover by J. Valanciunas (lost ball; steal by D. Schroder),,13-14,,
4:11.0,,,13-16,2,D. Dedmon makes 2-pt shot from 17 ft (assist by M. Belinelli)
4:02.0,Toronto full timeout,,13-16,,
4:02.0,,,13-16,,T. Cavanaugh enters the game for T. Waller-Prince
4:02.0,,,13-16,,D. Bembry enters the game for D. Dedmon
4:02.0,P. Siakam enters the game for S. Ibaka,,13-16,,
4:02.0,J. Poeltl enters the game for J. Valanciunas,,13-16,,
3:55.0,,,13-16,,Shooting block foul by T. Cavanaugh (drawn by K. Lowry)
3:55.0,K. Lowry misses free throw 1 of 2,,13-16,,
3:55.0,Offensive rebound by Team,,13-16,,
3:55.0,K. Lowry makes free throw 2 of 2,1,14-16,,
3:32.0,,,14-16,,T. Cavanaugh misses 3-pt shot from 24 ft
3:30.0,,,14-16,,Offensive rebound by Team
3:30.0,,,14-16,,J. Magette enters the game for D. Schroder
