time,Minnesota,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. K. Towns (A. Gordon gains possession),,,,Jump ball: B. Biyombo vs. K. Towns (A. Gordon gains possession)
11:39.0,,,0-0,,J. Simmons misses 2-pt shot from 5 ft
11:33.0,Defensive rebound by K. Towns,,0-0,,
11:20.0,J. Teague misses 2-pt shot from 7 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by B. Biyombo
11:13.0,,,0-0,,Turnover by E. Payton (bad pass; steal by J. Butler)
11:08.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,2-0,,
10:51.0,,,2-0,,J. Simmons misses 3-pt shot from 24 ft
10:47.0,,,2-0,,Offensive rebound by B. Biyombo
10:47.0,,,2-0,,B. Biyombo misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by J. Teague,,2-0,,
10:38.0,Turnover by J. Teague (bad pass),,2-0,,
10:27.0,,,2-2,2,E. Payton makes 2-pt shot from 2 ft (assist by A. Gordon)
10:20.0,Shooting foul by A. Gordon (drawn by K. Towns),,2-2,,
10:20.0,K. Towns makes free throw 1 of 2,1,3-2,,
10:20.0,K. Towns makes free throw 2 of 2,1,4-2,,
10:07.0,,,4-2,,A. Gordon misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by K. Towns,,4-2,,
9:52.0,T. Gibson misses 2-pt shot from 7 ft,,4-2,,
9:50.0,,,4-2,,Defensive rebound by B. Biyombo
9:30.0,,,4-2,,E. Fournier misses 2-pt shot from 11 ft
9:25.0,,,4-2,,Offensive rebound by B. Biyombo
9:23.0,,,4-2,,B. Biyombo misses 2-pt shot from 1 ft
9:23.0,,,4-2,,Offensive rebound by B. Biyombo
9:14.0,,,4-2,,B. Biyombo misses 2-pt shot from 4 ft
9:12.0,Defensive rebound by J. Butler,,4-2,,
9:08.0,K. Towns makes 2-pt shot from 3 ft (assist by A. Wiggins),2,6-2,,
9:04.0,,,6-2,,A. Gordon misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by T. Gibson,,6-2,,
8:49.0,K. Towns misses 2-pt shot from 9 ft,,6-2,,
8:49.0,,,6-2,,Defensive rebound by E. Payton
8:40.0,,,6-4,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
8:27.0,Shooting foul by E. Fournier (drawn by A. Wiggins),,6-4,,
8:27.0,A. Wiggins makes free throw 1 of 2,1,7-4,,
8:27.0,A. Wiggins misses free throw 2 of 2,,7-4,,
8:23.0,,,7-4,,Defensive rebound by A. Gordon
8:13.0,,,7-6,2,A. Gordon makes 2-pt shot from 2 ft (assist by J. Simmons)
7:48.0,J. Teague misses 2-pt shot from 4 ft,,7-6,,
7:46.0,,,7-6,,Defensive rebound by B. Biyombo
7:41.0,,,7-6,,E. Payton misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by K. Towns,,7-6,,
7:37.0,J. Teague makes 2-pt shot from 2 ft (assist by A. Wiggins),2,9-6,,
7:36.0,,,9-6,,Orlando full timeout
7:11.0,,,9-6,,A. Gordon misses 2-pt shot from 4 ft
7:08.0,,,9-6,,Offensive rebound by B. Biyombo
7:03.0,,,9-6,,Turnover by E. Fournier (bad pass; steal by J. Butler)
7:02.0,,,9-6,,Personal foul by E. Payton (drawn by J. Butler)
6:51.0,J. Teague makes 2-pt shot from 16 ft,2,11-6,,
6:40.0,,,11-6,,E. Fournier misses 2-pt shot from 21 ft
6:40.0,Defensive rebound by A. Wiggins,,11-6,,
6:30.0,J. Teague makes 2-pt shot from 2 ft,2,13-6,,
6:20.0,,,13-9,3,A. Gordon makes 3-pt shot from 25 ft
5:58.0,K. Towns misses 2-pt shot from 5 ft,,13-9,,
5:54.0,,,13-9,,Defensive rebound by B. Biyombo
5:52.0,,,13-12,3,E. Fournier makes 3-pt shot from 22 ft (assist by J. Simmons)
5:36.0,A. Wiggins misses 3-pt shot from 22 ft,,13-12,,
5:36.0,,,13-12,,Defensive rebound by Team
5:36.0,Loose ball foul by K. Towns (drawn by A. Gordon),,13-12,,
5:22.0,,,13-12,,A. Gordon misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by Team,,13-12,,
5:05.0,K. Towns misses 2-pt shot from 3 ft (block by B. Biyombo),,13-12,,
4:59.0,,,13-12,,Defensive rebound by E. Payton
4:58.0,,,13-14,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
4:45.0,T. Gibson misses 2-pt shot from 6 ft,,13-14,,
4:36.0,Offensive rebound by T. Gibson,,13-14,,
4:36.0,T. Gibson makes 2-pt shot at rim,2,15-14,,
4:29.0,,,15-14,,A. Gordon misses 2-pt shot from 2 ft (block by J. Butler)
4:29.0,Defensive rebound by K. Towns,,15-14,,
4:14.0,T. Gibson makes 2-pt shot from 14 ft (assist by J. Teague),2,17-14,,
3:58.0,,,17-14,,A. Gordon misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by K. Towns,,17-14,,
