time,Charlotte,pts.away,score,pts.home,Atlanta
7:13.0,D. Howard makes 2-pt shot at rim (assist by K. Walker),2,110-89,,
6:49.0,,,110-89,,Turnover by D. Schroder (bad pass; steal by D. Howard)
6:35.0,K. Walker misses 3-pt shot from 23 ft,,110-89,,
6:31.0,,,110-89,,Defensive rebound by T. Waller-Prince
6:27.0,,,110-89,,T. Waller-Prince misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by N. Batum,,110-89,,
6:19.0,Shooting foul by J. Collins (drawn by F. Kaminsky),,110-89,,
6:19.0,F. Kaminsky makes free throw 1 of 2,1,111-89,,
6:19.0,,,111-89,,I. Taylor enters the game for D. Schroder
6:19.0,F. Kaminsky makes free throw 2 of 2,1,112-89,,
6:08.0,,,112-92,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by I. Taylor)
5:54.0,Turnover by F. Kaminsky (bad pass),,112-92,,
5:41.0,,,112-92,,A. White misses 2-pt shot from 22 ft
5:35.0,Defensive rebound by K. Walker,,112-92,,
5:23.0,D. Howard misses 2-pt shot from 9 ft,,112-92,,
5:21.0,Offensive rebound by D. Howard,,112-92,,
5:21.0,D. Howard makes 2-pt shot from 3 ft,2,114-92,,
5:21.0,Shooting foul by J. Collins (drawn by D. Howard),,114-92,,
5:21.0,D. Howard makes free throw 1 of 1,1,115-92,,
5:12.0,,,115-92,,Shooting foul by F. Kaminsky (drawn by J. Collins)
5:12.0,,,115-93,1,J. Collins makes free throw 1 of 2
5:12.0,,,115-93,,J. Collins misses free throw 2 of 2
5:10.0,Defensive rebound by N. Batum,,115-93,,
5:01.0,D. Howard misses 2-pt shot from 5 ft,,115-93,,
4:57.0,,,115-93,,Defensive rebound by J. Collins
4:52.0,,,115-95,2,J. Collins makes 2-pt shot at rim (assist by I. Taylor)
4:35.0,N. Batum misses 3-pt shot from 25 ft,,115-95,,
4:32.0,,,115-95,,Defensive rebound by J. Collins
4:25.0,,,115-98,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by I. Taylor)
4:09.0,Turnover by K. Walker (out of bounds lost ball),,115-98,,
4:09.0,,,115-98,,T. Cavanaugh enters the game for J. Collins
3:58.0,,,115-100,2,T. Cavanaugh makes 2-pt shot from 10 ft (assist by I. Taylor)
3:39.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,117-100,,
3:28.0,,,117-103,3,T. Waller-Prince makes 3-pt shot from 27 ft (assist by D. Lee)
3:10.0,D. Howard misses 2-pt shot from 11 ft,,117-103,,
3:07.0,,,117-103,,Defensive rebound by T. Waller-Prince
3:02.0,,,117-106,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by I. Taylor)
3:01.0,Charlotte full timeout,,117-106,,
3:01.0,M. Williams enters the game for F. Kaminsky,,117-106,,
2:47.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,120-106,,
2:26.0,,,120-106,,I. Taylor misses 2-pt shot from 11 ft
2:24.0,,,120-106,,Offensive rebound by T. Cavanaugh
2:24.0,,,120-106,,Shooting foul by D. Howard (drawn by T. Cavanaugh)
2:24.0,,,120-107,1,T. Cavanaugh makes free throw 1 of 2
2:24.0,,,120-108,1,T. Cavanaugh makes free throw 2 of 2
2:15.0,N. Batum makes 3-pt shot from 24 ft (assist by D. Howard),3,123-108,,
2:00.0,,,123-111,3,T. Cavanaugh makes 3-pt shot from 24 ft (assist by I. Taylor)
1:37.0,K. Walker makes 3-pt shot from 25 ft,3,126-111,,
1:27.0,,,126-111,,I. Taylor misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by N. Batum,,126-111,,
1:20.0,K. Walker makes 3-pt shot from 23 ft (assist by M. Williams),3,129-111,,
1:18.0,Personal take foul by K. Walker (drawn by I. Taylor),,129-111,,
1:18.0,T. Graham enters the game for J. Lamb,,129-111,,
1:18.0,M. Monk enters the game for N. Batum,,129-111,,
1:18.0,D. Bacon enters the game for D. Howard,,129-111,,
1:18.0,W. Hernangomez enters the game for K. Walker,,129-111,,
1:18.0,J. Stone enters the game for M. Williams,,129-111,,
1:18.0,,,129-112,1,I. Taylor makes free throw 1 of 2
1:18.0,,,129-112,,I. Taylor misses free throw 2 of 2
1:15.0,Defensive rebound by W. Hernangomez,,129-112,,
0:57.0,D. Bacon misses 2-pt shot from 20 ft,,129-112,,
0:54.0,,,129-112,,Defensive rebound by T. Waller-Prince
0:48.0,,,129-114,2,I. Taylor makes 2-pt shot at rim
0:47.0,Turnover by W. Hernangomez (bad pass; steal by D. Lee),,129-114,,
0:47.0,Technical foul by W. Hernangomez (drawn by D. Lee),,129-114,,
0:47.0,,,129-115,1,D. Lee makes flagrant free throw 1 of 2
0:47.0,,,129-115,,D. Lee misses flagrant free throw 2 of 2
0:47.0,,,129-115,,Offensive rebound by Team
0:39.0,,,129-117,2,I. Taylor makes 2-pt shot from 1 ft
0:28.0,T. Graham misses 3-pt shot from 23 ft,,129-117,,
0:25.0,,,129-117,,Defensive rebound by T. Waller-Prince
0:07.0,,,129-117,,T. Waller-Prince misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by M. Monk,,129-117,,
