time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. A. Baynes (J. Tatum gains possession),,,,Jump ball: T. Thompson vs. A. Baynes (J. Tatum gains possession)
11:36.0,T. Rozier makes 2-pt shot at rim,2,2-0,,
11:11.0,,,2-2,2,L. James makes 2-pt shot from 3 ft (assist by G. Hill)
10:49.0,J. Brown makes 3-pt shot from 22 ft (assist by T. Rozier),3,5-2,,
10:32.0,,,5-2,,K. Love misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by T. Rozier,,5-2,,
10:09.0,J. Brown misses 2-pt shot from 1 ft,,5-2,,
10:07.0,,,5-2,,Defensive rebound by K. Love
9:58.0,,,5-4,2,G. Hill makes 2-pt shot from 20 ft
9:39.0,,,5-4,,Shooting block foul by K. Love (drawn by J. Brown)
9:39.0,J. Brown misses free throw 1 of 2,,5-4,,
9:39.0,Offensive rebound by Team,,5-4,,
9:39.0,J. Brown makes free throw 2 of 2,1,6-4,,
9:23.0,,,6-4,,L. James misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by A. Horford,,6-4,,
9:15.0,Turnover by A. Horford (bad pass; steal by L. James),,6-4,,
9:07.0,,,6-4,,G. Hill misses 2-pt shot from 7 ft
9:07.0,,,6-4,,Offensive rebound by K. Love
9:07.0,,,6-4,,K. Love misses 2-pt shot at rim
9:06.0,,,6-4,,Offensive rebound by K. Love
9:06.0,,,6-4,,K. Love misses 2-pt shot at rim
9:06.0,,,6-4,,Offensive rebound by G. Hill
9:06.0,,,6-4,,Turnover by G. Hill (out of bounds lost ball)
8:51.0,J. Brown misses 2-pt shot from 17 ft,,6-4,,
8:50.0,,,6-4,,Defensive rebound by T. Thompson
8:35.0,,,6-6,2,G. Hill makes 2-pt shot from 4 ft
8:16.0,T. Rozier misses 3-pt shot from 25 ft,,6-6,,
8:14.0,,,6-6,,Defensive rebound by K. Love
8:07.0,,,6-6,,J. Smith misses 2-pt shot from 13 ft
8:04.0,Defensive rebound by J. Tatum,,6-6,,
7:55.0,J. Brown makes 2-pt shot from 12 ft (assist by A. Horford),2,8-6,,
7:55.0,Shooting foul by J. Smith (drawn by J. Brown),,8-6,,
7:55.0,J. Brown misses free throw 1 of 1,,8-6,,
7:53.0,,,8-6,,Defensive rebound by J. Smith
7:36.0,,,8-6,,T. Thompson misses 2-pt shot from 4 ft
7:34.0,Defensive rebound by J. Tatum,,8-6,,
7:26.0,J. Tatum misses 3-pt shot from 24 ft,,8-6,,
7:22.0,Offensive rebound by Team,,8-6,,
7:22.0,M. Morris enters the game for J. Brown,,8-6,,
7:16.0,J. Tatum makes 2-pt shot from 2 ft (assist by A. Baynes),2,10-6,,
7:01.0,,,10-6,,G. Hill misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by T. Rozier,,10-6,,
6:58.0,,,10-6,,Personal take foul by G. Hill (drawn by T. Rozier)
6:58.0,,,10-6,,Cleveland full timeout
6:58.0,,,10-6,,J. Green enters the game for K. Love
6:43.0,Offensive foul by A. Horford (drawn by G. Hill),,10-6,,
6:43.0,Turnover by A. Horford (offensive foul),,10-6,,
6:28.0,,,10-6,,L. James misses 2-pt shot from 5 ft
6:25.0,Defensive rebound by A. Horford,,10-6,,
6:13.0,M. Morris makes 2-pt shot from 13 ft (assist by A. Horford),2,12-6,,
5:50.0,,,12-6,,J. Green misses 2-pt shot from 13 ft
5:49.0,,,12-6,,Offensive rebound by Team
5:46.0,,,12-9,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
5:20.0,M. Morris misses 2-pt shot from 5 ft (block by T. Thompson),,12-9,,
5:19.0,Offensive rebound by M. Morris,,12-9,,
5:19.0,Turnover by Team (shot clock),,12-9,,
5:04.0,,,12-9,,L. James misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by A. Baynes,,12-9,,
4:57.0,T. Rozier makes 2-pt shot from 12 ft,2,14-9,,
4:44.0,,,14-9,,G. Hill misses 2-pt shot from 18 ft
4:42.0,Defensive rebound by M. Morris,,14-9,,
4:33.0,A. Horford misses 3-pt shot from 25 ft,,14-9,,
4:30.0,,,14-9,,Defensive rebound by L. James
4:24.0,,,14-11,2,L. James makes 2-pt shot from 3 ft
3:59.0,A. Horford misses 2-pt shot from 14 ft,,14-11,,
3:57.0,,,14-11,,Defensive rebound by T. Thompson
3:44.0,,,14-13,2,G. Hill makes 2-pt shot at rim
3:44.0,Boston full timeout,,14-13,,
3:44.0,,,14-13,,K. Korver enters the game for T. Thompson
3:44.0,M. Smart enters the game for T. Rozier,,14-13,,
3:44.0,J. Brown enters the game for A. Baynes,,14-13,,
3:23.0,Turnover by M. Smart (bad pass; steal by G. Hill),,14-13,,
3:15.0,,,14-13,,J. Green misses 2-pt shot from 7 ft (block by A. Horford)
3:12.0,Defensive rebound by A. Horford,,14-13,,
2:55.0,M. Smart makes 2-pt shot from 10 ft,2,16-13,,
2:25.0,,,16-13,,L. James misses 2-pt shot from 4 ft
2:22.0,,,16-13,,Offensive rebound by L. James
2:22.0,,,16-15,2,L. James makes 2-pt shot from 1 ft
2:07.0,J. Brown makes 3-pt shot from 23 ft (assist by M. Smart),3,19-15,,
1:52.0,,,19-18,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
1:28.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,21-18,,
1:06.0,Personal foul by J. Tatum (drawn by L. James),,21-18,,
1:06.0,A. Baynes enters the game for A. Horford,,21-18,,
0:54.0,,,21-20,2,L. James makes 2-pt shot at rim
0:45.0,J. Brown makes 2-pt shot from 2 ft (assist by M. Smart),2,23-20,,
0:27.0,,,23-20,,K. Korver misses 2-pt shot from 12 ft
0:25.0,Defensive rebound by A. Baynes,,23-20,,
0:08.0,J. Brown makes 2-pt shot from 19 ft,2,25-20,,
0:00.0,,,25-20,,J. Smith misses 3-pt shot from 27 ft
0:00.0,,,25-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-22,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
11:28.0,J. Brown misses 3-pt shot from 24 ft,,25-22,,
11:25.0,,,25-22,,Defensive rebound by J. Clarkson
11:17.0,,,25-22,,J. Clarkson misses 2-pt shot from 15 ft
11:15.0,Defensive rebound by J. Brown,,25-22,,
11:02.0,M. Smart makes 2-pt shot from 15 ft,2,27-22,,
10:39.0,,,27-22,,J. Green misses 2-pt shot from 11 ft
10:38.0,,,27-22,,Offensive rebound by Team
10:30.0,,,27-22,,J. Clarkson misses 2-pt shot from 12 ft
10:29.0,,,27-22,,Offensive rebound by L. Nance
10:29.0,,,27-24,2,L. Nance makes 2-pt shot at rim
10:12.0,M. Smart makes 3-pt shot from 27 ft (assist by A. Baynes),3,30-24,,
10:03.0,,,30-26,2,J. Green makes 2-pt shot at rim (assist by L. James)
10:03.0,,,30-26,,Shooting foul by A. Baynes (drawn by J. Green)
10:03.0,,,30-27,1,J. Green makes free throw 1 of 1
9:49.0,M. Smart misses 3-pt shot from 27 ft,,30-27,,
9:45.0,,,30-27,,Defensive rebound by K. Korver
9:39.0,,,30-27,,K. Korver misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by A. Baynes,,30-27,,
9:28.0,M. Morris misses 3-pt shot from 27 ft,,30-27,,
9:24.0,,,30-27,,Defensive rebound by L. Nance
9:14.0,Shooting block foul by M. Morris (drawn by L. James),,30-27,,
9:14.0,,,30-28,1,L. James makes free throw 1 of 2
9:14.0,,,30-29,1,L. James makes free throw 2 of 2
9:01.0,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart),3,33-29,,
8:44.0,,,33-31,2,J. Clarkson makes 2-pt shot from 12 ft
