time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: A. Horford vs. K. Porzingis (E. Kanter gains possession)
11:37.0,E. Kanter misses 2-pt shot from 5 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by A. Horford
11:29.0,,,0-0,,A. Horford misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by J. Jack,,0-0,,
11:21.0,K. Porzingis makes 3-pt shot from 27 ft (assist by T. Hardaway),3,3-0,,
11:01.0,,,3-0,,A. Horford misses 2-pt shot from 9 ft
10:59.0,Defensive rebound by E. Kanter,,3-0,,
10:45.0,Shooting foul by T. Rozier (drawn by E. Kanter),,3-0,,
10:45.0,E. Kanter makes free throw 1 of 2,1,4-0,,
10:45.0,E. Kanter makes free throw 2 of 2,1,5-0,,
10:33.0,,,5-3,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Baynes)
10:16.0,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Lee),2,7-3,,
10:03.0,,,7-3,,Turnover by A. Horford (bad pass; steal by C. Lee)
9:56.0,K. Porzingis misses 3-pt shot from 27 ft,,7-3,,
9:54.0,,,7-3,,Defensive rebound by A. Horford
9:50.0,,,7-6,3,J. Brown makes 3-pt shot from 24 ft (assist by A. Horford)
9:32.0,Turnover by J. Jack (bad pass; steal by A. Horford),,7-6,,
9:26.0,,,7-8,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
9:10.0,C. Lee makes 2-pt shot from 19 ft,2,9-8,,
8:54.0,,,9-10,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Baynes)
8:36.0,T. Hardaway misses 2-pt shot from 7 ft,,9-10,,
8:35.0,Offensive rebound by Team,,9-10,,
8:29.0,C. Lee misses 2-pt shot from 18 ft,,9-10,,
8:27.0,Offensive rebound by Team,,9-10,,
8:20.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,11-10,,
8:02.0,,,11-13,3,T. Rozier makes 3-pt shot from 24 ft
7:47.0,K. Porzingis makes 2-pt shot from 11 ft,2,13-13,,
7:25.0,,,13-13,,J. Brown misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by E. Kanter,,13-13,,
7:15.0,J. Jack misses 2-pt shot from 21 ft,,13-13,,
7:13.0,,,13-13,,Defensive rebound by A. Horford
7:02.0,,,13-16,3,T. Rozier makes 3-pt shot from 22 ft (assist by A. Horford)
6:54.0,New York full timeout,,13-16,,
6:38.0,E. Kanter misses 2-pt shot from 9 ft,,13-16,,
6:37.0,,,13-16,,Defensive rebound by J. Brown
6:20.0,,,13-18,2,T. Rozier makes 2-pt shot at rim (assist by A. Horford)
6:05.0,K. Porzingis misses 2-pt shot from 8 ft,,13-18,,
6:02.0,,,13-18,,Defensive rebound by T. Rozier
5:59.0,,,13-18,,T. Rozier misses 2-pt shot at rim
5:59.0,Defensive rebound by E. Kanter,,13-18,,
5:49.0,C. Lee misses 3-pt shot from 25 ft,,13-18,,
5:47.0,Offensive rebound by Team,,13-18,,
5:47.0,,,13-18,,A. Nader enters the game for A. Baynes
5:47.0,,,13-18,,S. Ojeleye enters the game for J. Brown
5:47.0,,,13-18,,M. Morris enters the game for T. Rozier
5:47.0,F. Ntilikina enters the game for T. Hardaway,,13-18,,
5:47.0,L. Thomas enters the game for J. Jack,,13-18,,
5:41.0,L. Thomas misses 2-pt shot from 6 ft,,13-18,,
5:40.0,Offensive rebound by E. Kanter,,13-18,,
5:32.0,E. Kanter makes 2-pt shot at rim,2,15-18,,
5:24.0,,,15-18,,J. Tatum misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by C. Lee,,15-18,,
5:15.0,F. Ntilikina misses 2-pt shot from 15 ft,,15-18,,
5:15.0,Offensive rebound by E. Kanter,,15-18,,
5:12.0,,,15-18,,Personal foul by S. Ojeleye (drawn by E. Kanter)
4:57.0,Turnover by E. Kanter (bad pass; steal by A. Horford),,15-18,,
4:45.0,,,15-20,2,A. Horford makes 2-pt shot from 10 ft
4:17.0,F. Ntilikina makes 3-pt shot from 25 ft (assist by C. Lee),3,18-20,,
4:03.0,,,18-20,,J. Tatum misses 2-pt shot from 3 ft (block by E. Kanter)
4:03.0,,,18-20,,Offensive rebound by Team
4:01.0,,,18-22,2,J. Tatum makes 2-pt shot from 17 ft (assist by A. Nader)
3:40.0,F. Ntilikina misses 2-pt shot from 18 ft,,18-22,,
3:38.0,,,18-22,,Defensive rebound by A. Horford
3:23.0,,,18-22,,A. Horford misses 3-pt shot from 25 ft
3:19.0,,,18-22,,Offensive rebound by M. Morris
3:16.0,,,18-25,3,A. Nader makes 3-pt shot from 23 ft (assist by M. Morris)
3:04.0,,,18-25,,Personal foul by A. Nader (drawn by F. Ntilikina)
3:04.0,K. O'Quinn enters the game for E. Kanter,,18-25,,
2:54.0,F. Ntilikina makes 2-pt shot from 1 ft (assist by K. Porzingis),2,20-25,,
2:40.0,,,20-25,,J. Tatum misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by F. Ntilikina,,20-25,,
2:32.0,Turnover by K. O'Quinn (step out of bounds),,20-25,,
2:32.0,,,20-25,,Boston full timeout
2:32.0,,,20-25,,T. Rozier enters the game for J. Tatum
2:32.0,,,20-25,,D. Theis enters the game for A. Horford
2:32.0,M. Beasley enters the game for K. Porzingis,,20-25,,
2:17.0,,,20-27,2,M. Morris makes 2-pt shot from 7 ft (assist by T. Rozier)
1:58.0,Offensive foul by M. Beasley (drawn by M. Morris),,20-27,,
1:58.0,Turnover by M. Beasley (offensive foul),,20-27,,
1:36.0,,,20-27,,M. Morris misses 2-pt shot from 18 ft
1:33.0,Defensive rebound by M. Beasley,,20-27,,
1:25.0,Shooting foul by D. Theis (drawn by M. Beasley),,20-27,,
1:25.0,M. Beasley makes free throw 1 of 2,1,21-27,,
1:25.0,,,21-27,,J. Brown enters the game for A. Nader
1:25.0,M. Beasley makes free throw 2 of 2,1,22-27,,
1:08.0,,,22-27,,J. Brown misses 2-pt shot from 1 ft
1:06.0,Defensive rebound by M. Beasley,,22-27,,
0:52.0,C. Lee misses 2-pt shot from 14 ft,,22-27,,
0:51.0,,,22-27,,Defensive rebound by J. Brown
0:36.0,Personal foul by F. Ntilikina (drawn by J. Brown),,22-27,,
0:36.0,D. Dotson enters the game for C. Lee,,22-27,,
0:30.0,,,22-27,,T. Rozier misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by M. Beasley,,22-27,,
0:06.0,M. Beasley makes 2-pt shot from 13 ft,2,24-27,,
0:01.0,,,24-27,,T. Rozier misses 3-pt shot from 25 ft
0:01.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-29,2,J. Brown makes 2-pt shot at rim (assist by D. Theis)
11:38.0,L. Thomas makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,27-29,,
11:16.0,,,27-29,,J. Brown misses 2-pt shot from 7 ft
11:15.0,Defensive rebound by L. Thomas,,27-29,,
11:10.0,K. O'Quinn misses 2-pt shot from 2 ft,,27-29,,
11:03.0,Offensive rebound by M. Beasley,,27-29,,
11:03.0,M. Beasley misses 2-pt shot at rim,,27-29,,
11:03.0,,,27-29,,Defensive rebound by M. Morris
10:59.0,,,27-29,,M. Morris misses 2-pt shot from 13 ft
10:59.0,,,27-29,,Offensive rebound by M. Morris
10:53.0,,,27-29,,J. Brown misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by D. Dotson,,27-29,,
10:47.0,M. Beasley makes 2-pt shot at rim (assist by F. Ntilikina),2,29-29,,
10:31.0,Personal foul by M. Beasley (drawn by D. Theis),,29-29,,
10:21.0,,,29-29,,Shooting foul by M. Beasley (drawn by M. Morris)
10:21.0,,,29-29,,M. Morris misses free throw 1 of 2
10:21.0,,,29-29,,Offensive rebound by Team
10:21.0,,,29-29,,A. Nader enters the game for S. Ojeleye
10:21.0,K. Porzingis enters the game for M. Beasley,,29-29,,
10:21.0,,,29-30,1,M. Morris makes free throw 2 of 2
10:08.0,,,29-30,,Personal foul by J. Brown (drawn by K. Porzingis)
10:03.0,K. Porzingis misses 3-pt shot from 27 ft,,29-30,,
9:59.0,,,29-30,,Defensive rebound by T. Rozier
9:47.0,,,29-33,3,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier)
9:33.0,L. Thomas misses 2-pt shot from 14 ft,,29-33,,
9:30.0,,,29-33,,Defensive rebound by D. Theis
9:22.0,,,29-33,,Turnover by T. Rozier (lost ball; steal by D. Dotson)
9:09.0,Turnover by K. O'Quinn (bad pass; steal by M. Morris),,29-33,,
9:08.0,Personal foul by L. Thomas (drawn by M. Morris),,29-33,,
9:08.0,T. Hardaway enters the game for K. O'Quinn,,29-33,,
9:08.0,E. Kanter enters the game for L. Thomas,,29-33,,
8:55.0,,,29-33,,M. Morris misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by D. Dotson,,29-33,,
8:46.0,K. Porzingis makes 2-pt shot from 18 ft (assist by F. Ntilikina),2,31-33,,
8:29.0,,,31-33,,Shooting foul by D. Dotson (drawn by A. Nader)
8:29.0,,,31-34,1,A. Nader makes free throw 1 of 3
8:29.0,,,31-34,,A. Nader misses free throw 2 of 3
8:29.0,,,31-34,,Offensive rebound by Team
8:29.0,,,31-34,,S. Ojeleye enters the game for M. Morris
8:29.0,,,31-35,1,A. Nader makes free throw 3 of 3
8:18.0,T. Hardaway misses 2-pt shot from 16 ft,,31-35,,
8:15.0,,,31-35,,Defensive rebound by T. Rozier
7:53.0,,,31-35,,T. Rozier misses 2-pt shot from 14 ft
7:50.0,Defensive rebound by E. Kanter,,31-35,,
7:37.0,,,31-35,,A. Baynes enters the game for D. Theis
7:29.0,K. Porzingis misses 3-pt shot from 27 ft,,31-35,,
7:26.0,,,31-35,,Defensive rebound by T. Rozier
7:20.0,,,31-37,2,J. Brown makes 2-pt shot at rim
7:19.0,New York full timeout,,31-37,,
7:19.0,,,31-37,,J. Tatum enters the game for T. Rozier
7:19.0,,,31-37,,A. Horford enters the game for S. Ojeleye
7:19.0,J. Jack enters the game for F. Ntilikina,,31-37,,
7:14.0,,,31-37,,Personal foul by A. Nader (drawn by T. Hardaway)
7:06.0,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Jack),2,33-37,,
6:49.0,,,33-37,,A. Horford misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by J. Jack,,33-37,,
6:30.0,D. Dotson misses 2-pt shot from 21 ft,,33-37,,
6:27.0,,,33-37,,Defensive rebound by A. Horford
6:12.0,,,33-39,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Brown)
5:56.0,Turnover by E. Kanter (traveling),,33-39,,
5:56.0,C. Lee enters the game for D. Dotson,,33-39,,
5:44.0,,,33-39,,J. Brown misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by K. Porzingis,,33-39,,
5:33.0,T. Hardaway misses 3-pt shot from 27 ft,,33-39,,
5:30.0,,,33-39,,Defensive rebound by A. Horford
5:16.0,,,33-39,,J. Tatum misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by E. Kanter,,33-39,,
5:08.0,Shooting foul by A. Baynes (drawn by T. Hardaway),,33-39,,
5:08.0,T. Hardaway makes free throw 1 of 2,1,34-39,,
5:08.0,,,34-39,,T. Rozier enters the game for J. Brown
5:08.0,,,34-39,,M. Morris enters the game for A. Baynes
5:08.0,T. Hardaway makes free throw 2 of 2,1,35-39,,
4:49.0,,,35-39,,A. Horford misses 2-pt shot from 7 ft
4:46.0,Defensive rebound by E. Kanter,,35-39,,
4:31.0,T. Hardaway misses 2-pt shot from 6 ft,,35-39,,
4:29.0,,,35-39,,Defensive rebound by T. Rozier
4:25.0,,,35-39,,Shooting foul by E. Kanter (drawn by M. Morris)
4:25.0,,,35-39,,M. Morris misses free throw 1 of 2
4:25.0,,,35-39,,Offensive rebound by Team
4:25.0,,,35-39,,M. Morris misses free throw 2 of 2
4:23.0,Defensive rebound by E. Kanter,,35-39,,
4:08.0,E. Kanter makes 2-pt shot from 7 ft,2,37-39,,
3:56.0,,,37-41,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Horford)
3:56.0,,,37-41,,Shooting foul by K. Porzingis (drawn by M. Morris)
3:56.0,,,37-42,1,M. Morris makes free throw 1 of 1
3:41.0,K. Porzingis misses 2-pt shot from 15 ft,,37-42,,
3:38.0,,,37-42,,Defensive rebound by M. Morris
3:27.0,,,37-44,2,J. Tatum makes 2-pt shot from 17 ft (assist by M. Morris)
3:11.0,J. Jack makes 2-pt shot from 17 ft,2,39-44,,
3:02.0,Personal foul by E. Kanter (drawn by A. Horford),,39-44,,
3:02.0,,,39-44,,A. Horford misses free throw 1 of 2
3:02.0,,,39-44,,Offensive rebound by Team
3:02.0,,,39-44,,S. Ojeleye enters the game for T. Rozier
3:02.0,,,39-45,1,A. Horford makes free throw 2 of 2
2:54.0,,,39-45,,Personal foul by A. Horford (drawn by E. Kanter)
2:54.0,,,39-45,,Boston full timeout
2:54.0,,,39-45,,T. Rozier enters the game for A. Nader
2:54.0,,,39-45,,J. Brown enters the game for S. Ojeleye
2:48.0,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack),2,41-45,,
2:27.0,,,41-45,,J. Tatum misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by E. Kanter,,41-45,,
2:18.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,43-45,,
1:57.0,,,43-47,2,A. Horford makes 2-pt shot from 3 ft
1:44.0,C. Lee misses 2-pt shot from 21 ft,,43-47,,
1:43.0,,,43-47,,Defensive rebound by Team
1:29.0,,,43-47,,Shooting foul by C. Lee (drawn by M. Morris)
1:29.0,,,43-48,1,M. Morris makes free throw 1 of 2
1:29.0,,,43-49,1,M. Morris makes free throw 2 of 2
1:13.0,K. Porzingis misses 2-pt shot from 16 ft,,43-49,,
1:12.0,,,43-49,,Defensive rebound by T. Rozier
1:08.0,,,43-49,,Shooting foul by T. Hardaway (drawn by J. Brown)
1:08.0,,,43-49,,J. Brown misses free throw 1 of 2
1:08.0,,,43-49,,Offensive rebound by Team
1:08.0,,,43-50,1,J. Brown makes free throw 2 of 2
0:49.0,Turnover by E. Kanter (lost ball; steal by T. Rozier),,43-50,,
0:44.0,,,43-50,,J. Tatum misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by E. Kanter,,43-50,,
0:37.0,T. Hardaway makes 2-pt shot from 1 ft,2,45-50,,
0:29.0,,,45-50,,T. Rozier misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by E. Kanter,,45-50,,
0:25.0,Turnover by E. Kanter (bad pass),,45-50,,
0:04.0,,,45-50,,T. Rozier misses 2-pt shot from 1 ft (block by K. Porzingis)
0:02.0,,,45-50,,Offensive rebound by A. Horford
0:00.0,,,45-50,,T. Rozier misses 3-pt shot from 24 ft
0:00.0,,,45-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,45-52,2,J. Tatum makes 2-pt shot at rim (assist by T. Rozier)
11:30.0,T. Hardaway misses 2-pt shot at rim,,45-52,,
11:29.0,,,45-52,,Defensive rebound by A. Horford
11:15.0,,,45-52,,A. Baynes misses 2-pt shot from 1 ft
11:14.0,,,45-52,,Offensive rebound by T. Rozier
11:13.0,,,45-54,2,T. Rozier makes 2-pt shot at rim
10:58.0,E. Kanter misses 2-pt shot from 1 ft,,45-54,,
10:58.0,Offensive rebound by E. Kanter,,45-54,,
10:57.0,E. Kanter makes 2-pt shot from 1 ft,2,47-54,,
10:57.0,Shooting foul by A. Baynes (drawn by E. Kanter),,47-54,,
10:57.0,E. Kanter makes free throw 1 of 1,1,48-54,,
10:39.0,,,48-54,,T. Rozier misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by K. Porzingis,,48-54,,
10:35.0,Turnover by K. Porzingis (bad pass; steal by T. Rozier),,48-54,,
10:32.0,,,48-56,2,A. Baynes makes 2-pt shot from 1 ft (assist by T. Rozier)
10:18.0,Shooting foul by A. Horford (drawn by C. Lee),,48-56,,
10:18.0,C. Lee makes free throw 1 of 2,1,49-56,,
10:18.0,C. Lee makes free throw 2 of 2,1,50-56,,
10:00.0,,,50-56,,J. Tatum misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by T. Hardaway,,50-56,,
9:51.0,K. Porzingis misses 3-pt shot from 26 ft,,50-56,,
9:49.0,Offensive rebound by E. Kanter,,50-56,,
