time,Memphis,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Portis vs. M. Gasol (B. McLemore gains possession),,,,Jump ball: B. Portis vs. M. Gasol (B. McLemore gains possession)
11:43.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,2-0,,
11:24.0,,,2-0,,L. Markkanen misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by K. Simmons,,2-0,,
11:04.0,B. McLemore makes 3-pt shot from 22 ft (assist by D. Brooks),3,5-0,,
10:41.0,,,5-3,3,J. Holiday makes 3-pt shot from 24 ft (assist by Z. LaVine)
10:16.0,D. Brooks misses 2-pt shot from 10 ft,,5-3,,
10:13.0,,,5-3,,Defensive rebound by B. Portis
10:07.0,,,5-3,,B. Portis misses 2-pt shot from 20 ft
10:07.0,Defensive rebound by J. Green,,5-3,,
9:45.0,B. McLemore misses 3-pt shot from 23 ft,,5-3,,
9:41.0,,,5-3,,Defensive rebound by B. Portis
9:35.0,,,5-3,,Z. LaVine misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by B. McLemore,,5-3,,
9:20.0,Shooting foul by K. Dunn (drawn by M. Gasol),,5-3,,
9:20.0,M. Gasol misses free throw 1 of 2,,5-3,,
9:20.0,Offensive rebound by Team,,5-3,,
9:20.0,M. Gasol makes free throw 2 of 2,1,6-3,,
9:05.0,,,6-5,2,Z. LaVine makes 2-pt shot from 2 ft
8:44.0,J. Green makes 2-pt shot from 2 ft (assist by D. Brooks),2,8-5,,
8:31.0,,,8-5,,Turnover by J. Holiday (bad pass; steal by K. Simmons)
8:27.0,D. Brooks misses 3-pt shot from 24 ft,,8-5,,
8:24.0,,,8-5,,Defensive rebound by B. Portis
8:17.0,,,8-7,2,K. Dunn makes 2-pt shot from 2 ft
8:10.0,Turnover by K. Simmons (bad pass; steal by J. Holiday),,8-7,,
8:07.0,,,8-7,,B. Portis misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by J. Green,,8-7,,
7:58.0,Turnover by J. Green (bad pass; steal by K. Dunn),,8-7,,
7:52.0,,,8-9,2,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn)
7:52.0,Memphis full timeout,,8-9,,
7:52.0,W. Selden enters the game for K. Simmons,,8-9,,
7:52.0,X. Rathan-Mayes enters the game for B. McLemore,,8-9,,
7:52.0,M. Henry enters the game for D. Brooks,,8-9,,
7:30.0,M. Gasol makes 2-pt shot from 13 ft (assist by W. Selden),2,10-9,,
7:15.0,,,10-11,2,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Dunn)
6:51.0,J. Green makes 2-pt shot from 1 ft,2,12-11,,
6:41.0,,,12-14,3,J. Holiday makes 3-pt shot from 24 ft (assist by B. Portis)
6:24.0,M. Gasol makes 2-pt shot from 15 ft (assist by X. Rathan-Mayes),2,14-14,,
6:12.0,Personal foul by J. Green (drawn by L. Markkanen),,14-14,,
6:07.0,,,14-17,3,K. Dunn makes 3-pt shot from 26 ft
5:46.0,M. Henry misses 2-pt shot at rim,,14-17,,
5:43.0,,,14-17,,Defensive rebound by B. Portis
5:36.0,,,14-17,,L. Markkanen misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by J. Green,,14-17,,
5:29.0,Shooting foul by K. Dunn (drawn by X. Rathan-Mayes),,14-17,,
5:29.0,X. Rathan-Mayes makes free throw 1 of 2,1,15-17,,
5:29.0,,,15-17,,C. Payne enters the game for B. Portis
5:29.0,,,15-17,,C. Felicio enters the game for K. Dunn
5:29.0,X. Rathan-Mayes misses free throw 2 of 2,,15-17,,
5:26.0,,,15-17,,Defensive rebound by C. Felicio
5:14.0,,,15-17,,Turnover by L. Markkanen (traveling)
4:49.0,W. Selden misses 2-pt shot from 1 ft,,15-17,,
4:46.0,,,15-17,,Defensive rebound by C. Felicio
4:35.0,,,15-17,,L. Markkanen misses 2-pt shot from 20 ft
4:31.0,Defensive rebound by M. Henry,,15-17,,
4:26.0,X. Rathan-Mayes misses 3-pt shot from 26 ft,,15-17,,
4:26.0,,,15-17,,Defensive rebound by J. Holiday
4:15.0,,,15-20,3,J. Holiday makes 3-pt shot from 24 ft
3:50.0,M. Henry misses 3-pt shot from 23 ft,,15-20,,
3:47.0,,,15-20,,Defensive rebound by C. Payne
3:38.0,,,15-20,,Z. LaVine misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by M. Gasol,,15-20,,
3:22.0,Shooting foul by C. Felicio (drawn by J. Green),,15-20,,
3:22.0,J. Green makes free throw 1 of 2,1,16-20,,
3:22.0,,,16-20,,D. Valentine enters the game for J. Holiday
3:22.0,K. Simmons enters the game for M. Henry,,16-20,,
3:22.0,D. Brooks enters the game for X. Rathan-Mayes,,16-20,,
3:22.0,J. Green misses free throw 2 of 2,,16-20,,
3:19.0,,,16-20,,Defensive rebound by L. Markkanen
2:58.0,,,16-22,2,Z. LaVine makes 2-pt shot from 2 ft
