time,New York,pts.away,score,pts.home,Orlando
3:20.0,,,113-102,,Offensive rebound by N. Vucevic
3:16.0,,,113-102,,E. Fournier misses 3-pt shot from 27 ft
3:13.0,Defensive rebound by E. Kanter,,113-102,,
2:56.0,T. Hardaway misses 3-pt shot from 25 ft,,113-102,,
2:54.0,,,113-102,,Defensive rebound by M. Hezonja
2:44.0,,,113-104,2,M. Hezonja makes 2-pt shot from 7 ft
2:21.0,Shooting foul by E. Fournier (drawn by F. Ntilikina),,113-104,,
2:21.0,F. Ntilikina makes free throw 1 of 2,1,114-104,,
2:21.0,,,114-104,,A. Gordon enters the game for M. Hezonja
2:21.0,F. Ntilikina makes free throw 2 of 2,1,115-104,,
2:01.0,,,115-104,,Shooting foul by E. Kanter (drawn by A. Gordon)
2:01.0,,,115-105,1,A. Gordon makes free throw 1 of 2
2:01.0,,,115-105,,A. Gordon misses free throw 2 of 2
1:59.0,Defensive rebound by E. Kanter,,115-105,,
1:43.0,Shooting foul by N. Vucevic (drawn by L. Thomas),,115-105,,
1:43.0,L. Thomas makes free throw 1 of 2,1,116-105,,
1:43.0,,,116-105,,Orlando full timeout
1:43.0,L. Thomas makes free throw 2 of 2,1,117-105,,
1:28.0,,,117-107,2,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon)
1:05.0,T. Burke misses 2-pt shot from 22 ft,,117-107,,
1:03.0,,,117-107,,Defensive rebound by J. Simmons
0:57.0,,,117-107,,N. Vucevic misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by E. Kanter,,117-107,,
0:34.0,T. Burke misses 2-pt shot from 16 ft,,117-107,,
0:30.0,,,117-107,,Defensive rebound by E. Fournier
0:26.0,,,117-110,3,D. Augustin makes 3-pt shot from 27 ft (assist by J. Simmons)
0:24.0,,,117-110,,Personal take foul by D. Augustin (drawn by E. Kanter)
0:24.0,E. Kanter misses free throw 1 of 2,,117-110,,
0:24.0,Offensive rebound by Team,,117-110,,
0:24.0,,,117-110,,W. Iwundu enters the game for N. Vucevic
0:24.0,,,117-110,,K. Birch enters the game for E. Fournier
0:24.0,,,117-110,,R. Vaughn enters the game for A. Gordon
0:24.0,E. Kanter misses free throw 2 of 2,,117-110,,
0:22.0,,,117-110,,Defensive rebound by K. Birch
0:19.0,,,117-113,3,D. Augustin makes 3-pt shot from 27 ft
0:16.0,,,117-113,,Personal take foul by D. Augustin (drawn by F. Ntilikina)
0:16.0,F. Ntilikina misses free throw 1 of 2,,117-113,,
0:16.0,Offensive rebound by Team,,117-113,,
0:16.0,E. Mudiay enters the game for E. Kanter,,117-113,,
0:16.0,F. Ntilikina makes free throw 2 of 2,1,118-113,,
0:15.0,,,118-113,,Turnover by W. Iwundu (bad pass; steal by L. Thomas)
0:09.0,,,118-113,,Personal take foul by W. Iwundu (drawn by T. Hardaway)
0:09.0,T. Hardaway makes free throw 1 of 2,1,119-113,,
0:09.0,T. Hardaway makes free throw 2 of 2,1,120-113,,
0:03.0,,,120-113,,D. Augustin misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by L. Thomas,,120-113,,
