time,New York,pts.away,score,pts.home,Orlando
1:55.0,T. Burke enters the game for T. Hardaway,,27-37,,
1:48.0,K. O'Quinn misses 2-pt shot from 4 ft (block by B. Biyombo),,27-37,,
1:44.0,Offensive rebound by K. O'Quinn,,27-37,,
1:42.0,K. O'Quinn makes 2-pt shot at rim,2,29-37,,
1:35.0,,,29-37,,Shooting foul by T. Burke (drawn by E. Fournier)
1:35.0,,,29-38,1,E. Fournier makes free throw 1 of 2
1:35.0,,,29-39,1,E. Fournier makes free throw 2 of 2
1:20.0,D. Dotson misses 2-pt shot from 2 ft,,29-39,,
1:14.0,Offensive rebound by K. O'Quinn,,29-39,,
1:14.0,K. O'Quinn makes 2-pt shot at rim,2,31-39,,
1:09.0,,,31-39,,S. Mack misses 2-pt shot from 3 ft (block by K. O'Quinn)
1:05.0,Defensive rebound by F. Ntilikina,,31-39,,
1:00.0,D. Dotson misses 3-pt shot from 23 ft,,31-39,,
0:57.0,,,31-39,,Defensive rebound by B. Biyombo
0:44.0,,,31-41,2,W. Iwundu makes 2-pt shot from 6 ft (assist by M. Hezonja)
0:25.0,T. Burke misses 2-pt shot from 18 ft,,31-41,,
0:22.0,,,31-41,,Defensive rebound by W. Iwundu
0:04.0,,,31-41,,E. Fournier misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by L. Thomas,,31-41,,
0:00.0,Jump ball: N. Vucevic vs. E. Kanter (E. Mudiay gains possession),,,,Jump ball: N. Vucevic vs. E. Kanter (E. Mudiay gains possession)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,31-41,,B. Biyombo misses 2-pt shot from 1 ft (block by K. O'Quinn)
11:33.0,Defensive rebound by K. O'Quinn,,31-41,,
11:27.0,Shooting foul by W. Iwundu (drawn by L. Thomas),,31-41,,
11:27.0,L. Thomas makes free throw 1 of 2,1,32-41,,
11:27.0,L. Thomas makes free throw 2 of 2,1,33-41,,
11:18.0,,,33-41,,Shooting foul by D. Dotson (drawn by B. Biyombo)
11:18.0,,,33-42,1,B. Biyombo makes free throw 1 of 2
11:18.0,,,33-42,,B. Biyombo misses free throw 2 of 2
11:15.0,Defensive rebound by K. O'Quinn,,33-42,,
11:05.0,D. Dotson makes 3-pt shot from 25 ft (assist by T. Burke),3,36-42,,
10:53.0,Jump ball: M. Hezonja vs. L. Thomas (S. Mack gains possession),,,,Jump ball: M. Hezonja vs. L. Thomas (S. Mack gains possession)
10:45.0,,,36-44,2,A. Afflalo makes 2-pt shot from 22 ft (assist by S. Mack)
10:31.0,K. O'Quinn misses 2-pt shot from 16 ft,,36-44,,
10:31.0,Offensive rebound by L. Thomas,,36-44,,
10:26.0,D. Dotson misses 2-pt shot from 16 ft,,36-44,,
10:24.0,,,36-44,,Defensive rebound by B. Biyombo
10:14.0,,,36-44,,W. Iwundu misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by K. O'Quinn,,36-44,,
10:05.0,T. Burke misses 2-pt shot from 9 ft,,36-44,,
10:01.0,,,36-44,,Defensive rebound by M. Hezonja
9:57.0,,,36-44,,B. Biyombo misses 2-pt shot from 1 ft
9:56.0,,,36-44,,Offensive rebound by W. Iwundu
9:56.0,,,36-46,2,W. Iwundu makes 2-pt shot at rim
9:56.0,New York full timeout,,36-46,,
9:56.0,M. Beasley enters the game for L. Thomas,,36-46,,
9:41.0,F. Ntilikina makes 2-pt shot from 9 ft,2,38-46,,
9:18.0,Personal foul by D. Dotson (drawn by M. Hezonja),,38-46,,
9:09.0,,,38-46,,M. Hezonja misses 3-pt shot from 28 ft
9:06.0,,,38-46,,Offensive rebound by S. Mack
9:01.0,,,38-46,,W. Iwundu misses 2-pt shot from 22 ft
8:59.0,Defensive rebound by M. Beasley,,38-46,,
8:53.0,Turnover by F. Ntilikina (lost ball; steal by M. Hezonja),,38-46,,
8:48.0,,,38-48,2,M. Hezonja makes 2-pt shot from 1 ft (assist by A. Afflalo)
8:26.0,T. Burke makes 2-pt shot from 12 ft (assist by F. Ntilikina),2,40-48,,
8:13.0,,,40-50,2,S. Mack makes 2-pt shot from 10 ft
7:55.0,F. Ntilikina misses 2-pt shot from 7 ft (block by B. Biyombo),,40-50,,
7:52.0,,,40-50,,Defensive rebound by A. Afflalo
7:49.0,,,40-50,,Turnover by W. Iwundu (bad pass; steal by F. Ntilikina)
7:43.0,T. Burke makes 3-pt shot from 23 ft (assist by D. Dotson),3,43-50,,
7:41.0,,,43-50,,Orlando full timeout
7:41.0,,,43-50,,K. Birch enters the game for B. Biyombo
7:41.0,,,43-50,,J. Simmons enters the game for W. Iwundu
7:41.0,L. Kornet enters the game for K. O'Quinn,,43-50,,
7:22.0,,,43-50,,Turnover by M. Hezonja (traveling)
7:11.0,T. Burke makes 2-pt shot from 19 ft,2,45-50,,
6:58.0,,,45-52,2,S. Mack makes 2-pt shot from 10 ft
6:42.0,D. Dotson misses 2-pt shot from 14 ft,,45-52,,
6:37.0,,,45-52,,Defensive rebound by S. Mack
6:32.0,,,45-52,,Shooting foul by T. Burke (drawn by K. Birch)
6:32.0,,,45-53,1,K. Birch makes free throw 1 of 2
6:32.0,T. Hardaway enters the game for D. Dotson,,45-53,,
6:32.0,,,45-54,1,K. Birch makes free throw 2 of 2
6:18.0,Turnover by T. Burke (lost ball; steal by S. Mack),,45-54,,
