time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (T. Young gains possession)
11:46.0,,,0-0,,V. Oladipo misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by J. Valanciunas,,0-0,,
11:36.0,J. Valanciunas makes 3-pt shot from 26 ft (assist by K. Lowry),3,3-0,,
11:23.0,,,3-0,,B. Bogdanovic misses 2-pt shot from 6 ft
11:20.0,Defensive rebound by S. Ibaka,,3-0,,
11:05.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,5-0,,
10:56.0,,,5-0,,C. Joseph misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by M. Miller,,5-0,,
10:46.0,Turnover by D. DeRozan (bad pass; steal by V. Oladipo),,5-0,,
10:41.0,,,5-0,,C. Joseph misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by M. Miller,,5-0,,
10:14.0,Turnover by S. Ibaka (lost ball; steal by T. Young),,5-0,,
10:08.0,,,5-2,2,V. Oladipo makes 2-pt shot at rim (assist by B. Bogdanovic)
9:49.0,S. Ibaka misses 2-pt shot from 1 ft,,5-2,,
9:45.0,,,5-2,,Defensive rebound by C. Joseph
9:41.0,,,5-2,,T. Young misses 2-pt shot at rim (block by J. Valanciunas)
9:38.0,Defensive rebound by S. Ibaka,,5-2,,
9:26.0,D. DeRozan makes 2-pt shot from 12 ft,2,7-2,,
9:02.0,,,7-4,2,C. Joseph makes 2-pt shot from 10 ft
8:51.0,Shooting foul by V. Oladipo (drawn by J. Valanciunas),,7-4,,
8:51.0,J. Valanciunas makes free throw 1 of 2,1,8-4,,
8:51.0,J. Valanciunas makes free throw 2 of 2,1,9-4,,
8:43.0,,,9-4,,B. Bogdanovic misses 2-pt shot at rim (block by J. Valanciunas)
8:41.0,Defensive rebound by M. Miller,,9-4,,
8:32.0,M. Miller makes 2-pt shot at rim (assist by D. DeRozan),2,11-4,,
8:24.0,,,11-7,3,V. Oladipo makes 3-pt shot from 25 ft
8:10.0,D. DeRozan misses 2-pt shot from 6 ft,,11-7,,
8:09.0,,,11-7,,Defensive rebound by C. Joseph
8:00.0,,,11-10,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by V. Oladipo)
7:33.0,Offensive charge foul by S. Ibaka (drawn by C. Joseph),,11-10,,
7:33.0,Turnover by S. Ibaka (offensive foul),,11-10,,
7:21.0,,,11-10,,V. Oladipo misses 2-pt shot from 17 ft (block by M. Miller)
7:17.0,Defensive rebound by K. Lowry,,11-10,,
7:12.0,K. Lowry misses 2-pt shot from 3 ft,,11-10,,
7:11.0,,,11-10,,Defensive rebound by V. Oladipo
6:52.0,,,11-12,2,T. Young makes 2-pt shot at rim (assist by C. Joseph)
6:28.0,J. Valanciunas misses 2-pt shot from 5 ft (block by M. Turner),,11-12,,
6:24.0,,,11-12,,Defensive rebound by T. Young
6:23.0,,,11-12,,C. Joseph misses 3-pt shot from 27 ft
6:19.0,Defensive rebound by D. DeRozan,,11-12,,
6:07.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,14-12,,
6:01.0,,,14-12,,Indiana full timeout
5:54.0,,,14-12,,Shooting foul by J. Valanciunas (drawn by B. Bogdanovic)
5:54.0,,,14-13,1,B. Bogdanovic makes free throw 1 of 2
5:54.0,,,14-14,1,B. Bogdanovic makes free throw 2 of 2
5:36.0,Turnover by K. Lowry (bad pass; steal by T. Young),,14-14,,
5:26.0,,,14-14,,T. Young misses 3-pt shot from 27 ft
5:22.0,Defensive rebound by S. Ibaka,,14-14,,
5:08.0,,,14-14,,Personal block foul by M. Turner (drawn by D. DeRozan)
4:55.0,S. Ibaka makes 2-pt shot from 14 ft (assist by J. Valanciunas),2,16-14,,
4:28.0,,,16-16,2,V. Oladipo makes 2-pt shot from 17 ft
4:13.0,D. DeRozan makes 3-pt shot from 27 ft,3,19-16,,
3:59.0,,,19-16,,B. Bogdanovic misses 2-pt shot from 7 ft (block by M. Miller)
