time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Allen (D. Carroll gains possession),,,,Jump ball: T. Thompson vs. J. Allen (D. Carroll gains possession)
11:40.0,D. Carroll makes 3-pt shot from 27 ft (assist by J. Allen),3,3-0,,
11:16.0,,,3-0,,L. James misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by D. Russell,,3-0,,
11:04.0,,,3-0,,Personal foul by G. Hill (drawn by S. Dinwiddie)
10:58.0,D. Russell misses 3-pt shot from 27 ft,,3-0,,
10:57.0,,,3-0,,Defensive rebound by T. Thompson
10:50.0,,,3-0,,G. Hill misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by J. Allen,,3-0,,
10:38.0,D. Russell makes 2-pt shot at rim (assist by S. Dinwiddie),2,5-0,,
10:22.0,,,5-2,2,G. Hill makes 2-pt shot from 15 ft
10:01.0,D. Carroll makes 2-pt shot at rim (assist by S. Dinwiddie),2,7-2,,
9:37.0,,,7-2,,T. Thompson misses 2-pt shot from 8 ft
9:35.0,Defensive rebound by J. Allen,,7-2,,
9:23.0,S. Dinwiddie makes 2-pt shot from 11 ft,2,9-2,,
9:13.0,Violation by S. Dinwiddie (kicked ball),,9-2,,
9:01.0,,,9-4,2,L. James makes 2-pt shot from 1 ft (assist by C. Osman)
8:52.0,D. Russell misses 3-pt shot from 26 ft,,9-4,,
8:52.0,,,9-4,,Defensive rebound by T. Thompson
8:37.0,,,9-6,2,J. Smith makes 2-pt shot from 13 ft
8:13.0,,,9-6,,Personal foul by C. Osman (drawn by D. Russell)
8:06.0,A. Crabbe misses 2-pt shot from 16 ft,,9-6,,
7:57.0,Offensive rebound by D. Carroll,,9-6,,
7:57.0,D. Carroll makes 2-pt shot at rim,2,11-6,,
7:48.0,Personal foul by D. Carroll (drawn by L. James),,11-6,,
7:37.0,,,11-8,2,T. Thompson makes 2-pt shot from 8 ft (assist by L. James)
7:26.0,A. Crabbe misses 3-pt shot from 26 ft,,11-8,,
7:24.0,,,11-8,,Defensive rebound by T. Thompson
7:07.0,,,11-8,,J. Smith misses 3-pt shot from 25 ft
7:05.0,,,11-8,,Offensive rebound by C. Osman
6:56.0,,,11-8,,G. Hill misses 2-pt shot from 17 ft
6:54.0,Defensive rebound by D. Carroll,,11-8,,
6:44.0,J. Allen misses 2-pt shot from 3 ft,,11-8,,
6:41.0,,,11-8,,Defensive rebound by T. Thompson
6:37.0,,,11-8,,Turnover by T. Thompson (lost ball; steal by D. Russell)
6:32.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,14-8,,
6:31.0,,,14-8,,Cleveland full timeout
6:17.0,,,14-8,,Turnover by T. Thompson (turnover)
6:03.0,,,14-8,,Personal foul by J. Smith (drawn by A. Crabbe)
5:57.0,J. Allen makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,16-8,,
5:43.0,,,16-10,2,J. Smith makes 2-pt shot from 21 ft
5:30.0,Shooting foul by T. Thompson (drawn by J. Allen),,16-10,,
5:30.0,J. Allen makes free throw 1 of 2,1,17-10,,
5:30.0,,,17-10,,R. Hood enters the game for C. Osman
5:30.0,J. Harris enters the game for D. Russell,,17-10,,
5:30.0,J. Allen misses free throw 2 of 2,,17-10,,
5:27.0,,,17-10,,Defensive rebound by L. James
5:23.0,,,17-10,,L. James misses 2-pt shot from 19 ft
5:19.0,Defensive rebound by A. Crabbe,,17-10,,
5:12.0,A. Crabbe makes 2-pt shot from 8 ft,2,19-10,,
4:57.0,,,19-13,3,L. James makes 3-pt shot from 25 ft (assist by T. Thompson)
4:36.0,Turnover by J. Harris (lost ball; steal by L. James),,19-13,,
4:31.0,,,19-13,,L. Nance enters the game for T. Thompson
4:31.0,D. Cunningham enters the game for D. Carroll,,19-13,,
4:31.0,R. Hollis-Jefferson enters the game for J. Allen,,19-13,,
4:21.0,,,19-15,2,L. James makes 2-pt shot from 1 ft
4:06.0,Turnover by R. Hollis-Jefferson (lost ball; steal by G. Hill),,19-15,,
4:02.0,,,19-15,,J. Smith misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by J. Harris,,19-15,,
3:55.0,A. Crabbe misses 3-pt shot from 23 ft,,19-15,,
3:55.0,,,19-15,,Defensive rebound by R. Hood
3:46.0,,,19-15,,J. Smith misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by D. Cunningham,,19-15,,
3:33.0,Brooklyn full timeout,,19-15,,
3:33.0,,,19-15,,J. Clarkson enters the game for J. Smith
3:28.0,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson),,19-15,,
