time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (J. Randle gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (J. Randle gains possession)
11:44.0,,,0-0,,Personal foul by D. Mitchell (drawn by J. Randle)
11:30.0,K. Kuzma makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope),2,2-0,,
11:08.0,,,2-0,,D. Favors misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by J. Randle,,2-0,,
10:59.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,5-0,,
10:44.0,,,5-0,,R. Gobert misses 2-pt shot from 2 ft (block by B. Lopez)
10:40.0,Defensive rebound by J. Randle,,5-0,,
10:35.0,Shooting foul by J. Ingles (drawn by J. Randle),,5-0,,
10:35.0,J. Randle makes free throw 1 of 2,1,6-0,,
10:35.0,J. Randle misses free throw 2 of 2,,6-0,,
10:33.0,,,6-0,,Defensive rebound by R. Gobert
10:18.0,,,6-0,,D. Favors misses 2-pt shot from 3 ft
10:16.0,Defensive rebound by J. Randle,,6-0,,
10:09.0,B. Lopez makes 3-pt shot from 26 ft (assist by J. Randle),3,9-0,,
10:07.0,,,9-0,,Utah full timeout
9:49.0,,,9-3,3,R. Rubio makes 3-pt shot from 24 ft
9:29.0,K. Kuzma makes 2-pt shot from 21 ft,2,11-3,,
9:10.0,,,11-3,,R. Rubio misses 3-pt shot from 26 ft
9:08.0,,,11-3,,Offensive rebound by D. Favors
9:07.0,,,11-5,2,D. Favors makes 2-pt shot from 1 ft
8:54.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by J. Randle),2,13-5,,
8:43.0,,,13-5,,Shooting foul by K. Caldwell-Pope (drawn by D. Mitchell)
8:43.0,,,13-5,,D. Mitchell misses free throw 1 of 2
8:43.0,,,13-5,,Offensive rebound by Team
8:43.0,,,13-6,1,D. Mitchell makes free throw 2 of 2
8:24.0,K. Kuzma makes 2-pt shot from 15 ft (assist by B. Lopez),2,15-6,,
8:07.0,,,15-8,2,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Gobert)
7:57.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,18-8,,
7:35.0,,,18-11,3,R. Rubio makes 3-pt shot from 24 ft (assist by J. Ingles)
7:22.0,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Randle),2,20-11,,
7:06.0,,,20-13,2,R. Rubio makes 2-pt shot from 14 ft
6:58.0,Turnover by J. Randle (bad pass; steal by R. Gobert),,20-13,,
6:50.0,,,20-13,,Shooting foul by K. Caldwell-Pope (drawn by R. Rubio)
6:50.0,,,20-14,1,R. Rubio makes free throw 1 of 2
6:50.0,,,20-15,1,R. Rubio makes free throw 2 of 2
6:30.0,K. Kuzma misses 3-pt shot from 25 ft,,20-15,,
6:26.0,,,20-15,,Defensive rebound by R. Gobert
6:05.0,,,20-15,,R. Rubio misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Randle,,20-15,,
5:55.0,Offensive foul by J. Randle (drawn by R. Rubio),,20-15,,
5:55.0,Turnover by J. Randle (offensive foul),,20-15,,
5:55.0,,,20-15,,J. Crowder enters the game for D. Favors
5:42.0,,,20-15,,R. Gobert misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by J. Randle,,20-15,,
5:35.0,B. Lopez misses 3-pt shot from 26 ft,,20-15,,
5:32.0,,,20-15,,Defensive rebound by J. Crowder
5:24.0,,,20-15,,J. Ingles misses 3-pt shot from 24 ft
5:20.0,,,20-15,,Offensive rebound by D. Mitchell
5:12.0,,,20-18,3,J. Crowder makes 3-pt shot from 22 ft (assist by D. Mitchell)
5:08.0,LA Lakers full timeout,,20-18,,
5:08.0,,,20-18,,R. O'Neale enters the game for J. Ingles
5:08.0,J. Hart enters the game for K. Caldwell-Pope,,20-18,,
4:57.0,B. Lopez makes 2-pt shot from 4 ft (assist by A. Caruso),2,22-18,,
4:36.0,,,22-18,,D. Mitchell misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by K. Kuzma,,22-18,,
