time,LA Lakers,pts.away,score,pts.home,Dallas
1:07.0,,,32-32,2,D. McDermott makes 2-pt shot at rim (assist by Y. Ferrell)
0:52.0,B. Ingram makes 2-pt shot at rim,2,34-32,,
0:34.0,,,34-34,2,J. Barea makes 2-pt shot from 18 ft
0:17.0,J. Randle makes 2-pt shot from 3 ft (assist by I. Thomas),2,36-34,,
0:00.0,,,36-34,,D. Powell misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by K. Kuzma,,36-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,36-36,2,D. McDermott makes 2-pt shot from 16 ft (assist by J. Barea)
11:34.0,K. Kuzma makes 2-pt shot from 5 ft (assist by J. Hart),2,38-36,,
11:17.0,,,38-36,,D. Powell misses 2-pt shot from 2 ft
11:16.0,,,38-36,,Offensive rebound by D. McDermott
11:15.0,,,38-36,,D. McDermott misses 2-pt shot from 2 ft
11:14.0,,,38-36,,Offensive rebound by D. Powell
11:13.0,,,38-36,,D. Powell misses 2-pt shot from 1 ft
11:12.0,,,38-36,,Offensive rebound by D. Powell
11:11.0,,,38-36,,Turnover by D. Powell (bad pass)
11:01.0,Turnover by J. Hart (bad pass; steal by D. Powell),,38-36,,
10:49.0,Personal foul by B. Lopez (drawn by J. Barea),,38-36,,
10:43.0,,,38-36,,D. McDermott misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by J. Hart,,38-36,,
10:32.0,I. Thomas makes 2-pt shot from 18 ft (assist by B. Lopez),2,40-36,,
10:13.0,,,40-36,,J. Barea misses 2-pt shot from 14 ft
10:10.0,Defensive rebound by B. Lopez,,40-36,,
10:06.0,K. Kuzma makes 2-pt shot from 14 ft (assist by I. Thomas),2,42-36,,
9:48.0,,,42-36,,D. Powell misses 2-pt shot from 2 ft
9:45.0,Defensive rebound by K. Kuzma,,42-36,,
9:40.0,I. Thomas makes 3-pt shot from 24 ft,3,45-36,,
9:39.0,,,45-36,,Dallas full timeout
9:14.0,,,45-36,,Y. Ferrell misses 2-pt shot from 7 ft
9:08.0,,,45-36,,Offensive rebound by D. Powell
9:08.0,,,45-38,2,D. Powell makes 2-pt shot at rim
8:56.0,I. Thomas misses 3-pt shot from 24 ft,,45-38,,
8:56.0,Offensive rebound by B. Lopez,,45-38,,
8:51.0,C. Brewer makes 2-pt shot at rim (assist by I. Thomas),2,47-38,,
8:40.0,,,47-40,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
8:23.0,B. Lopez misses 3-pt shot from 25 ft,,47-40,,
8:21.0,Offensive rebound by C. Brewer,,47-40,,
8:20.0,C. Brewer misses 2-pt shot at rim,,47-40,,
8:19.0,Offensive rebound by K. Kuzma,,47-40,,
8:18.0,K. Kuzma misses 2-pt shot from 1 ft,,47-40,,
8:16.0,Offensive rebound by C. Brewer,,47-40,,
8:15.0,K. Kuzma misses 2-pt shot from 17 ft,,47-40,,
8:15.0,Offensive rebound by Team,,47-40,,
8:15.0,,,47-40,,Loose ball foul by J. Barea (drawn by C. Brewer)
8:15.0,,,47-40,,K. Collinsworth enters the game for Y. Ferrell
8:04.0,K. Kuzma misses 2-pt shot from 11 ft,,47-40,,
8:01.0,,,47-40,,Defensive rebound by D. McDermott
7:54.0,,,47-40,,Turnover by J. Barea (bad pass; steal by I. Thomas)
7:46.0,Turnover by I. Thomas (bad pass; steal by D. McDermott),,47-40,,
7:40.0,,,47-42,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by K. Collinsworth)
7:28.0,,,47-42,,Personal foul by D. Powell (drawn by B. Lopez)
7:19.0,B. Lopez makes 2-pt shot from 4 ft,2,49-42,,
7:19.0,Shooting foul by K. Collinsworth (drawn by B. Lopez),,49-42,,
7:19.0,B. Lopez makes free throw 1 of 1,1,50-42,,
7:07.0,,,50-42,,D. McDermott misses 3-pt shot from 25 ft
7:05.0,,,50-42,,Offensive rebound by K. Collinsworth
6:59.0,,,50-42,,Turnover by K. Collinsworth (bad pass; steal by K. Kuzma)
6:49.0,I. Thomas makes 3-pt shot from 24 ft,3,53-42,,
6:49.0,,,53-42,,Dallas full timeout
6:49.0,,,53-42,,W. Matthews enters the game for J. Barea
6:49.0,,,53-42,,D. Smith enters the game for D. Powell
6:49.0,,,53-42,,H. Barnes enters the game for D. McDermott
6:49.0,,,53-42,,M. Kleber enters the game for D. Nowitzki
6:49.0,K. Caldwell-Pope enters the game for C. Brewer,,53-42,,
6:36.0,Personal foul by K. Caldwell-Pope (drawn by W. Matthews),,53-42,,
6:31.0,,,53-44,2,M. Kleber makes 2-pt shot at rim (assist by D. Smith)
6:10.0,,,53-44,,Personal foul by W. Matthews (drawn by B. Lopez)
6:04.0,Offensive foul by B. Lopez (drawn by K. Collinsworth),,53-44,,
6:04.0,Turnover by B. Lopez (offensive foul),,53-44,,
6:04.0,J. Randle enters the game for I. Thomas,,53-44,,
6:04.0,B. Ingram enters the game for B. Lopez,,53-44,,
5:45.0,,,53-46,2,M. Kleber makes 2-pt shot from 1 ft (assist by D. Smith)
5:30.0,J. Hart misses 3-pt shot from 25 ft,,53-46,,
5:26.0,Offensive rebound by K. Caldwell-Pope,,53-46,,
5:24.0,J. Randle misses 2-pt shot from 2 ft (block by M. Kleber),,53-46,,
5:21.0,,,53-46,,Defensive rebound by D. Smith
5:19.0,,,53-49,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
5:15.0,LA Lakers full timeout,,53-49,,
5:05.0,B. Ingram makes 2-pt shot at rim (assist by K. Kuzma),2,55-49,,
4:43.0,,,55-52,3,W. Matthews makes 3-pt shot from 25 ft
4:28.0,K. Kuzma misses 3-pt shot from 22 ft,,55-52,,
4:24.0,,,55-52,,Defensive rebound by H. Barnes
4:19.0,Personal foul by B. Ingram (drawn by M. Kleber),,55-52,,
4:08.0,,,55-52,,Shooting foul by J. Hart (drawn by H. Barnes)
4:08.0,,,55-53,1,H. Barnes makes free throw 1 of 2
4:08.0,,,55-54,1,H. Barnes makes free throw 2 of 2
3:54.0,J. Randle makes 2-pt shot from 3 ft,2,57-54,,
3:40.0,Personal foul by J. Hart (drawn by M. Kleber),,57-54,,
3:40.0,,,57-55,1,M. Kleber makes free throw 1 of 2
3:40.0,,,57-55,,M. Kleber misses free throw 2 of 2
3:37.0,Defensive rebound by K. Kuzma,,57-55,,
3:25.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by J. Randle),2,59-55,,
3:08.0,,,59-57,2,K. Collinsworth makes 2-pt shot from 4 ft
3:01.0,,,59-57,,Personal foul by M. Kleber (drawn by J. Randle)
3:01.0,J. Randle makes free throw 1 of 2,1,60-57,,
3:01.0,I. Thomas enters the game for J. Hart,,60-57,,
3:01.0,J. Randle makes free throw 2 of 2,1,61-57,,
2:43.0,,,61-57,,H. Barnes misses 2-pt shot from 22 ft
2:41.0,Defensive rebound by J. Randle,,61-57,,
2:37.0,,,61-57,,Violation by H. Barnes (kicked ball)
2:21.0,K. Kuzma misses 3-pt shot from 23 ft,,61-57,,
2:18.0,Offensive rebound by K. Caldwell-Pope,,61-57,,
2:16.0,I. Thomas makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,64-57,,
1:59.0,,,64-57,,W. Matthews misses 3-pt shot from 25 ft
1:56.0,,,64-57,,Offensive rebound by M. Kleber
1:55.0,,,64-57,,M. Kleber misses 2-pt shot at rim
1:53.0,Defensive rebound by K. Kuzma,,64-57,,
1:44.0,B. Ingram misses 2-pt shot from 7 ft,,64-57,,
1:44.0,,,64-57,,Defensive rebound by M. Kleber
