time,Boston,pts.away,score,pts.home,Utah
8:19.0,,,12-7,,Defensive rebound by D. Favors
8:08.0,,,12-9,2,R. Gobert makes 2-pt shot from 3 ft (assist by R. Rubio)
7:45.0,J. Tatum misses 2-pt shot from 15 ft,,12-9,,
7:42.0,,,12-9,,Defensive rebound by R. Rubio
7:37.0,,,12-9,,Turnover by R. Gobert (out of bounds lost ball)
7:21.0,J. Tatum misses 2-pt shot from 14 ft,,12-9,,
7:19.0,,,12-9,,Defensive rebound by R. Gobert
7:15.0,,,12-12,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
6:54.0,J. Brown misses 2-pt shot from 5 ft,,12-12,,
6:52.0,,,12-12,,Defensive rebound by R. Gobert
6:43.0,,,12-14,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
6:26.0,T. Rozier misses 2-pt shot from 3 ft,,12-14,,
6:23.0,,,12-14,,Defensive rebound by J. Ingles
6:16.0,,,12-16,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
6:16.0,Boston full timeout,,12-16,,
6:16.0,S. Larkin enters the game for J. Tatum,,12-16,,
6:16.0,S. Ojeleye enters the game for G. Yabusele,,12-16,,
6:02.0,T. Rozier misses 2-pt shot from 11 ft,,12-16,,
5:59.0,,,12-16,,Defensive rebound by R. Gobert
5:36.0,,,12-16,,Turnover by R. Gobert (lost ball; steal by J. Brown)
5:14.0,S. Larkin misses 2-pt shot from 5 ft (block by R. Gobert),,12-16,,
5:11.0,,,12-16,,Defensive rebound by R. Rubio
5:07.0,,,12-18,2,D. Favors makes 2-pt shot from 16 ft (assist by R. Rubio)
4:51.0,T. Rozier misses 3-pt shot from 23 ft,,12-18,,
4:48.0,,,12-18,,Defensive rebound by R. Gobert
4:37.0,,,12-18,,R. Rubio misses 2-pt shot from 20 ft
4:33.0,Defensive rebound by T. Rozier,,12-18,,
4:21.0,A. Baynes makes 2-pt shot from 14 ft (assist by T. Rozier),2,14-18,,
4:04.0,,,14-18,,D. Favors misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by S. Larkin,,14-18,,
3:51.0,J. Brown misses 2-pt shot from 13 ft,,14-18,,
3:48.0,,,14-18,,Defensive rebound by R. Gobert
3:38.0,Personal foul by S. Larkin (drawn by J. Ingles),,14-18,,
3:38.0,G. Monroe enters the game for A. Baynes,,14-18,,
3:38.0,,,14-18,,J. Jerebko enters the game for J. Ingles
3:38.0,,,14-18,,J. Crowder enters the game for R. Rubio
3:38.0,,,14-18,,R. O'Neale enters the game for D. Favors
3:38.0,A. Nader enters the game for J. Brown,,14-18,,
3:30.0,,,14-18,,J. Jerebko misses 2-pt shot from 3 ft
3:28.0,,,14-18,,Offensive rebound by R. Gobert
3:27.0,,,14-18,,Turnover by R. Gobert (out of bounds lost ball)
3:07.0,A. Nader makes 2-pt shot from 12 ft,2,16-18,,
2:44.0,,,16-18,,D. Mitchell misses 2-pt shot from 20 ft
2:41.0,Defensive rebound by S. Larkin,,16-18,,
2:21.0,G. Monroe misses 2-pt shot from 19 ft (block by R. Gobert),,16-18,,
2:18.0,,,16-18,,Defensive rebound by R. O'Neale
2:15.0,,,16-21,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. O'Neale)
1:55.0,A. Nader misses 2-pt shot from 18 ft,,16-21,,
1:51.0,,,16-21,,Defensive rebound by J. Jerebko
1:40.0,,,16-21,,J. Crowder misses 3-pt shot from 25 ft
1:35.0,,,16-21,,Offensive rebound by J. Jerebko
1:34.0,,,16-21,,D. Mitchell misses 3-pt shot from 25 ft
1:30.0,,,16-21,,Offensive rebound by J. Jerebko
1:26.0,,,16-21,,J. Crowder misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by T. Rozier,,16-21,,
1:13.0,G. Monroe misses 2-pt shot from 4 ft,,16-21,,
1:12.0,,,16-21,,Defensive rebound by J. Crowder
1:09.0,,,16-21,,Offensive charge foul by J. Crowder (drawn by S. Ojeleye)
1:09.0,,,16-21,,Turnover by J. Crowder (offensive foul)
1:09.0,,,16-21,,D. Favors enters the game for R. Gobert
1:09.0,,,16-21,,D. Exum enters the game for D. Mitchell
1:09.0,J. Tatum enters the game for T. Rozier,,16-21,,
0:49.0,S. Larkin misses 2-pt shot from 4 ft,,16-21,,
0:48.0,Offensive rebound by G. Monroe,,16-21,,
0:48.0,G. Monroe makes 2-pt shot from 2 ft,2,18-21,,
0:36.0,,,18-21,,Turnover by D. Exum (bad pass; steal by G. Monroe)
0:31.0,Turnover by A. Nader (lost ball; steal by J. Crowder),,18-21,,
0:13.0,,,18-24,3,J. Jerebko makes 3-pt shot from 23 ft (assist by D. Exum)
0:06.0,,,18-24,,Personal foul by D. Exum (drawn by S. Larkin)
0:00.0,J. Tatum misses 2-pt shot from 17 ft (block by R. O'Neale),,18-24,,
0:00.0,Offensive rebound by Team,,18-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,G. Monroe misses 2-pt shot from 8 ft,,18-24,,
11:35.0,,,18-24,,Defensive rebound by J. Jerebko
11:19.0,,,18-24,,Turnover by J. Ingles (bad pass; steal by G. Monroe)
11:07.0,Turnover by J. Tatum (bad pass; steal by J. Crowder),,18-24,,
10:53.0,,,18-24,,Turnover by D. Favors (out of bounds lost ball)
10:39.0,J. Tatum misses 2-pt shot from 3 ft,,18-24,,
10:38.0,,,18-24,,Defensive rebound by J. Jerebko
10:32.0,,,18-24,,D. Exum misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by G. Monroe,,18-24,,
10:21.0,Shooting foul by D. Favors (drawn by G. Monroe),,18-24,,
10:21.0,G. Monroe makes free throw 1 of 2,1,19-24,,
10:21.0,G. Monroe makes free throw 2 of 2,1,20-24,,
10:06.0,,,20-24,,J. Jerebko misses 3-pt shot from 22 ft
10:03.0,,,20-24,,Offensive rebound by D. Favors
9:55.0,,,20-24,,J. Crowder misses 3-pt shot from 24 ft
9:51.0,,,20-24,,Offensive rebound by D. Favors
9:50.0,,,20-26,2,D. Favors makes 2-pt shot from 2 ft
9:33.0,,,20-26,,R. O'Neale enters the game for J. Crowder
9:27.0,G. Monroe misses 2-pt shot from 3 ft,,20-26,,
9:25.0,,,20-26,,Defensive rebound by J. Jerebko
9:19.0,,,20-26,,J. Jerebko misses 2-pt shot from 3 ft
9:15.0,,,20-26,,Offensive rebound by D. Exum
9:15.0,,,20-28,2,D. Exum makes 2-pt shot at rim
9:05.0,S. Larkin makes 3-pt shot from 25 ft (assist by G. Monroe),3,23-28,,
8:48.0,,,23-28,,J. Ingles misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by S. Ojeleye,,23-28,,
8:46.0,,,23-28,,Personal foul by R. O'Neale (drawn by A. Nader)
8:46.0,,,23-28,,R. Gobert enters the game for D. Exum
8:46.0,,,23-28,,R. Rubio enters the game for D. Favors
8:30.0,J. Tatum makes 3-pt shot from 25 ft (assist by G. Monroe),3,26-28,,
8:07.0,,,26-28,,J. Jerebko misses 2-pt shot from 5 ft
8:03.0,Defensive rebound by G. Monroe,,26-28,,
7:51.0,J. Tatum makes 2-pt shot from 4 ft,2,28-28,,
7:51.0,,,28-28,,Utah full timeout
7:51.0,,,28-28,,D. Favors enters the game for J. Ingles
7:51.0,,,28-28,,D. Mitchell enters the game for J. Jerebko
7:41.0,,,28-28,,D. Mitchell misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by G. Monroe,,28-28,,
7:16.0,Turnover by Team (shot clock),,28-28,,
7:01.0,,,28-30,2,R. Rubio makes 2-pt shot from 16 ft (assist by D. Mitchell)
6:45.0,,,28-30,,Personal foul by R. O'Neale (drawn by J. Tatum)
6:30.0,G. Monroe misses 2-pt shot from 7 ft,,28-30,,
6:29.0,,,28-30,,Defensive rebound by R. Rubio
6:25.0,,,28-30,,Turnover by R. Rubio (bad pass; steal by S. Ojeleye)
6:20.0,A. Nader makes 2-pt shot from 3 ft (assist by S. Larkin),2,30-30,,
6:02.0,,,30-32,2,R. Rubio makes 2-pt shot from 10 ft (assist by R. Gobert)
