time,Boston,pts.away,score,pts.home,Utah
3:17.0,,,86-89,,Offensive rebound by Team
3:17.0,,,86-90,1,R. Gobert makes free throw 2 of 2
3:05.0,J. Tatum misses 2-pt shot from 3 ft,,86-90,,
3:05.0,,,86-90,,Defensive rebound by Team
2:52.0,,,86-92,2,D. Mitchell makes 2-pt shot from 1 ft
2:43.0,T. Rozier makes 2-pt shot from 2 ft (assist by J. Brown),2,88-92,,
2:25.0,,,88-94,2,J. Crowder makes 2-pt shot from 2 ft (assist by D. Mitchell)
2:11.0,G. Monroe makes 2-pt shot from 5 ft,2,90-94,,
1:49.0,,,90-94,,R. Rubio misses 2-pt shot from 15 ft
1:44.0,Defensive rebound by S. Larkin,,90-94,,
1:36.0,J. Tatum misses 3-pt shot from 24 ft,,90-94,,
1:33.0,Offensive rebound by S. Larkin,,90-94,,
1:33.0,S. Larkin misses 2-pt shot at rim,,90-94,,
1:33.0,Offensive rebound by G. Monroe,,90-94,,
1:33.0,G. Monroe misses 2-pt shot at rim,,90-94,,
1:33.0,Offensive rebound by G. Monroe,,90-94,,
1:33.0,Shooting foul by D. Mitchell (drawn by G. Monroe),,90-94,,
1:33.0,G. Monroe makes free throw 1 of 2,1,91-94,,
1:33.0,G. Monroe makes free throw 2 of 2,1,92-94,,
1:11.0,,,92-94,,Turnover by D. Mitchell (lost ball; steal by J. Brown)
1:09.0,J. Tatum makes 2-pt shot from 3 ft (assist by J. Brown),2,94-94,,
1:09.0,,,94-94,,Utah full timeout
1:09.0,A. Baynes enters the game for G. Monroe,,94-94,,
1:00.0,,,94-94,,D. Mitchell misses 2-pt shot from 11 ft
0:58.0,Defensive rebound by T. Rozier,,94-94,,
0:45.0,T. Rozier misses 3-pt shot from 27 ft,,94-94,,
0:40.0,,,94-94,,Defensive rebound by R. Rubio
0:20.0,,,94-94,,J. Crowder misses 3-pt shot from 26 ft (block by J. Tatum)
0:17.0,,,94-94,,Offensive rebound by J. Ingles
0:16.0,,,94-94,,J. Ingles misses 2-pt shot from 10 ft
0:14.0,Defensive rebound by S. Larkin,,94-94,,
0:14.0,Boston full timeout,,94-94,,
0:14.0,S. Ojeleye enters the game for A. Baynes,,94-94,,
0:01.0,J. Brown makes 3-pt shot from 26 ft (assist by S. Ojeleye),3,97-94,,
0:00.0,,,97-94,,Utah full timeout
0:00.0,,,97-94,,D. Mitchell misses 3-pt shot from 30 ft
0:00.0,,,97-94,,Offensive rebound by Team
