time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. A. Len (D. Bender gains possession),,,,Jump ball: D. Powell vs. A. Len (D. Bender gains possession)
11:44.0,D. House misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Collinsworth
11:34.0,,,0-0,,J. Motley misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by D. Bender,,0-0,,
11:21.0,Turnover by A. Len (lost ball; steal by D. Powell),,0-0,,
11:13.0,Shooting block foul by A. Len (drawn by D. Powell),,0-0,,
11:13.0,,,0-1,1,D. Powell makes free throw 1 of 2
11:13.0,,,0-2,1,D. Powell makes free throw 2 of 2
10:50.0,D. House misses 3-pt shot from 25 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by D. Powell
10:39.0,,,0-4,2,J. Motley makes 2-pt shot from 1 ft (assist by D. Powell)
10:23.0,Turnover by D. Reed (lost ball; steal by A. Harrison),,0-4,,
10:22.0,,,0-4,,Shooting foul by S. Harrison (drawn by A. Harrison)
10:22.0,,,0-5,1,A. Harrison makes free throw 1 of 2
10:22.0,,,0-6,1,A. Harrison makes free throw 2 of 2
10:10.0,D. Reed misses 2-pt shot from 21 ft,,0-6,,
10:06.0,,,0-6,,Defensive rebound by J. Motley
9:49.0,,,0-6,,D. Finney-Smith misses 2-pt shot from 15 ft
9:47.0,Defensive rebound by D. Bender,,0-6,,
9:35.0,D. House misses 3-pt shot from 25 ft,,0-6,,
9:31.0,Offensive rebound by A. Len,,0-6,,
9:31.0,A. Len makes 2-pt shot at rim,2,2-6,,
9:15.0,,,2-6,,Turnover by J. Motley (bad pass)
8:58.0,A. Len makes 2-pt shot from 1 ft (assist by D. House),2,4-6,,
8:39.0,,,4-6,,A. Harrison misses 3-pt shot from 25 ft
8:36.0,,,4-6,,Offensive rebound by D. Powell
8:32.0,,,4-8,2,K. Collinsworth makes 2-pt shot at rim (assist by D. Powell)
8:18.0,D. Bender makes 3-pt shot from 25 ft (assist by S. Harrison),3,7-8,,
8:02.0,,,7-10,2,D. Powell makes 2-pt shot from 1 ft
7:45.0,A. Len makes 2-pt shot from 6 ft,2,9-10,,
7:23.0,,,9-10,,K. Collinsworth misses 2-pt shot from 12 ft
7:22.0,,,9-10,,Offensive rebound by K. Collinsworth
7:20.0,,,9-10,,K. Collinsworth misses 2-pt shot at rim
7:20.0,Defensive rebound by D. Bender,,9-10,,
7:02.0,,,9-10,,Personal foul by A. Harrison (drawn by S. Harrison)
6:54.0,Shooting foul by D. Finney-Smith (drawn by A. Len),,9-10,,
6:54.0,,,9-10,,Dallas full timeout
6:54.0,T. Ulis enters the game for D. Bender,,9-10,,
6:54.0,J. Dudley enters the game for S. Harrison,,9-10,,
6:54.0,A. Len makes free throw 1 of 2,1,10-10,,
6:54.0,A. Len makes free throw 2 of 2,1,11-10,,
6:38.0,,,11-12,2,D. Powell makes 2-pt shot from 4 ft
6:26.0,Shooting foul by J. Motley (drawn by A. Len),,11-12,,
6:26.0,A. Len misses free throw 1 of 2,,11-12,,
6:26.0,Offensive rebound by Team,,11-12,,
6:26.0,A. Len misses free throw 2 of 2,,11-12,,
6:23.0,,,11-12,,Defensive rebound by D. Finney-Smith
6:14.0,,,11-14,2,J. Motley makes 2-pt shot from 4 ft (assist by D. Finney-Smith)
5:58.0,D. Reed makes 2-pt shot from 3 ft (assist by J. Dudley),2,13-14,,
5:39.0,,,13-14,,A. Harrison misses 2-pt shot from 17 ft
5:36.0,,,13-14,,Offensive rebound by D. Powell
5:27.0,,,13-16,2,J. Motley makes 2-pt shot from 1 ft (assist by A. Harrison)
5:11.0,A. Len makes 2-pt shot from 1 ft (assist by J. Dudley),2,15-16,,
4:58.0,,,15-18,2,K. Collinsworth makes 2-pt shot from 9 ft
4:43.0,A. Len misses 2-pt shot from 3 ft,,15-18,,
4:41.0,,,15-18,,Defensive rebound by D. Powell
4:30.0,,,15-18,,J. Motley misses 2-pt shot from 5 ft
4:27.0,Defensive rebound by D. House,,15-18,,
4:24.0,D. Reed misses 2-pt shot from 22 ft,,15-18,,
4:20.0,,,15-18,,Defensive rebound by K. Collinsworth
4:12.0,,,15-18,,D. Powell misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by D. Reed,,15-18,,
4:05.0,,,15-18,,Personal foul by D. Powell (drawn by J. Dudley)
4:05.0,,,15-18,,J. Jones enters the game for J. Motley
4:05.0,,,15-18,,M. Kleber enters the game for D. Powell
4:05.0,A. Peters enters the game for A. Len,,15-18,,
4:05.0,D. Bender enters the game for D. House,,15-18,,
4:05.0,S. Harrison enters the game for D. Reed,,15-18,,
3:48.0,A. Peters makes 3-pt shot from 25 ft (assist by T. Ulis),3,18-18,,
3:28.0,,,18-21,3,D. Finney-Smith makes 3-pt shot from 25 ft
3:21.0,J. Dudley misses 2-pt shot from 2 ft,,18-21,,
3:19.0,Offensive rebound by Team,,18-21,,
3:19.0,Turnover by J. Dudley (traveling),,18-21,,
2:59.0,,,18-21,,D. Finney-Smith misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by S. Harrison,,18-21,,
2:49.0,D. Bender misses 3-pt shot from 25 ft,,18-21,,
2:46.0,,,18-21,,Defensive rebound by D. Finney-Smith
2:37.0,,,18-23,2,J. Jones makes 2-pt shot from 11 ft (assist by K. Collinsworth)
2:37.0,Phoenix full timeout,,18-23,,
2:37.0,,,18-23,,Y. Ferrell enters the game for D. Finney-Smith
2:29.0,A. Peters makes 2-pt shot at rim (assist by J. Dudley),2,20-23,,
2:29.0,Shooting foul by J. Jones (drawn by A. Peters),,20-23,,
2:29.0,A. Peters makes free throw 1 of 1,1,21-23,,
2:13.0,,,21-23,,K. Collinsworth misses 2-pt shot from 3 ft
2:11.0,,,21-23,,Offensive rebound by K. Collinsworth
2:09.0,,,21-23,,A. Harrison misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by A. Peters,,21-23,,
2:00.0,S. Harrison makes 2-pt shot at rim (assist by T. Ulis),2,23-23,,
1:39.0,,,23-23,,K. Collinsworth misses 2-pt shot from 9 ft (block by D. Bender)
1:39.0,,,23-23,,Offensive rebound by Team
1:37.0,Personal foul by J. Dudley (drawn by J. Jones),,23-23,,
1:27.0,,,23-26,3,J. Jones makes 3-pt shot from 25 ft (assist by K. Collinsworth)
