time,New Orleans,pts.away,score,pts.home,New York
1:50.0,,,13-24,,Defensive rebound by K. Porzingis
1:42.0,,,13-24,,T. Hardaway misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by A. Davis,,13-24,,
1:33.0,A. Davis misses 2-pt shot from 19 ft,,13-24,,
1:33.0,,,13-24,,Defensive rebound by F. Ntilikina
1:23.0,,,13-27,3,D. McDermott makes 3-pt shot from 25 ft (assist by K. Porzingis)
1:05.0,I. Clark misses 3-pt shot from 25 ft,,13-27,,
1:03.0,,,13-27,,Defensive rebound by F. Ntilikina
0:55.0,,,13-27,,Turnover by F. Ntilikina (bad pass; steal by J. Holiday)
0:49.0,I. Clark misses 3-pt shot from 24 ft,,13-27,,
0:46.0,,,13-27,,Defensive rebound by T. Hardaway
0:25.0,,,13-27,,K. Porzingis misses 2-pt shot from 14 ft
0:23.0,,,13-27,,Offensive rebound by Team
0:03.0,,,13-29,2,T. Hardaway makes 2-pt shot from 3 ft
0:00.0,J. Holiday misses 3-pt shot from 37 ft,,13-29,,
0:00.0,Offensive rebound by Team,,13-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Miller makes 2-pt shot from 18 ft (assist by D. Cousins),2,15-29,,
11:22.0,,,15-29,,T. Hardaway misses 2-pt shot from 10 ft
11:20.0,,,15-29,,Offensive rebound by K. O'Quinn
11:18.0,,,15-29,,F. Ntilikina misses 3-pt shot from 24 ft
11:17.0,,,15-29,,Offensive rebound by Team
11:17.0,Loose ball foul by I. Clark (drawn by K. O'Quinn),,15-29,,
11:13.0,,,15-29,,Turnover by K. O'Quinn (bad pass; steal by D. Cousins)
11:13.0,,,15-29,,Personal foul by K. O'Quinn (drawn by D. Cousins)
11:08.0,,,15-29,,Personal foul by F. Ntilikina (drawn by J. Holiday)
10:55.0,D. Cousins misses 2-pt shot from 6 ft,,15-29,,
10:54.0,Offensive rebound by Team,,15-29,,
10:48.0,J. Holiday misses 3-pt shot from 25 ft,,15-29,,
10:46.0,,,15-29,,Defensive rebound by K. O'Quinn
10:31.0,,,15-32,3,D. McDermott makes 3-pt shot from 27 ft (assist by T. Hardaway)
10:22.0,J. Holiday makes 2-pt shot from 1 ft (assist by I. Clark),2,17-32,,
10:22.0,Shooting foul by K. O'Quinn (drawn by J. Holiday),,17-32,,
10:22.0,,,17-32,,C. Lee enters the game for T. Hardaway
10:22.0,J. Holiday makes free throw 1 of 1,1,18-32,,
10:10.0,,,18-34,2,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn)
9:56.0,J. Holiday makes 2-pt shot from 1 ft (assist by I. Clark),2,20-34,,
9:38.0,,,20-34,,Turnover by M. Beasley (lost ball; steal by J. Holiday)
9:35.0,Shooting foul by D. McDermott (drawn by I. Clark),,20-34,,
9:35.0,I. Clark misses free throw 1 of 2,,20-34,,
9:35.0,Offensive rebound by Team,,20-34,,
9:35.0,I. Clark makes free throw 2 of 2,1,21-34,,
9:27.0,,,21-34,,Turnover by D. McDermott (bad pass; steal by D. Cousins)
9:24.0,D. Cousins makes 2-pt shot from 1 ft,2,23-34,,
9:08.0,,,23-34,,Turnover by F. Ntilikina (lost ball; steal by D. Cousins)
8:58.0,D. Cousins misses 3-pt shot from 25 ft,,23-34,,
8:56.0,,,23-34,,Defensive rebound by M. Beasley
8:43.0,,,23-34,,M. Beasley misses 2-pt shot from 7 ft (block by J. Holiday)
8:42.0,,,23-34,,Offensive rebound by Team
8:42.0,A. Davis enters the game for I. Clark,,23-34,,
8:42.0,E. Moore enters the game for D. Cunningham,,23-34,,
8:35.0,,,23-36,2,C. Lee makes 2-pt shot from 19 ft (assist by M. Beasley)
8:21.0,A. Davis makes 2-pt shot from 11 ft,2,25-36,,
8:03.0,,,25-38,2,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina)
7:55.0,A. Davis misses 2-pt shot from 1 ft (block by K. O'Quinn),,25-38,,
7:53.0,,,25-38,,Defensive rebound by M. Beasley
7:49.0,,,25-38,,Turnover by M. Beasley (bad pass; steal by A. Davis)
7:44.0,Turnover by A. Davis (lost ball; steal by D. McDermott),,25-38,,
7:34.0,,,25-38,,F. Ntilikina misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by A. Davis,,25-38,,
7:25.0,,,25-38,,Violation by F. Ntilikina (kicked ball)
7:15.0,J. Holiday makes 2-pt shot from 16 ft,2,27-38,,
7:07.0,,,27-38,,New York full timeout
7:07.0,,,27-38,,J. Jack enters the game for K. O'Quinn
7:07.0,,,27-38,,T. Hardaway enters the game for F. Ntilikina
7:07.0,,,27-38,,E. Kanter enters the game for D. McDermott
6:59.0,,,27-38,,C. Lee misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by A. Davis,,27-38,,
6:47.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cousins),3,30-38,,
6:27.0,,,30-38,,M. Beasley misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by A. Davis,,30-38,,
6:18.0,,,30-38,,Personal foul by T. Hardaway (drawn by A. Davis)
6:18.0,,,30-38,,K. Porzingis enters the game for M. Beasley
6:18.0,A. Davis makes free throw 1 of 2,1,31-38,,
6:18.0,A. Davis makes free throw 2 of 2,1,32-38,,
6:05.0,,,32-38,,Shooting foul by J. Holiday (drawn by J. Jack)
6:05.0,,,32-39,1,J. Jack makes free throw 1 of 2
6:05.0,,,32-40,1,J. Jack makes free throw 2 of 2
5:52.0,J. Holiday misses 2-pt shot from 2 ft (block by K. Porzingis),,32-40,,
5:50.0,,,32-40,,Defensive rebound by J. Jack
5:49.0,,,32-40,,Shooting foul by D. Miller (drawn by T. Hardaway)
5:49.0,,,32-41,1,T. Hardaway makes free throw 1 of 2
5:49.0,,,32-41,,T. Hardaway misses free throw 2 of 2
5:47.0,Defensive rebound by D. Cousins,,32-41,,
5:34.0,E. Moore misses 2-pt shot from 1 ft (block by K. Porzingis),,32-41,,
5:32.0,,,32-41,,Defensive rebound by C. Lee
5:24.0,,,32-41,,K. Porzingis misses 3-pt shot from 27 ft
5:22.0,Defensive rebound by D. Cousins,,32-41,,
5:11.0,Turnover by A. Davis (lost ball; steal by T. Hardaway),,32-41,,
5:10.0,Personal foul by J. Holiday (drawn by T. Hardaway),,32-41,,
5:10.0,R. Rondo enters the game for J. Holiday,,32-41,,
