time,New Orleans,pts.away,score,pts.home,New York
5:16.0,,,95-102,,Shooting foul by A. Davis (drawn by T. Hardaway)
5:16.0,,,95-102,,T. Hardaway misses free throw 1 of 2
5:16.0,,,95-102,,Offensive rebound by Team
5:16.0,,,95-103,1,T. Hardaway makes free throw 2 of 2
5:05.0,Shooting foul by K. Porzingis (drawn by D. Cousins),,95-103,,
5:05.0,D. Cousins misses free throw 1 of 2,,95-103,,
5:05.0,Offensive rebound by Team,,95-103,,
5:05.0,D. Cousins makes free throw 2 of 2,1,96-103,,
4:51.0,,,96-103,,K. Porzingis misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by E. Moore,,96-103,,
4:39.0,E. Moore misses 2-pt shot from 1 ft,,96-103,,
4:37.0,Offensive rebound by A. Davis,,96-103,,
4:35.0,A. Davis misses 2-pt shot from 2 ft,,96-103,,
4:33.0,,,96-103,,Defensive rebound by E. Kanter
4:30.0,,,96-103,,T. Hardaway misses 3-pt shot from 25 ft
4:30.0,,,96-103,,Offensive rebound by E. Kanter
4:26.0,,,96-105,2,E. Kanter makes 2-pt shot at rim
4:03.0,E. Moore makes 3-pt shot from 23 ft (assist by D. Cousins),3,99-105,,
3:40.0,,,99-105,,C. Lee misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by A. Davis,,99-105,,
3:34.0,New Orleans full timeout,,99-105,,
3:25.0,Shooting foul by K. Porzingis (drawn by A. Davis),,99-105,,
3:25.0,A. Davis makes free throw 1 of 2,1,100-105,,
3:25.0,A. Davis makes free throw 2 of 2,1,101-105,,
3:04.0,,,101-107,2,E. Kanter makes 2-pt shot at rim (assist by K. Porzingis)
2:51.0,D. Cousins misses 3-pt shot from 25 ft,,101-107,,
2:49.0,Offensive rebound by Team,,101-107,,
2:39.0,A. Davis makes 2-pt shot from 12 ft,2,103-107,,
2:19.0,,,103-107,,J. Jack misses 2-pt shot from 17 ft
2:17.0,Defensive rebound by D. Cousins,,103-107,,
2:12.0,I. Clark makes 2-pt shot at rim (assist by J. Holiday),2,105-107,,
1:59.0,,,105-109,2,T. Hardaway makes 2-pt shot from 10 ft
1:42.0,A. Davis misses 3-pt shot from 23 ft,,105-109,,
1:40.0,,,105-109,,Defensive rebound by T. Hardaway
1:18.0,,,105-109,,K. Porzingis misses 3-pt shot from 29 ft
1:16.0,Defensive rebound by D. Cousins,,105-109,,
1:07.0,D. Cousins misses 2-pt shot from 1 ft,,105-109,,
1:06.0,Offensive rebound by D. Cousins,,105-109,,
1:05.0,D. Cousins makes 2-pt shot at rim,2,107-109,,
0:49.0,,,107-109,,T. Hardaway misses 3-pt shot from 28 ft
0:47.0,Defensive rebound by I. Clark,,107-109,,
0:34.0,A. Davis misses 2-pt shot from 3 ft,,107-109,,
0:31.0,,,107-109,,Defensive rebound by T. Hardaway
0:16.0,,,107-109,,New York full timeout
0:10.0,,,107-109,,K. Porzingis misses 2-pt shot from 15 ft
0:09.0,,,107-109,,Offensive rebound by Team
0:09.0,,,107-109,,Turnover by Team (shot clock)
0:09.0,New Orleans full timeout,,107-109,,
0:09.0,,,107-109,,L. Thomas enters the game for E. Kanter
0:03.0,A. Davis makes 2-pt shot at rim (assist by D. Cousins),2,109-109,,
0:03.0,,,109-109,,New York full timeout
0:03.0,,,109-109,,D. McDermott enters the game for L. Thomas
0:02.0,Personal take foul by E. Moore (drawn by T. Hardaway),,109-109,,
0:02.0,,,109-109,,Turnover by J. Jack (bad pass; steal by E. Moore)
0:00.0,E. Moore misses 3-pt shot from 25 ft,,109-109,,
0:00.0,Offensive rebound by Team,,109-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Porzingis vs. A. Davis (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. A. Davis (E. Kanter gains possession)
4:40.0,,,109-109,,J. Jack misses 2-pt shot from 6 ft (block by D. Cousins)
4:38.0,Defensive rebound by D. Cousins,,109-109,,
4:28.0,J. Holiday misses 2-pt shot from 13 ft,,109-109,,
4:26.0,,,109-109,,Defensive rebound by E. Kanter
4:11.0,,,109-112,3,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Lee)
3:44.0,J. Holiday makes 2-pt shot from 1 ft,2,111-112,,
3:44.0,Shooting foul by T. Hardaway (drawn by J. Holiday),,111-112,,
3:44.0,J. Holiday misses free throw 1 of 1,,111-112,,
3:44.0,Offensive rebound by D. Cousins,,111-112,,
3:43.0,D. Cousins makes 2-pt shot at rim,2,113-112,,
3:29.0,,,113-115,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack)
3:14.0,,,113-115,,Personal foul by J. Jack (drawn by A. Davis)
3:05.0,J. Holiday makes 3-pt shot from 25 ft,3,116-115,,
2:45.0,,,116-115,,C. Lee misses 3-pt shot from 23 ft
2:43.0,Defensive rebound by J. Holiday,,116-115,,
2:29.0,A. Davis misses 3-pt shot from 26 ft,,116-115,,
2:27.0,,,116-115,,Defensive rebound by J. Jack
2:18.0,,,116-117,2,E. Kanter makes 2-pt shot from 3 ft (assist by J. Jack)
2:03.0,D. Cousins misses 2-pt shot from 6 ft (block by E. Kanter),,116-117,,
2:02.0,Offensive rebound by Team,,116-117,,
2:02.0,Jump ball: E. Kanter vs. D. Cousins (E. Moore gains possession),,,,Jump ball: E. Kanter vs. D. Cousins (E. Moore gains possession)
1:52.0,J. Holiday makes 2-pt shot from 4 ft,2,118-117,,
1:34.0,,,118-117,,K. Porzingis misses 2-pt shot from 15 ft
1:33.0,,,118-117,,J. Jack misses 3-pt shot from 25 ft
1:32.0,,,118-117,,Offensive rebound by E. Kanter
1:30.0,Defensive rebound by D. Cousins,,118-117,,
1:28.0,,,118-117,,Personal foul by C. Lee (drawn by J. Holiday)
1:28.0,Defensive rebound by D. Cousins,,118-117,,
1:07.0,A. Davis makes 2-pt shot from 14 ft,2,120-117,,
0:52.0,,,120-117,,Shooting foul by D. Cousins (drawn by T. Hardaway)
0:52.0,,,120-117,,T. Hardaway misses free throw 1 of 2
0:52.0,,,120-117,,Offensive rebound by Team
0:52.0,,,120-118,1,T. Hardaway makes free throw 2 of 2
0:52.0,New Orleans full timeout,,120-118,,
0:28.0,E. Moore misses 2-pt shot from 20 ft,,120-118,,
0:24.0,Offensive rebound by A. Davis,,120-118,,
0:17.0,,,120-118,,Personal take foul by K. Porzingis (drawn by A. Davis)
0:17.0,A. Davis misses free throw 1 of 2,,120-118,,
0:17.0,Offensive rebound by Team,,120-118,,
0:17.0,,,120-118,,L. Thomas enters the game for J. Jack
0:17.0,A. Davis makes free throw 2 of 2,1,121-118,,
0:17.0,,,121-118,,New York full timeout
0:17.0,,,121-118,,J. Jack enters the game for L. Thomas
0:11.0,,,121-118,,K. Porzingis misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Holiday,,121-118,,
0:07.0,,,121-118,,Personal take foul by J. Jack (drawn by J. Holiday)
0:07.0,,,121-118,,L. Thomas enters the game for J. Jack
0:07.0,J. Holiday makes free throw 1 of 2,1,122-118,,
0:07.0,J. Holiday makes free throw 2 of 2,1,123-118,,
0:07.0,,,123-118,,New York full timeout
0:07.0,,,123-118,,D. McDermott enters the game for E. Kanter
0:07.0,,,123-118,,J. Jack enters the game for L. Thomas
0:02.0,,,123-118,,Turnover by J. Jack (lost ball; steal by A. Davis)
