time,Sacramento,pts.away,score,pts.home,Milwaukee
2:20.0,,,99-102,,K. Middleton misses 2-pt shot from 20 ft
2:14.0,Defensive rebound by B. Bogdanovic,,99-102,,
2:10.0,Turnover by B. Bogdanovic (lost ball; steal by E. Bledsoe),,99-102,,
2:06.0,,,99-102,,E. Bledsoe misses 2-pt shot at rim
2:00.0,,,99-102,,Offensive rebound by K. Middleton
1:57.0,,,99-102,,K. Middleton misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by G. Temple,,99-102,,
1:56.0,Sacramento full timeout,,99-102,,
1:43.0,Shooting foul by K. Middleton (drawn by B. Bogdanovic),,99-102,,
1:43.0,B. Bogdanovic makes free throw 1 of 2,1,100-102,,
1:43.0,B. Bogdanovic makes free throw 2 of 2,1,101-102,,
1:20.0,,,101-104,2,J. Henson makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
0:56.0,B. Bogdanovic misses 3-pt shot from 27 ft,,101-104,,
0:55.0,,,101-104,,Defensive rebound by G. Antetokounmpo
0:42.0,Personal foul by B. Hield (drawn by G. Antetokounmpo),,101-104,,
0:42.0,,,101-105,1,G. Antetokounmpo makes free throw 1 of 2
0:42.0,,,101-106,1,G. Antetokounmpo makes free throw 2 of 2
0:27.0,B. Hield misses 3-pt shot from 26 ft,,101-106,,
0:26.0,,,101-106,,Defensive rebound by G. Antetokounmpo
0:18.0,Personal take foul by B. Hield (drawn by K. Middleton),,101-106,,
0:18.0,,,101-107,1,K. Middleton makes free throw 1 of 2
0:18.0,,,101-108,1,K. Middleton makes free throw 2 of 2
0:08.0,B. Hield misses 2-pt shot from 5 ft (block by J. Henson),,101-108,,
0:05.0,Offensive rebound by B. Hield,,101-108,,
0:03.0,B. Hield makes 3-pt shot from 23 ft (assist by G. Temple),3,104-108,,
0:03.0,Personal foul by F. Mason (drawn by E. Bledsoe),,104-108,,
0:03.0,,,104-109,1,E. Bledsoe makes free throw 1 of 2
0:03.0,,,104-109,,E. Bledsoe misses free throw 2 of 2
0:03.0,Defensive rebound by G. Temple,,104-109,,
