time,Sacramento,pts.away,score,pts.home,Milwaukee
3:24.0,J. Sampson misses 2-pt shot from 5 ft,,12-24,,
3:21.0,,,12-24,,Defensive rebound by T. Snell
3:16.0,,,12-27,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
3:05.0,F. Mason makes 3-pt shot from 26 ft,3,15-27,,
2:52.0,,,15-27,,G. Antetokounmpo misses 3-pt shot from 27 ft
2:49.0,Defensive rebound by B. Bogdanovic,,15-27,,
2:31.0,Z. Randolph misses 2-pt shot from 15 ft,,15-27,,
2:27.0,,,15-27,,Defensive rebound by G. Antetokounmpo
2:26.0,,,15-27,,Milwaukee full timeout
2:26.0,,,15-27,,D. Liggins enters the game for T. Snell
2:26.0,,,15-27,,K. Middleton enters the game for G. Antetokounmpo
2:10.0,,,15-27,,Shooting foul by Z. Randolph (drawn by E. Bledsoe)
2:10.0,,,15-28,1,E. Bledsoe makes free throw 1 of 2
2:10.0,,,15-29,1,E. Bledsoe makes free throw 2 of 2
1:57.0,B. Hield makes 3-pt shot from 27 ft (assist by F. Mason),3,18-29,,
1:33.0,,,18-29,,J. Terry misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by Team,,18-29,,
1:33.0,,,18-29,,M. Brogdon enters the game for E. Bledsoe
1:15.0,Z. Randolph makes 2-pt shot from 8 ft (assist by F. Mason),2,20-29,,
1:00.0,,,20-31,2,K. Middleton makes 2-pt shot from 15 ft
0:47.0,B. Hield makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,23-31,,
0:34.0,,,23-33,2,T. Maker makes 2-pt shot from 17 ft (assist by M. Brogdon)
0:29.0,Shooting foul by D. Liggins (drawn by B. Hield),,23-33,,
0:29.0,B. Hield makes free throw 1 of 2,1,24-33,,
0:29.0,G. Temple enters the game for F. Mason,,24-33,,
0:29.0,B. Hield makes free throw 2 of 2,1,25-33,,
0:04.0,,,25-33,,K. Middleton misses 2-pt shot from 17 ft
0:02.0,Defensive rebound by Z. Randolph,,25-33,,
0:00.0,Z. Randolph misses 3-pt shot from 40 ft,,25-33,,
0:00.0,Offensive rebound by Team,,25-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-35,2,K. Middleton makes 2-pt shot from 18 ft (assist by D. Liggins)
11:25.0,Turnover by G. Temple (bad pass; steal by J. Terry),,25-35,,
11:07.0,,,25-37,2,K. Middleton makes 2-pt shot from 18 ft (assist by M. Brogdon)
10:49.0,Turnover by Z. Randolph (bad pass; steal by J. Terry),,25-37,,
10:39.0,,,25-37,,Turnover by K. Middleton (turnover)
10:39.0,Sacramento full timeout,,25-37,,
10:22.0,J. Sampson misses 2-pt shot from 3 ft,,25-37,,
10:19.0,,,25-37,,Defensive rebound by D. Liggins
10:17.0,,,25-37,,K. Middleton misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by J. Sampson,,25-37,,
10:00.0,Z. Randolph makes 2-pt shot from 7 ft,2,27-37,,
9:37.0,,,27-40,3,K. Middleton makes 3-pt shot from 22 ft (assist by M. Brogdon)
9:15.0,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,29-40,,
9:00.0,,,29-40,,D. Liggins misses 2-pt shot from 5 ft
8:58.0,Defensive rebound by Z. Randolph,,29-40,,
8:48.0,J. Sampson misses 2-pt shot from 6 ft,,29-40,,
8:48.0,,,29-40,,Defensive rebound by T. Maker
8:42.0,,,29-40,,D. Liggins misses 2-pt shot from 2 ft
8:42.0,Defensive rebound by Z. Randolph,,29-40,,
8:29.0,,,29-40,,Personal foul by J. Terry (drawn by Z. Randolph)
8:29.0,D. Fox enters the game for B. Bogdanovic,,29-40,,
8:29.0,W. Cauley-Stein enters the game for Z. Randolph,,29-40,,
8:15.0,W. Cauley-Stein misses 2-pt shot from 9 ft (block by T. Maker),,29-40,,
8:15.0,Turnover by Team (shot clock),,29-40,,
8:14.0,Offensive rebound by Team,,29-40,,
