time,Washington,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Okafor vs. M. Gortat (M. Morris gains possession),,,,Jump ball: E. Okafor vs. M. Gortat (M. Morris gains possession)
11:37.0,O. Porter makes 2-pt shot from 18 ft (assist by B. Beal),2,2-0,,
11:14.0,,,2-0,,J. Holiday misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by M. Gortat,,2-0,,
11:09.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,4-0,,
10:59.0,,,4-0,,N. Mirotic misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by M. Gortat,,4-0,,
10:51.0,T. Satoransky misses 3-pt shot from 26 ft,,4-0,,
10:51.0,,,4-0,,Defensive rebound by N. Mirotic
10:39.0,,,4-2,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
10:20.0,O. Porter misses 3-pt shot from 25 ft,,4-2,,
10:17.0,,,4-2,,Defensive rebound by N. Mirotic
10:05.0,,,4-2,,Turnover by R. Rondo (bad pass; steal by M. Morris)
10:01.0,Turnover by M. Morris (traveling),,4-2,,
9:48.0,,,4-2,,N. Mirotic misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by Team,,4-2,,
9:32.0,B. Beal misses 2-pt shot from 12 ft (block by J. Holiday),,4-2,,
9:28.0,,,4-2,,Defensive rebound by E. Okafor
9:26.0,,,4-4,2,E. Moore makes 2-pt shot at rim (assist by R. Rondo)
9:08.0,O. Porter makes 2-pt shot at rim (assist by T. Satoransky),2,6-4,,
8:51.0,,,6-6,2,J. Holiday makes 2-pt shot from 15 ft
8:28.0,Shooting foul by E. Okafor (drawn by M. Gortat),,6-6,,
8:28.0,M. Gortat makes free throw 1 of 2,1,7-6,,
8:28.0,M. Gortat makes free throw 2 of 2,1,8-6,,
8:21.0,,,8-6,,R. Rondo misses 2-pt shot from 1 ft (block by T. Satoransky)
8:18.0,Defensive rebound by T. Satoransky,,8-6,,
8:14.0,B. Beal misses 3-pt shot from 23 ft,,8-6,,
8:14.0,,,8-6,,Defensive rebound by N. Mirotic
8:04.0,,,8-6,,Shooting foul by M. Gortat (drawn by R. Rondo)
8:04.0,,,8-6,,R. Rondo misses free throw 1 of 2
8:04.0,,,8-6,,Offensive rebound by Team
8:04.0,,,8-7,1,R. Rondo makes free throw 2 of 2
7:56.0,M. Gortat makes 2-pt shot from 8 ft (assist by T. Satoransky),2,10-7,,
7:46.0,,,10-7,,J. Holiday misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by M. Morris,,10-7,,
7:33.0,M. Gortat misses 2-pt shot from 1 ft (block by E. Okafor),,10-7,,
7:28.0,,,10-7,,Defensive rebound by J. Holiday
7:27.0,,,10-7,,R. Rondo misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by B. Beal,,10-7,,
7:21.0,O. Porter makes 2-pt shot from 10 ft (assist by B. Beal),2,12-7,,
7:12.0,,,12-7,,Turnover by E. Moore (bad pass)
