time,Portland,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: K. Love vs. J. Nurkic (D. Lillard gains possession)
11:44.0,D. Lillard misses 3-pt shot from 28 ft,,0-0,,
11:40.0,Offensive rebound by A. Aminu,,0-0,,
11:36.0,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum),3,3-0,,
11:20.0,,,3-0,,Turnover by K. Love (traveling)
11:02.0,A. Aminu misses 3-pt shot from 23 ft,,3-0,,
10:59.0,Offensive rebound by C. McCollum,,3-0,,
10:56.0,C. McCollum makes 2-pt shot from 6 ft,2,5-0,,
10:37.0,,,5-2,2,L. James makes 2-pt shot from 20 ft
10:20.0,C. McCollum makes 2-pt shot from 18 ft,2,7-2,,
10:06.0,,,7-5,3,J. Crowder makes 3-pt shot from 26 ft (assist by J. Calderon)
9:39.0,C. McCollum misses 2-pt shot from 10 ft,,7-5,,
9:37.0,,,7-5,,Defensive rebound by K. Love
9:24.0,,,7-7,2,K. Love makes 2-pt shot from 10 ft
9:09.0,D. Lillard misses 2-pt shot from 19 ft,,7-7,,
9:06.0,,,7-7,,Defensive rebound by J. Calderon
9:00.0,,,7-7,,Shooting foul by E. Turner (drawn by K. Love)
9:00.0,,,7-8,1,K. Love makes free throw 1 of 2
9:00.0,,,7-9,1,K. Love makes free throw 2 of 2
8:45.0,J. Nurkic makes 2-pt shot from 7 ft,2,9-9,,
8:33.0,,,9-9,,K. Love misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by A. Aminu,,9-9,,
8:17.0,J. Nurkic makes 2-pt shot from 15 ft,2,11-9,,
7:52.0,,,11-11,2,J. Smith makes 2-pt shot from 14 ft
7:37.0,E. Turner makes 2-pt shot at rim (assist by J. Nurkic),2,13-11,,
7:22.0,Personal foul by J. Nurkic (drawn by J. Calderon),,13-11,,
7:15.0,,,13-11,,J. Crowder misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by C. McCollum,,13-11,,
7:02.0,C. McCollum makes 2-pt shot from 21 ft (assist by A. Aminu),2,15-11,,
6:45.0,,,15-13,2,L. James makes 2-pt shot from 13 ft
6:37.0,Offensive foul by D. Lillard (drawn by J. Calderon),,15-13,,
