time,Denver,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. P. Millsap (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. P. Millsap (E. Kanter gains possession)
11:46.0,,,0-2,2,K. Porzingis makes 2-pt shot from 15 ft (assist by E. Kanter)
11:27.0,,,0-2,,Personal foul by J. Jack (drawn by W. Chandler)
11:18.0,G. Harris misses 2-pt shot from 15 ft,,0-2,,
11:13.0,Offensive rebound by P. Millsap,,0-2,,
11:08.0,J. Murray misses 3-pt shot from 25 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by E. Kanter
10:48.0,,,0-2,,K. Porzingis misses 2-pt shot from 16 ft
10:45.0,Defensive rebound by J. Murray,,0-2,,
10:32.0,G. Harris misses 3-pt shot from 25 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by J. Jack
10:24.0,,,0-4,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
9:56.0,Turnover by J. Murray (traveling),,0-4,,
9:48.0,Personal foul by N. Jokic (drawn by K. Porzingis),,0-4,,
9:32.0,,,0-4,,Shooting foul by P. Millsap (drawn by E. Kanter)
9:32.0,,,0-5,1,E. Kanter makes free throw 1 of 2
9:32.0,,,0-6,1,E. Kanter makes free throw 2 of 2
9:19.0,N. Jokic misses 2-pt shot from 18 ft,,0-6,,
9:17.0,,,0-6,,Defensive rebound by Team
9:00.0,,,0-9,3,K. Porzingis makes 3-pt shot from 28 ft (assist by J. Jack)
8:44.0,N. Jokic makes 3-pt shot from 23 ft (assist by J. Murray),3,3-9,,
8:29.0,,,3-11,2,K. Porzingis makes 2-pt shot at rim (assist by E. Kanter)
8:29.0,Denver full timeout,,3-11,,
8:04.0,J. Murray misses 2-pt shot from 2 ft,,3-11,,
8:02.0,,,3-11,,Defensive rebound by K. Porzingis
7:50.0,,,3-14,3,K. Porzingis makes 3-pt shot from 32 ft (assist by C. Lee)
7:33.0,G. Harris makes 3-pt shot from 25 ft (assist by P. Millsap),3,6-14,,
7:15.0,,,6-14,,K. Porzingis misses 2-pt shot from 1 ft (block by P. Millsap)
7:12.0,Defensive rebound by N. Jokic,,6-14,,
7:07.0,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic),3,9-14,,
6:52.0,,,9-17,3,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee)
6:36.0,G. Harris misses 3-pt shot from 25 ft,,9-17,,
6:34.0,,,9-17,,Defensive rebound by E. Kanter
6:23.0,,,9-19,2,J. Jack makes 2-pt shot from 6 ft
6:10.0,W. Chandler misses 2-pt shot from 4 ft,,9-19,,
6:06.0,,,9-19,,Defensive rebound by J. Jack
6:04.0,,,9-22,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Jack)
6:02.0,Denver full timeout,,9-22,,
6:02.0,W. Barton enters the game for W. Chandler,,9-22,,
6:02.0,M. Plumlee enters the game for N. Jokic,,9-22,,
6:02.0,E. Mudiay enters the game for J. Murray,,9-22,,
5:42.0,Turnover by E. Mudiay (bad pass; steal by C. Lee),,9-22,,
5:37.0,,,9-22,,Turnover by K. Porzingis (out of bounds lost ball)
5:22.0,P. Millsap misses 2-pt shot from 7 ft,,9-22,,
5:18.0,,,9-22,,Defensive rebound by E. Kanter
5:00.0,,,9-24,2,E. Kanter makes 2-pt shot from 11 ft
4:50.0,E. Mudiay makes 3-pt shot from 25 ft (assist by W. Barton),3,12-24,,
4:29.0,,,12-24,,K. Porzingis misses 3-pt shot from 29 ft
4:26.0,Defensive rebound by M. Plumlee,,12-24,,
4:19.0,Turnover by M. Plumlee (bad pass; steal by J. Jack),,12-24,,
4:10.0,,,12-26,2,E. Kanter makes 2-pt shot from 4 ft (assist by J. Jack)
3:50.0,P. Millsap misses 2-pt shot from 7 ft,,12-26,,
3:48.0,,,12-26,,Defensive rebound by K. Porzingis
3:40.0,,,12-26,,K. Porzingis misses 2-pt shot from 1 ft
3:38.0,Defensive rebound by P. Millsap,,12-26,,
3:33.0,G. Harris misses 3-pt shot from 22 ft,,12-26,,
3:29.0,Offensive rebound by W. Barton,,12-26,,
3:29.0,W. Barton makes 2-pt shot from 1 ft,2,14-26,,
3:11.0,,,14-26,,K. Porzingis misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by W. Barton,,14-26,,
3:01.0,E. Mudiay misses 2-pt shot from 2 ft,,14-26,,
2:59.0,,,14-26,,Defensive rebound by T. Hardaway
2:45.0,,,14-29,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Jack)
2:33.0,,,14-29,,Personal foul by E. Kanter (drawn by W. Barton)
2:33.0,,,14-29,,F. Ntilikina enters the game for K. Porzingis
2:33.0,,,14-29,,M. Beasley enters the game for J. Jack
2:33.0,,,14-29,,D. McDermott enters the game for C. Lee
2:33.0,D. Arthur enters the game for P. Millsap,,14-29,,
2:33.0,M. Beasley enters the game for G. Harris,,14-29,,
2:27.0,M. Plumlee misses 2-pt shot from 1 ft,,14-29,,
2:20.0,,,14-29,,Defensive rebound by M. Beasley
2:18.0,,,14-29,,Turnover by M. Beasley (bad pass; steal by W. Barton)
2:16.0,W. Barton makes 2-pt shot at rim,2,16-29,,
2:04.0,,,16-29,,Turnover by M. Beasley (bad pass; steal by D. Arthur)
1:59.0,W. Barton makes 2-pt shot from 1 ft,2,18-29,,
