time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. L. Aldridge (K. Thompson gains possession),,,,Jump ball: J. McGee vs. L. Aldridge (K. Thompson gains possession)
11:43.0,,,0-0,,D. Green misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by K. Anderson,,0-0,,
11:16.0,P. Mills misses 2-pt shot from 8 ft (block by D. Green),,0-0,,
11:12.0,,,0-0,,Defensive rebound by K. Durant
11:08.0,,,0-0,,K. Durant misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by K. Anderson,,0-0,,
11:04.0,Turnover by D. Murray (out of bounds lost ball),,0-0,,
10:50.0,,,0-2,2,K. Durant makes 2-pt shot from 20 ft
10:22.0,D. Green misses 3-pt shot from 26 ft,,0-2,,
10:21.0,Offensive rebound by Team,,0-2,,
10:21.0,Turnover by Team (shot clock),,0-2,,
10:01.0,,,0-2,,D. Green misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by D. Murray,,0-2,,
9:51.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Murray),2,2-2,,
9:35.0,,,2-4,2,K. Durant makes 2-pt shot from 7 ft
9:20.0,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills),2,4-4,,
9:06.0,Personal foul by D. Murray (drawn by K. Thompson),,4-4,,
8:58.0,,,4-6,2,J. McGee makes 2-pt shot from 6 ft (assist by K. Durant)
8:38.0,P. Mills misses 3-pt shot from 27 ft,,4-6,,
8:33.0,,,4-6,,Defensive rebound by K. Thompson
8:31.0,,,4-8,2,J. McGee makes 2-pt shot at rim (assist by K. Durant)
8:31.0,San Antonio full timeout,,4-8,,
8:11.0,D. Murray misses 2-pt shot from 11 ft,,4-8,,
8:05.0,,,4-8,,Defensive rebound by A. Iguodala
7:56.0,,,4-8,,D. Green misses 2-pt shot from 1 ft (block by L. Aldridge)
7:52.0,Defensive rebound by L. Aldridge,,4-8,,
7:48.0,P. Mills makes 2-pt shot from 17 ft (assist by L. Aldridge),2,6-8,,
7:27.0,,,6-10,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Durant)
7:13.0,Turnover by D. Murray (bad pass; steal by J. McGee),,6-10,,
7:06.0,,,6-10,,Turnover by D. Green (bad pass; steal by L. Aldridge)
6:57.0,K. Anderson misses 2-pt shot from 2 ft,,6-10,,
6:51.0,,,6-10,,Defensive rebound by J. McGee
6:45.0,,,6-12,2,J. McGee makes 2-pt shot from 2 ft (assist by A. Iguodala)
6:28.0,L. Aldridge misses 2-pt shot from 19 ft,,6-12,,
6:23.0,,,6-12,,Defensive rebound by A. Iguodala
6:16.0,,,6-14,2,D. Green makes 2-pt shot from 3 ft (assist by A. Iguodala)
5:54.0,D. Murray makes 2-pt shot from 7 ft,2,8-14,,
5:44.0,,,8-14,,J. McGee misses 2-pt shot from 5 ft
5:44.0,,,8-14,,Offensive rebound by J. McGee
5:44.0,,,8-14,,Shooting foul by L. Aldridge (drawn by J. McGee)
5:44.0,,,8-14,,Golden State full timeout
5:44.0,M. Ginobili enters the game for D. Green,,8-14,,
5:44.0,B. Forbes enters the game for K. Anderson,,8-14,,
5:44.0,R. Gay enters the game for D. Murray,,8-14,,
5:44.0,,,8-14,,J. McGee misses free throw 1 of 2
5:44.0,,,8-14,,Offensive rebound by Team
5:44.0,,,8-15,1,J. McGee makes free throw 2 of 2
5:24.0,L. Aldridge misses 2-pt shot from 5 ft (block by J. McGee),,8-15,,
5:22.0,,,8-15,,Defensive rebound by J. McGee
5:18.0,,,8-15,,Offensive charge foul by K. Durant (drawn by M. Ginobili)
5:18.0,,,8-15,,Turnover by K. Durant (offensive foul)
4:59.0,Turnover by M. Ginobili (bad pass; steal by D. Green),,8-15,,
4:53.0,,,8-15,,Turnover by D. Green (bad pass; steal by R. Gay)
