time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (Z. LaVine gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (Z. LaVine gains possession)
11:40.0,,,0-2,2,R. Lopez makes 2-pt shot from 4 ft (assist by Z. LaVine)
11:20.0,H. Whiteside misses 2-pt shot from 13 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by L. Markkanen
11:08.0,,,0-4,2,Z. LaVine makes 2-pt shot from 1 ft
10:53.0,H. Whiteside makes 2-pt shot from 5 ft (assist by J. Richardson),2,2-4,,
10:34.0,,,2-7,3,Z. LaVine makes 3-pt shot from 24 ft
10:24.0,Shooting foul by K. Dunn (drawn by G. Dragic),,2-7,,
10:24.0,G. Dragic makes free throw 1 of 2,1,3-7,,
10:24.0,G. Dragic makes free throw 2 of 2,1,4-7,,
10:06.0,,,4-7,,J. Holiday misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by H. Whiteside,,4-7,,
9:53.0,G. Dragic misses 3-pt shot from 23 ft,,4-7,,
9:51.0,,,4-7,,Defensive rebound by Z. LaVine
9:44.0,,,4-7,,Z. LaVine misses 2-pt shot from 20 ft
9:39.0,Defensive rebound by H. Whiteside,,4-7,,
9:35.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,6-7,,
9:35.0,Shooting foul by J. Holiday (drawn by H. Whiteside),,6-7,,
9:35.0,H. Whiteside makes free throw 1 of 1,1,7-7,,
9:28.0,,,7-7,,J. Holiday misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by H. Whiteside,,7-7,,
9:17.0,T. Johnson misses 2-pt shot from 18 ft,,7-7,,
9:12.0,,,7-7,,Defensive rebound by L. Markkanen
9:05.0,,,7-9,2,K. Dunn makes 2-pt shot from 19 ft (assist by J. Holiday)
8:51.0,G. Dragic misses 3-pt shot from 25 ft,,7-9,,
8:46.0,,,7-9,,Defensive rebound by L. Markkanen
8:35.0,,,7-11,2,R. Lopez makes 2-pt shot from 1 ft (assist by Z. LaVine)
8:26.0,,,7-11,,Personal foul by Z. LaVine (drawn by T. Johnson)
8:19.0,J. Richardson misses 2-pt shot from 16 ft,,7-11,,
8:15.0,,,7-11,,Defensive rebound by R. Lopez
8:04.0,,,7-13,2,Z. LaVine makes 2-pt shot from 2 ft
7:53.0,J. Richardson misses 3-pt shot from 24 ft,,7-13,,
7:50.0,,,7-13,,Defensive rebound by K. Dunn
7:43.0,,,7-13,,Z. LaVine misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by J. Richardson,,7-13,,
7:38.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,10-13,,
7:37.0,,,10-13,,Chicago full timeout
7:37.0,,,10-13,,D. Valentine enters the game for Z. LaVine
7:22.0,,,10-13,,K. Dunn misses 2-pt shot from 8 ft
7:19.0,Defensive rebound by J. Johnson,,10-13,,
7:14.0,G. Dragic makes 2-pt shot at rim (assist by J. Johnson),2,12-13,,
7:05.0,,,12-13,,L. Markkanen misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by J. Richardson,,12-13,,
6:53.0,Offensive foul by G. Dragic (drawn by K. Dunn),,12-13,,
6:53.0,Turnover by G. Dragic (offensive foul),,12-13,,
6:36.0,,,12-15,2,D. Valentine makes 2-pt shot from 1 ft (assist by K. Dunn)
6:20.0,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson),3,15-15,,
5:52.0,,,15-17,2,K. Dunn makes 2-pt shot at rim (assist by D. Valentine)
5:40.0,J. Johnson misses 3-pt shot from 25 ft,,15-17,,
5:38.0,,,15-17,,Defensive rebound by K. Dunn
5:21.0,,,15-19,2,L. Markkanen makes 2-pt shot from 16 ft
