time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gasol (J. Green gains possession),,,,Jump ball: R. Gobert vs. M. Gasol (J. Green gains possession)
11:39.0,D. Brooks misses 2-pt shot from 7 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Ingles
11:13.0,,,0-0,,Turnover by Team (shot clock)
10:50.0,Turnover by D. Brooks (lost ball; steal by R. O'Neale),,0-0,,
10:37.0,,,0-2,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
10:28.0,Turnover by J. Martin (bad pass; steal by R. O'Neale),,0-2,,
10:24.0,,,0-4,2,R. O'Neale makes 2-pt shot from 1 ft
10:03.0,J. Green misses 2-pt shot from 12 ft,,0-4,,
10:01.0,,,0-4,,Defensive rebound by R. Gobert
9:53.0,,,0-6,2,D. Mitchell makes 2-pt shot from 14 ft
9:39.0,Memphis full timeout,,0-6,,
9:30.0,K. Simmons makes 2-pt shot from 11 ft,2,2-6,,
9:08.0,,,2-6,,D. Mitchell misses 3-pt shot from 27 ft
9:06.0,Defensive rebound by J. Green,,2-6,,
9:00.0,K. Simmons makes 2-pt shot from 2 ft,2,4-6,,
8:44.0,,,4-6,,J. Ingles misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by K. Simmons,,4-6,,
8:27.0,M. Gasol makes 2-pt shot from 16 ft (assist by J. Martin),2,6-6,,
8:07.0,,,6-9,3,D. Mitchell makes 3-pt shot from 23 ft (assist by J. Ingles)
7:52.0,K. Simmons misses 3-pt shot from 24 ft,,6-9,,
7:50.0,,,6-9,,Defensive rebound by J. Ingles
7:32.0,,,6-11,2,J. Ingles makes 2-pt shot from 22 ft
7:13.0,D. Brooks misses 3-pt shot from 24 ft,,6-11,,
7:10.0,,,6-11,,Defensive rebound by R. Gobert
7:08.0,,,6-11,,Turnover by R. Gobert (lost ball; steal by K. Simmons)
6:59.0,J. Green makes 2-pt shot from 19 ft (assist by K. Simmons),2,8-11,,
6:35.0,,,8-11,,Shooting foul by J. Martin (drawn by D. Favors)
6:35.0,,,8-11,,D. Favors misses free throw 1 of 2
6:35.0,,,8-11,,Offensive rebound by Team
6:35.0,,,8-11,,D. Favors misses free throw 2 of 2
6:30.0,,,8-11,,Offensive rebound by D. Favors
6:21.0,,,8-13,2,R. O'Neale makes 2-pt shot from 11 ft (assist by J. Ingles)
6:21.0,,,8-13,,Shooting foul by K. Simmons (drawn by R. O'Neale)
6:21.0,,,8-13,,J. Crowder enters the game for D. Favors
6:21.0,,,8-14,1,R. O'Neale makes free throw 1 of 1
6:01.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,10-14,,
5:42.0,,,10-16,2,R. O'Neale makes 2-pt shot from 10 ft
5:29.0,K. Simmons misses 3-pt shot from 23 ft,,10-16,,
5:26.0,,,10-16,,Defensive rebound by R. Gobert
5:16.0,,,10-18,2,J. Crowder makes 2-pt shot from 15 ft
4:56.0,Turnover by M. Gasol (lost ball; steal by R. Gobert),,10-18,,
4:51.0,,,10-20,2,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles)
4:51.0,Memphis full timeout,,10-20,,
4:51.0,,,10-20,,D. Exum enters the game for J. Ingles
4:51.0,W. Selden enters the game for J. Martin,,10-20,,
4:51.0,D. Davis enters the game for K. Simmons,,10-20,,
4:51.0,M. Teague enters the game for M. Gasol,,10-20,,
4:32.0,M. Teague misses 2-pt shot from 19 ft,,10-20,,
4:31.0,,,10-20,,Defensive rebound by R. Gobert
4:16.0,,,10-20,,D. Exum misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by J. Green,,10-20,,
3:57.0,D. Brooks misses 2-pt shot from 10 ft,,10-20,,
3:54.0,,,10-20,,Defensive rebound by R. Gobert
3:48.0,,,10-22,2,D. Mitchell makes 2-pt shot from 1 ft
3:25.0,W. Selden misses 3-pt shot from 31 ft,,10-22,,
3:21.0,Offensive rebound by J. Green,,10-22,,
3:09.0,M. Teague misses 2-pt shot from 17 ft,,10-22,,
3:06.0,,,10-22,,Defensive rebound by D. Exum
2:58.0,,,10-22,,J. Crowder misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by D. Brooks,,10-22,,
2:47.0,Turnover by W. Selden (bad pass; steal by R. Gobert),,10-22,,
2:40.0,,,10-22,,J. Crowder misses 2-pt shot from 2 ft
2:37.0,Defensive rebound by W. Selden,,10-22,,
2:18.0,J. Green misses 3-pt shot from 22 ft,,10-22,,
2:16.0,,,10-22,,Defensive rebound by R. Gobert
1:59.0,,,10-22,,J. Crowder misses 2-pt shot from 1 ft
1:48.0,,,10-22,,Offensive rebound by R. Gobert
1:48.0,,,10-24,2,R. Gobert makes 2-pt shot at rim
1:36.0,,,10-24,,Personal foul by R. O'Neale (drawn by D. Brooks)
1:36.0,,,10-24,,D. Favors enters the game for R. O'Neale
1:36.0,,,10-24,,A. Burks enters the game for R. Gobert
1:36.0,,,10-24,,J. Jerebko enters the game for D. Mitchell
1:36.0,M. Brooks enters the game for J. Green,,10-24,,
1:36.0,B. McLemore enters the game for D. Brooks,,10-24,,
1:22.0,W. Selden makes 3-pt shot from 24 ft (assist by D. Davis),3,13-24,,
1:09.0,,,13-24,,A. Burks misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by M. Teague,,13-24,,
1:01.0,M. Brooks misses 2-pt shot from 18 ft,,13-24,,
0:59.0,,,13-24,,Defensive rebound by A. Burks
0:52.0,,,13-24,,D. Favors misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by D. Davis,,13-24,,
0:43.0,Shooting foul by D. Exum (drawn by M. Teague),,13-24,,
0:43.0,M. Teague misses free throw 1 of 2,,13-24,,
0:43.0,Offensive rebound by Team,,13-24,,
0:43.0,,,13-24,,D. Mitchell enters the game for J. Jerebko
0:43.0,I. Rabb enters the game for D. Davis,,13-24,,
0:43.0,M. Teague makes free throw 2 of 2,1,14-24,,
0:33.0,,,14-27,3,D. Exum makes 3-pt shot from 22 ft (assist by D. Mitchell)
0:09.0,W. Selden misses 3-pt shot from 24 ft,,14-27,,
0:06.0,,,14-27,,Defensive rebound by D. Favors
0:03.0,,,14-27,,Shooting foul by I. Rabb (drawn by D. Exum)
0:03.0,,,14-28,1,D. Exum makes free throw 1 of 2
0:03.0,,,14-29,1,D. Exum makes free throw 2 of 2
0:00.0,M. Teague misses 3-pt shot from 25 ft,,14-29,,
0:00.0,Offensive rebound by Team,,14-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,14-31,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum)
11:34.0,I. Rabb makes 2-pt shot from 1 ft (assist by W. Selden),2,16-31,,
11:25.0,,,16-31,,Turnover by J. Ingles (bad pass; steal by M. Brooks)
11:18.0,M. Brooks makes 2-pt shot from 6 ft,2,18-31,,
10:54.0,,,18-31,,J. Ingles misses 3-pt shot from 34 ft
10:54.0,Defensive rebound by Team,,18-31,,
10:51.0,K. Simmons enters the game for W. Selden,,18-31,,
10:38.0,I. Rabb misses 2-pt shot from 3 ft,,18-31,,
10:35.0,Offensive rebound by M. Brooks,,18-31,,
10:35.0,M. Brooks misses 2-pt shot at rim,,18-31,,
10:35.0,Offensive rebound by I. Rabb,,18-31,,
10:19.0,M. Brooks makes 2-pt shot from 7 ft,2,20-31,,
10:10.0,,,20-34,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum)
9:57.0,I. Rabb makes 2-pt shot from 18 ft (assist by B. McLemore),2,22-34,,
9:33.0,,,22-34,,J. Crowder misses 3-pt shot from 25 ft
9:31.0,,,22-34,,Offensive rebound by Team
9:31.0,,,22-34,,Turnover by Team (shot clock)
9:31.0,,,22-34,,R. O'Neale enters the game for J. Crowder
9:19.0,M. Brooks misses 3-pt shot from 24 ft,,22-34,,
9:15.0,,,22-34,,Defensive rebound by R. O'Neale
9:14.0,Personal foul by I. Rabb (drawn by R. O'Neale),,22-34,,
9:06.0,,,22-36,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
8:48.0,Turnover by I. Rabb (bad pass),,22-36,,
8:38.0,,,22-36,,Turnover by J. Ingles (bad pass; steal by M. Brooks)
8:36.0,,,22-36,,Personal foul by D. Exum (drawn by K. Simmons)
8:14.0,B. McLemore makes 2-pt shot from 19 ft (assist by K. Simmons),2,24-36,,
7:56.0,,,24-36,,Shooting foul by I. Rabb (drawn by A. Burks)
7:56.0,,,24-37,1,A. Burks makes free throw 1 of 2
7:56.0,,,24-37,,R. Gobert enters the game for D. Exum
7:56.0,M. Gasol enters the game for I. Rabb,,24-37,,
7:56.0,J. Martin enters the game for M. Teague,,24-37,,
7:56.0,,,24-37,,D. Mitchell enters the game for R. O'Neale
7:56.0,,,24-38,1,A. Burks makes free throw 2 of 2
7:42.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Brooks),2,26-38,,
7:24.0,,,26-38,,J. Ingles misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by B. McLemore,,26-38,,
7:15.0,M. Brooks makes 2-pt shot from 2 ft,2,28-38,,
7:15.0,,,28-38,,Utah full timeout
7:15.0,,,28-38,,J. Jerebko enters the game for J. Ingles
7:15.0,,,28-38,,R. O'Neale enters the game for A. Burks
7:15.0,,,28-38,,D. Exum enters the game for D. Favors
7:01.0,,,28-38,,Offensive charge foul by D. Mitchell (drawn by K. Simmons)
7:01.0,,,28-38,,Turnover by D. Mitchell (offensive foul)
6:37.0,M. Brooks makes 2-pt shot from 2 ft,2,30-38,,
6:20.0,Personal foul by B. McLemore (drawn by D. Mitchell),,30-38,,
6:13.0,,,30-41,3,J. Jerebko makes 3-pt shot from 24 ft (assist by D. Mitchell)
5:53.0,M. Gasol makes 3-pt shot from 23 ft (assist by M. Brooks),3,33-41,,
5:43.0,,,33-41,,J. Jerebko misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by B. McLemore,,33-41,,
5:35.0,J. Martin makes 2-pt shot from 1 ft (assist by K. Simmons),2,35-41,,
5:18.0,,,35-41,,D. Mitchell misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by B. McLemore,,35-41,,
