time,Dallas,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Powell (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Powell (R. Jackson gains possession)
11:45.0,,,0-0,,Turnover by A. Tolliver (step out of bounds)
11:30.0,J. Motley misses 3-pt shot from 26 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by A. Drummond
11:15.0,,,0-3,3,S. Johnson makes 3-pt shot from 25 ft (assist by A. Drummond)
11:00.0,,,0-3,,Personal foul by S. Johnson (drawn by H. Barnes)
10:50.0,D. Smith misses 2-pt shot from 16 ft,,0-3,,
10:46.0,,,0-3,,Defensive rebound by S. Johnson
10:25.0,,,0-3,,A. Drummond misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by D. Powell,,0-3,,
10:16.0,,,0-3,,Personal foul by L. Kennard (drawn by D. Powell)
10:07.0,Turnover by D. Finney-Smith (bad pass),,0-3,,
9:53.0,,,0-3,,L. Kennard misses 3-pt shot from 25 ft
9:52.0,,,0-3,,Offensive rebound by Team
9:52.0,Loose ball foul by D. Smith (drawn by R. Jackson),,0-3,,
9:44.0,,,0-3,,R. Jackson misses 3-pt shot from 26 ft
9:40.0,Defensive rebound by D. Powell,,0-3,,
9:36.0,H. Barnes makes 3-pt shot from 26 ft (assist by D. Smith),3,3-3,,
9:12.0,,,3-3,,Turnover by L. Kennard (bad pass; steal by J. Motley)
9:08.0,D. Smith misses 2-pt shot from 1 ft,,3-3,,
9:05.0,,,3-3,,Defensive rebound by A. Tolliver
9:02.0,,,3-3,,Shooting foul by D. Finney-Smith (drawn by A. Drummond)
9:02.0,,,3-4,1,A. Drummond makes free throw 1 of 2
9:02.0,,,3-4,,A. Drummond misses free throw 2 of 2
9:00.0,Defensive rebound by J. Motley,,3-4,,
8:46.0,H. Barnes makes 3-pt shot from 26 ft,3,6-4,,
8:37.0,,,6-4,,Detroit full timeout
8:29.0,,,6-7,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson)
8:06.0,H. Barnes makes 2-pt shot from 10 ft,2,8-7,,
7:51.0,,,8-7,,A. Drummond misses 2-pt shot from 7 ft
7:48.0,Defensive rebound by D. Powell,,8-7,,
7:37.0,J. Motley makes 2-pt shot from 3 ft,2,10-7,,
7:24.0,,,10-7,,S. Johnson misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by D. Finney-Smith,,10-7,,
7:08.0,J. Motley misses 2-pt shot from 6 ft,,10-7,,
7:05.0,,,10-7,,Defensive rebound by A. Drummond
7:01.0,,,10-9,2,A. Drummond makes 2-pt shot from 3 ft (assist by S. Johnson)
6:40.0,Turnover by D. Powell (bad pass; steal by A. Tolliver),,10-9,,
6:23.0,,,10-9,,A. Drummond misses 2-pt shot from 5 ft
6:20.0,Defensive rebound by J. Motley,,10-9,,
6:12.0,D. Finney-Smith misses 3-pt shot from 26 ft,,10-9,,
6:09.0,Offensive rebound by H. Barnes,,10-9,,
6:07.0,D. Powell misses 3-pt shot from 26 ft,,10-9,,
6:03.0,,,10-9,,Defensive rebound by L. Kennard
5:54.0,,,10-9,,R. Jackson misses 2-pt shot from 15 ft
5:50.0,Defensive rebound by H. Barnes,,10-9,,
5:44.0,D. Smith misses 2-pt shot from 10 ft,,10-9,,
5:41.0,,,10-9,,Defensive rebound by L. Kennard
5:37.0,,,10-12,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Kennard)
5:17.0,D. Smith misses 3-pt shot from 25 ft,,10-12,,
5:11.0,Offensive rebound by D. Finney-Smith,,10-12,,
5:11.0,D. Finney-Smith makes 2-pt shot at rim,2,12-12,,
4:45.0,,,12-12,,R. Jackson misses 2-pt shot from 18 ft
4:40.0,Defensive rebound by J. Motley,,12-12,,
4:38.0,Shooting foul by A. Tolliver (drawn by D. Smith),,12-12,,
4:38.0,D. Smith makes free throw 1 of 2,1,13-12,,
4:38.0,,,13-12,,I. Smith enters the game for R. Jackson
4:38.0,D. Smith makes free throw 2 of 2,1,14-12,,
4:27.0,,,14-12,,L. Kennard misses 2-pt shot from 16 ft
4:24.0,Defensive rebound by D. Powell,,14-12,,
4:14.0,J. Motley makes 2-pt shot from 16 ft,2,16-12,,
3:51.0,,,16-15,3,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Smith)
3:33.0,Turnover by D. Smith (bad pass; steal by I. Smith),,16-15,,
3:28.0,,,16-17,2,A. Drummond makes 2-pt shot at rim (assist by L. Kennard)
3:27.0,Dallas full timeout,,16-17,,
3:27.0,,,16-17,,E. Moreland enters the game for A. Drummond
3:27.0,M. Kleber enters the game for D. Powell,,16-17,,
3:27.0,D. McDermott enters the game for D. Finney-Smith,,16-17,,
3:16.0,,,16-17,,Personal foul by L. Kennard (drawn by J. Motley)
3:16.0,,,16-17,,L. Galloway enters the game for L. Kennard
3:09.0,J. Motley misses 2-pt shot from 13 ft,,16-17,,
3:06.0,,,16-17,,Defensive rebound by S. Johnson
2:51.0,,,16-17,,E. Moreland misses 2-pt shot from 5 ft
2:49.0,Defensive rebound by J. Motley,,16-17,,
2:44.0,J. Motley makes 2-pt shot from 2 ft (assist by D. Smith),2,18-17,,
2:26.0,,,18-19,2,S. Johnson makes 2-pt shot from 3 ft
2:26.0,,,18-19,,Shooting foul by H. Barnes (drawn by S. Johnson)
2:26.0,,,18-20,1,S. Johnson makes free throw 1 of 1
2:17.0,,,18-20,,Personal foul by E. Moreland (drawn by H. Barnes)
2:17.0,H. Barnes makes free throw 1 of 2,1,19-20,,
2:17.0,H. Barnes misses free throw 2 of 2,,19-20,,
2:15.0,,,19-20,,Defensive rebound by E. Moreland
2:06.0,,,19-20,,L. Galloway misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by M. Kleber,,19-20,,
1:47.0,Shooting foul by A. Tolliver (drawn by J. Motley),,19-20,,
1:47.0,J. Motley makes free throw 1 of 2,1,20-20,,
1:47.0,,,20-20,,H. Ellenson enters the game for A. Tolliver
1:47.0,J. Motley makes free throw 2 of 2,1,21-20,,
1:32.0,,,21-20,,H. Ellenson misses 2-pt shot from 11 ft
1:26.0,Defensive rebound by M. Kleber,,21-20,,
1:20.0,H. Barnes misses 3-pt shot from 24 ft,,21-20,,
1:16.0,,,21-20,,Defensive rebound by L. Galloway
1:11.0,,,21-20,,L. Galloway misses 2-pt shot from 15 ft
1:08.0,Defensive rebound by H. Barnes,,21-20,,
1:00.0,H. Barnes makes 2-pt shot from 4 ft,2,23-20,,
0:47.0,,,23-20,,L. Galloway misses 2-pt shot from 10 ft
0:46.0,,,23-20,,Offensive rebound by E. Moreland
0:46.0,,,23-22,2,E. Moreland makes 2-pt shot at rim
0:32.0,D. Smith misses 3-pt shot from 26 ft,,23-22,,
0:29.0,,,23-22,,Defensive rebound by E. Moreland
0:21.0,,,23-22,,H. Ellenson misses 3-pt shot from 27 ft
0:18.0,Defensive rebound by M. Kleber,,23-22,,
0:04.0,,,23-22,,Personal foul by I. Smith (drawn by D. Smith)
0:04.0,D. Smith misses free throw 1 of 2,,23-22,,
0:04.0,Offensive rebound by Team,,23-22,,
0:04.0,D. Powell enters the game for J. Motley,,23-22,,
0:04.0,D. Smith makes free throw 2 of 2,1,24-22,,
0:03.0,Personal foul by M. Kleber (drawn by I. Smith),,24-22,,
0:03.0,Y. Ferrell enters the game for D. Smith,,24-22,,
0:03.0,J. Jones enters the game for H. Barnes,,24-22,,
0:00.0,,,24-22,,L. Galloway misses 2-pt shot from 16 ft
0:00.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,27-22,,
11:21.0,,,27-22,,H. Ellenson misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by M. Kleber,,27-22,,
11:10.0,D. McDermott makes 2-pt shot at rim (assist by M. Kleber),2,29-22,,
