time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. R. Lopez (J. Richardson gains possession),,,,Jump ball: H. Whiteside vs. R. Lopez (J. Richardson gains possession)
11:39.0,,,0-0,,Turnover by J. Johnson (bad pass)
11:25.0,R. Lopez misses 2-pt shot from 3 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by J. Richardson
11:10.0,,,0-3,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
10:49.0,D. Nwaba misses 2-pt shot from 7 ft (block by H. Whiteside),,0-3,,
10:47.0,Offensive rebound by D. Nwaba,,0-3,,
10:44.0,R. Lopez makes 2-pt shot from 5 ft (assist by N. Vonleh),2,2-3,,
10:30.0,,,2-3,,T. Johnson misses 3-pt shot from 22 ft (block by D. Nwaba)
10:26.0,,,2-3,,Offensive rebound by H. Whiteside
10:25.0,,,2-3,,J. Johnson misses 2-pt shot at rim
10:19.0,,,2-3,,Offensive rebound by J. Johnson
10:19.0,,,2-3,,J. Johnson misses 2-pt shot at rim
10:18.0,Defensive rebound by N. Vonleh,,2-3,,
10:16.0,C. Payne misses 2-pt shot from 1 ft,,2-3,,
10:10.0,,,2-3,,Defensive rebound by H. Whiteside
10:05.0,,,2-3,,T. Johnson misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by N. Vonleh,,2-3,,
9:58.0,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Payne),2,4-3,,
9:44.0,,,4-5,2,J. Richardson makes 2-pt shot from 8 ft
9:29.0,R. Lopez misses 3-pt shot from 26 ft,,4-5,,
9:26.0,,,4-5,,Defensive rebound by G. Dragic
9:20.0,,,4-5,,J. Richardson misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by D. Nwaba,,4-5,,
9:15.0,Shooting foul by T. Johnson (drawn by D. Nwaba),,4-5,,
9:15.0,D. Nwaba misses free throw 1 of 2,,4-5,,
9:15.0,Offensive rebound by Team,,4-5,,
9:15.0,D. Nwaba makes free throw 2 of 2,1,5-5,,
9:01.0,,,5-7,2,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic)
8:37.0,N. Vonleh misses 2-pt shot from 13 ft,,5-7,,
8:33.0,,,5-7,,Defensive rebound by H. Whiteside
8:26.0,,,5-7,,Shooting foul by C. Payne (drawn by G. Dragic)
8:26.0,,,5-8,1,G. Dragic makes free throw 1 of 2
8:26.0,,,5-9,1,G. Dragic makes free throw 2 of 2
8:12.0,Turnover by J. Holiday (bad pass; steal by H. Whiteside),,5-9,,
8:07.0,,,5-9,,Shooting foul by J. Holiday (drawn by G. Dragic)
8:07.0,,,5-10,1,G. Dragic makes free throw 1 of 2
8:07.0,,,5-11,1,G. Dragic makes free throw 2 of 2
7:48.0,D. Nwaba misses 2-pt shot from 1 ft,,5-11,,
7:44.0,Offensive rebound by R. Lopez,,5-11,,
7:44.0,R. Lopez makes 2-pt shot at rim,2,7-11,,
7:33.0,,,7-11,,H. Whiteside misses 2-pt shot from 10 ft
7:31.0,Defensive rebound by N. Vonleh,,7-11,,
7:25.0,D. Nwaba makes 2-pt shot at rim,2,9-11,,
7:11.0,,,9-11,,J. Richardson misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by D. Nwaba,,9-11,,
7:04.0,J. Holiday misses 3-pt shot from 23 ft,,9-11,,
7:01.0,,,9-11,,Defensive rebound by J. Johnson
6:51.0,,,9-11,,Shooting foul by J. Holiday (drawn by H. Whiteside)
6:51.0,,,9-11,,Miami full timeout
6:51.0,D. Valentine enters the game for J. Holiday,,9-11,,
6:51.0,,,9-12,1,H. Whiteside makes free throw 1 of 2
6:51.0,,,9-13,1,H. Whiteside makes free throw 2 of 2
6:36.0,C. Payne makes 2-pt shot from 7 ft,2,11-13,,
6:24.0,,,11-15,2,T. Johnson makes 2-pt shot from 18 ft (assist by H. Whiteside)
6:10.0,Shooting foul by J. Richardson (drawn by R. Lopez),,11-15,,
6:10.0,R. Lopez makes free throw 1 of 2,1,12-15,,
6:10.0,,,12-15,,W. Ellington enters the game for J. Richardson
6:10.0,R. Lopez misses free throw 2 of 2,,12-15,,
6:06.0,,,12-15,,Defensive rebound by H. Whiteside
5:49.0,,,12-15,,J. Johnson misses 2-pt shot from 19 ft
5:45.0,Defensive rebound by N. Vonleh,,12-15,,
5:36.0,D. Nwaba makes 3-pt shot from 23 ft (assist by C. Payne),3,15-15,,
5:15.0,,,15-15,,H. Whiteside misses 2-pt shot from 16 ft
5:13.0,,,15-15,,Offensive rebound by H. Whiteside
5:11.0,,,15-18,3,G. Dragic makes 3-pt shot from 25 ft (assist by H. Whiteside)
4:51.0,,,15-18,,Personal foul by J. Johnson (drawn by D. Valentine)
4:51.0,,,15-18,,J. Winslow enters the game for T. Johnson
4:51.0,,,15-18,,K. Olynyk enters the game for J. Johnson
4:51.0,,,15-18,,D. Wade enters the game for H. Whiteside
4:51.0,B. Portis enters the game for N. Vonleh,,15-18,,
4:44.0,C. Payne misses 3-pt shot from 25 ft,,15-18,,
4:42.0,,,15-18,,Defensive rebound by J. Winslow
4:30.0,,,15-18,,K. Olynyk misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by B. Portis,,15-18,,
4:27.0,Turnover by C. Payne (bad pass),,15-18,,
4:20.0,,,15-20,2,G. Dragic makes 2-pt shot from 1 ft
4:06.0,D. Valentine misses 2-pt shot from 23 ft,,15-20,,
4:06.0,,,15-20,,Defensive rebound by Team
4:06.0,J. Grant enters the game for C. Payne,,15-20,,
3:39.0,,,15-22,2,J. Winslow makes 2-pt shot from 1 ft
3:30.0,B. Portis misses 2-pt shot from 3 ft,,15-22,,
3:27.0,Offensive rebound by B. Portis,,15-22,,
3:25.0,B. Portis makes 2-pt shot from 3 ft,2,17-22,,
3:11.0,,,17-22,,Turnover by D. Wade (bad pass; steal by B. Portis)
3:05.0,Turnover by B. Portis (step out of bounds),,17-22,,
2:52.0,,,17-22,,G. Dragic misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by Team,,17-22,,
2:52.0,,,17-22,,Loose ball foul by K. Olynyk (drawn by J. Grant)
2:52.0,Chicago full timeout,,17-22,,
2:52.0,N. Vonleh enters the game for R. Lopez,,17-22,,
2:26.0,B. Portis misses 3-pt shot from 26 ft,,17-22,,
2:26.0,Offensive rebound by N. Vonleh,,17-22,,
2:26.0,,,17-22,,Personal foul by K. Olynyk (drawn by N. Vonleh)
2:26.0,N. Vonleh makes free throw 1 of 2,1,18-22,,
2:26.0,,,18-22,,B. Adebayo enters the game for K. Olynyk
2:26.0,N. Vonleh makes free throw 2 of 2,1,19-22,,
2:14.0,,,19-24,2,D. Wade makes 2-pt shot from 6 ft (assist by J. Winslow)
2:00.0,D. Nwaba misses 2-pt shot from 5 ft,,19-24,,
1:58.0,,,19-24,,Defensive rebound by G. Dragic
1:53.0,,,19-24,,Shooting foul by J. Grant (drawn by B. Adebayo)
1:53.0,,,19-25,1,B. Adebayo makes free throw 1 of 2
1:53.0,,,19-25,,J. Richardson enters the game for G. Dragic
1:53.0,S. Kilpatrick enters the game for D. Nwaba,,19-25,,
