time,Chicago,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (P. Mills gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (P. Mills gains possession)
11:50.0,,,0-2,2,K. Anderson makes 2-pt shot from 1 ft
11:50.0,,,0-2,,Shooting foul by P. Zipser (drawn by K. Anderson)
11:50.0,,,0-3,1,K. Anderson makes free throw 1 of 1
11:35.0,R. Lopez makes 2-pt shot from 9 ft (assist by L. Markkanen),2,2-3,,
11:14.0,,,2-3,,L. Aldridge misses 2-pt shot from 9 ft
11:09.0,,,2-3,,Offensive rebound by P. Gasol
11:09.0,,,2-5,2,P. Gasol makes 2-pt shot at rim
11:00.0,,,2-5,,Personal foul by K. Anderson (drawn by J. Holiday)
10:52.0,J. Grant makes 2-pt shot from 13 ft,2,4-5,,
10:38.0,,,4-5,,L. Aldridge misses 2-pt shot from 6 ft (block by L. Markkanen)
10:34.0,Defensive rebound by J. Holiday,,4-5,,
10:30.0,J. Holiday misses 2-pt shot from 10 ft,,4-5,,
10:27.0,,,4-5,,Defensive rebound by P. Mills
10:06.0,,,4-8,3,P. Mills makes 3-pt shot from 24 ft
9:43.0,P. Zipser misses 2-pt shot from 2 ft,,4-8,,
9:41.0,,,4-8,,Defensive rebound by L. Aldridge
9:33.0,,,4-8,,Turnover by K. Anderson (bad pass; steal by P. Zipser)
9:24.0,P. Zipser makes 2-pt shot from 9 ft,2,6-8,,
9:04.0,Personal foul by P. Zipser (drawn by B. Forbes),,6-8,,
9:04.0,D. Valentine enters the game for P. Zipser,,6-8,,
8:53.0,,,6-8,,Shooting foul by L. Markkanen (drawn by P. Gasol)
8:53.0,,,6-9,1,P. Gasol makes free throw 1 of 2
8:53.0,,,6-10,1,P. Gasol makes free throw 2 of 2
8:42.0,R. Lopez misses 2-pt shot from 6 ft,,6-10,,
8:40.0,,,6-10,,Defensive rebound by P. Gasol
8:31.0,,,6-10,,L. Aldridge misses 2-pt shot from 8 ft
8:29.0,Defensive rebound by J. Grant,,6-10,,
8:18.0,D. Valentine misses 3-pt shot from 24 ft,,6-10,,
8:15.0,,,6-10,,Defensive rebound by B. Forbes
8:10.0,,,6-13,3,P. Gasol makes 3-pt shot from 25 ft (assist by P. Mills)
7:58.0,Chicago full timeout,,6-13,,
7:40.0,Turnover by R. Lopez (lost ball; steal by K. Anderson),,6-13,,
7:25.0,,,6-16,3,B. Forbes makes 3-pt shot from 24 ft (assist by L. Aldridge)
7:17.0,,,6-16,,Personal block foul by P. Mills (drawn by J. Grant)
7:09.0,J. Holiday misses 3-pt shot from 25 ft,,6-16,,
7:05.0,,,6-16,,Defensive rebound by P. Gasol
6:53.0,,,6-18,2,P. Gasol makes 2-pt shot from 11 ft
6:35.0,Turnover by L. Markkanen (bad pass; steal by P. Mills),,6-18,,
6:23.0,,,6-18,,P. Mills misses 2-pt shot from 18 ft
6:21.0,Defensive rebound by J. Holiday,,6-18,,
6:14.0,L. Markkanen misses 3-pt shot from 24 ft,,6-18,,
6:10.0,,,6-18,,Defensive rebound by P. Gasol
6:03.0,,,6-20,2,L. Aldridge makes 2-pt shot from 16 ft (assist by B. Forbes)
5:51.0,Turnover by J. Grant (bad pass; steal by P. Gasol),,6-20,,
5:46.0,,,6-22,2,P. Mills makes 2-pt shot at rim (assist by P. Gasol)
5:46.0,Chicago full timeout,,6-22,,
5:46.0,,,6-22,,D. Murray enters the game for P. Mills
5:46.0,,,6-22,,R. Gay enters the game for L. Aldridge
5:46.0,B. Portis enters the game for J. Grant,,6-22,,
5:46.0,K. Dunn enters the game for R. Lopez,,6-22,,
5:23.0,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Holiday),2,8-22,,
5:12.0,,,8-22,,Shooting foul by D. Valentine (drawn by D. Murray)
5:12.0,,,8-23,1,D. Murray makes free throw 1 of 2
5:12.0,,,8-23,,B. Paul enters the game for B. Forbes
5:12.0,,,8-24,1,D. Murray makes free throw 2 of 2
5:03.0,J. Holiday misses 3-pt shot from 23 ft,,8-24,,
4:59.0,,,8-24,,Defensive rebound by R. Gay
4:45.0,,,8-24,,D. Murray misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by B. Portis,,8-24,,
4:35.0,K. Dunn misses 2-pt shot from 16 ft,,8-24,,
4:31.0,,,8-24,,Defensive rebound by R. Gay
4:21.0,,,8-24,,R. Gay misses 2-pt shot from 1 ft
4:18.0,Defensive rebound by B. Portis,,8-24,,
4:17.0,Offensive charge foul by D. Valentine (drawn by B. Paul),,8-24,,
4:17.0,Turnover by D. Valentine (offensive foul),,8-24,,
4:17.0,,,8-24,,D. Hilliard enters the game for K. Anderson
4:13.0,Personal foul by K. Dunn (drawn by D. Murray),,8-24,,
4:13.0,,,8-24,,D. Murray misses free throw 1 of 2
4:13.0,,,8-24,,Offensive rebound by Team
4:13.0,,,8-25,1,D. Murray makes free throw 2 of 2
4:04.0,,,8-25,,Personal foul by D. Hilliard (drawn by L. Markkanen)
4:04.0,C. Felicio enters the game for L. Markkanen,,8-25,,
4:00.0,D. Valentine misses 2-pt shot from 10 ft,,8-25,,
3:58.0,,,8-25,,Defensive rebound by Team
3:43.0,,,8-27,2,R. Gay makes 2-pt shot from 17 ft
3:23.0,J. Holiday misses 2-pt shot from 17 ft,,8-27,,
3:18.0,,,8-27,,Defensive rebound by P. Gasol
3:14.0,,,8-30,3,P. Gasol makes 3-pt shot from 25 ft (assist by D. Murray)
2:55.0,B. Portis misses 3-pt shot from 24 ft,,8-30,,
2:52.0,,,8-30,,Defensive rebound by D. Murray
2:47.0,,,8-30,,D. Murray misses 2-pt shot from 2 ft (block by J. Holiday)
2:44.0,,,8-30,,Offensive rebound by R. Gay
2:42.0,,,8-30,,B. Paul misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by J. Holiday,,8-30,,
2:33.0,K. Dunn makes 2-pt shot from 10 ft,2,10-30,,
2:32.0,,,10-30,,San Antonio full timeout
2:32.0,,,10-30,,L. Aldridge enters the game for P. Gasol
2:32.0,K. Felder enters the game for J. Holiday,,10-30,,
2:15.0,,,10-30,,R. Gay misses 2-pt shot from 14 ft
2:12.0,Defensive rebound by K. Dunn,,10-30,,
2:06.0,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn),3,13-30,,
1:49.0,,,13-32,2,B. Paul makes 2-pt shot from 1 ft (assist by L. Aldridge)
1:49.0,,,13-32,,Shooting foul by K. Dunn (drawn by B. Paul)
1:49.0,,,13-32,,B. Paul misses free throw 1 of 1
1:45.0,Defensive rebound by D. Valentine,,13-32,,
1:31.0,K. Felder misses 3-pt shot from 24 ft,,13-32,,
1:27.0,,,13-32,,Defensive rebound by L. Aldridge
1:20.0,,,13-35,3,R. Gay makes 3-pt shot from 24 ft (assist by B. Paul)
0:55.0,D. Valentine makes 2-pt shot from 19 ft,2,15-35,,
0:36.0,Shooting block foul by C. Felicio (drawn by R. Gay),,15-35,,
0:36.0,,,15-36,1,R. Gay makes free throw 1 of 2
0:36.0,,,15-37,1,R. Gay makes free throw 2 of 2
0:24.0,,,15-37,,Personal foul by D. Hilliard (drawn by D. Valentine)
0:15.0,K. Dunn misses 2-pt shot from 2 ft (block by L. Aldridge),,15-37,,
0:11.0,,,15-37,,Defensive rebound by B. Paul
0:02.0,,,15-37,,B. Paul misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by Team,,15-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:56.0,,,15-37,,Personal foul by D. Murray (drawn by K. Dunn)
11:46.0,K. Dunn misses 2-pt shot from 6 ft (block by L. Aldridge),,15-37,,
11:46.0,,,15-37,,Defensive rebound by Team
11:35.0,Personal foul by C. Felicio (drawn by L. Aldridge),,15-37,,
11:35.0,,,15-37,,B. Forbes enters the game for D. Hilliard
11:23.0,,,15-37,,B. Paul misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by K. Dunn,,15-37,,
11:17.0,Turnover by K. Dunn (bad pass; steal by B. Paul),,15-37,,
11:13.0,,,15-39,2,B. Paul makes 2-pt shot from 1 ft
10:53.0,D. Valentine makes 2-pt shot from 9 ft,2,17-39,,
10:39.0,,,17-39,,Turnover by D. Murray (bad pass; steal by K. Dunn)
10:31.0,K. Dunn makes 2-pt shot from 14 ft (assist by D. Valentine),2,19-39,,
10:01.0,,,19-39,,B. Forbes misses 2-pt shot from 8 ft
10:01.0,,,19-39,,Offensive rebound by L. Aldridge
9:53.0,,,19-39,,L. Aldridge misses 2-pt shot at rim
9:50.0,,,19-39,,Offensive rebound by L. Aldridge
9:50.0,,,19-41,2,L. Aldridge makes 2-pt shot at rim
