time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. A. Drummond (I. Smith gains possession),,,,Jump ball: H. Whiteside vs. A. Drummond (I. Smith gains possession)
11:44.0,B. Griffin makes 2-pt shot from 20 ft (assist by R. Bullock),2,2-0,,
11:26.0,,,2-0,,L. Babbitt misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by R. Bullock,,2-0,,
11:16.0,A. Drummond makes 2-pt shot from 3 ft (assist by B. Griffin),2,4-0,,
11:02.0,,,4-2,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson)
10:50.0,B. Griffin makes 2-pt shot from 17 ft,2,6-2,,
10:34.0,,,6-5,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
10:16.0,R. Bullock makes 3-pt shot from 26 ft,3,9-5,,
9:59.0,,,9-5,,G. Dragic misses 2-pt shot from 5 ft
9:56.0,Defensive rebound by A. Drummond,,9-5,,
9:45.0,R. Bullock misses 3-pt shot from 26 ft,,9-5,,
9:42.0,Offensive rebound by Team,,9-5,,
9:42.0,,,9-5,,Personal foul by H. Whiteside (drawn by A. Drummond)
9:30.0,B. Griffin makes 3-pt shot from 22 ft,3,12-5,,
9:10.0,,,12-5,,H. Whiteside misses 2-pt shot from 13 ft
9:07.0,Defensive rebound by J. Ennis,,12-5,,
9:06.0,A. Drummond makes 2-pt shot from 1 ft (assist by J. Ennis),2,14-5,,
8:48.0,,,14-5,,L. Babbitt misses 2-pt shot from 11 ft (block by A. Drummond)
8:44.0,Defensive rebound by A. Drummond,,14-5,,
8:34.0,I. Smith misses 2-pt shot from 6 ft,,14-5,,
8:31.0,Offensive rebound by A. Drummond,,14-5,,
8:31.0,A. Drummond misses 2-pt shot from 3 ft,,14-5,,
8:31.0,Offensive rebound by Team,,14-5,,
8:31.0,,,14-5,,Loose ball foul by H. Whiteside (drawn by A. Drummond)
8:31.0,,,14-5,,K. Olynyk enters the game for H. Whiteside
8:21.0,I. Smith misses 2-pt shot from 15 ft,,14-5,,
8:18.0,,,14-5,,Defensive rebound by J. Johnson
8:10.0,,,14-7,2,J. Johnson makes 2-pt shot from 14 ft (assist by G. Dragic)
7:55.0,Turnover by R. Bullock (lost ball; steal by J. Johnson),,14-7,,
7:53.0,,,14-7,,Shooting foul by I. Smith (drawn by G. Dragic)
7:53.0,,,14-8,1,G. Dragic makes free throw 1 of 2
7:53.0,,,14-9,1,G. Dragic makes free throw 2 of 2
7:47.0,B. Griffin misses 2-pt shot from 19 ft,,14-9,,
7:43.0,,,14-9,,Defensive rebound by L. Babbitt
7:42.0,,,14-9,,G. Dragic misses 2-pt shot from 4 ft
7:41.0,,,14-9,,Offensive rebound by K. Olynyk
7:31.0,,,14-11,2,K. Olynyk makes 2-pt shot at rim
7:18.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Bullock),2,16-11,,
7:05.0,,,16-13,2,K. Olynyk makes 2-pt shot from 12 ft (assist by G. Dragic)
6:38.0,B. Griffin misses 2-pt shot from 20 ft,,16-13,,
6:36.0,Offensive rebound by J. Ennis,,16-13,,
6:35.0,J. Ennis misses 2-pt shot from 3 ft,,16-13,,
6:34.0,Offensive rebound by A. Drummond,,16-13,,
6:34.0,A. Drummond misses 2-pt shot from 2 ft,,16-13,,
6:33.0,Offensive rebound by Team,,16-13,,
6:31.0,,,16-13,,Miami full timeout
6:23.0,Turnover by A. Drummond (bad pass; steal by J. Johnson),,16-13,,
6:18.0,,,16-15,2,J. Johnson makes 2-pt shot from 1 ft
6:06.0,,,16-15,,Personal foul by J. Johnson (drawn by B. Griffin)
6:06.0,,,16-15,,R. McGruder enters the game for J. Richardson
5:57.0,A. Drummond makes 2-pt shot from 3 ft (assist by I. Smith),2,18-15,,
5:39.0,,,18-15,,Turnover by G. Dragic (bad pass; steal by A. Drummond)
5:35.0,Turnover by A. Drummond (lost ball; steal by G. Dragic),,18-15,,
5:26.0,,,18-15,,R. McGruder misses 2-pt shot from 18 ft
5:23.0,Defensive rebound by A. Drummond,,18-15,,
5:06.0,B. Griffin misses 2-pt shot from 8 ft,,18-15,,
5:03.0,,,18-15,,Defensive rebound by J. Johnson
4:52.0,,,18-17,2,G. Dragic makes 2-pt shot from 17 ft
4:36.0,Turnover by I. Smith (bad pass; steal by G. Dragic),,18-17,,
4:31.0,,,18-19,2,G. Dragic makes 2-pt shot from 4 ft
4:23.0,Detroit full timeout,,18-19,,
4:23.0,,,18-19,,J. Winslow enters the game for J. Johnson
4:23.0,D. Buycks enters the game for I. Smith,,18-19,,
4:23.0,S. Johnson enters the game for R. Bullock,,18-19,,
4:02.0,B. Griffin misses 2-pt shot from 12 ft,,18-19,,
3:59.0,,,18-19,,Defensive rebound by L. Babbitt
3:48.0,,,18-22,3,L. Babbitt makes 3-pt shot from 26 ft (assist by K. Olynyk)
3:33.0,Turnover by A. Drummond (lost ball; steal by L. Babbitt),,18-22,,
3:30.0,Personal foul by D. Buycks (drawn by G. Dragic),,18-22,,
3:30.0,,,18-22,,D. Wade enters the game for G. Dragic
3:30.0,E. Moreland enters the game for A. Drummond,,18-22,,
3:22.0,,,18-24,2,D. Wade makes 2-pt shot from 19 ft (assist by K. Olynyk)
3:14.0,Detroit full timeout,,18-24,,
3:07.0,B. Griffin makes 2-pt shot from 8 ft (assist by D. Buycks),2,20-24,,
3:07.0,Shooting foul by J. Winslow (drawn by B. Griffin),,20-24,,
3:07.0,B. Griffin makes free throw 1 of 1,1,21-24,,
3:05.0,,,21-24,,Turnover by D. Wade (traveling)
2:57.0,D. Buycks misses 2-pt shot from 19 ft,,21-24,,
2:54.0,,,21-24,,Defensive rebound by K. Olynyk
2:49.0,Personal foul by S. Johnson (drawn by R. McGruder),,21-24,,
2:49.0,L. Galloway enters the game for J. Ennis,,21-24,,
2:33.0,,,21-24,,R. McGruder misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by B. Griffin,,21-24,,
2:24.0,L. Galloway makes 2-pt shot from 17 ft,2,23-24,,
2:09.0,,,23-24,,Turnover by D. Wade (bad pass; steal by L. Galloway)
2:00.0,L. Galloway misses 3-pt shot from 23 ft,,23-24,,
1:55.0,,,23-24,,Defensive rebound by J. Winslow
1:39.0,,,23-27,3,L. Babbitt makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:17.0,S. Johnson misses 3-pt shot from 26 ft,,23-27,,
1:16.0,,,23-27,,Defensive rebound by Team
1:16.0,,,23-27,,J. Richardson enters the game for L. Babbitt
1:05.0,,,23-27,,K. Olynyk misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by B. Griffin,,23-27,,
0:56.0,B. Griffin makes 3-pt shot from 26 ft,3,26-27,,
0:42.0,,,26-27,,J. Winslow misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by L. Galloway,,26-27,,
0:30.0,E. Moreland makes 2-pt shot from 4 ft (assist by B. Griffin),2,28-27,,
0:14.0,,,28-27,,J. Winslow misses 2-pt shot from 8 ft
0:11.0,,,28-27,,Offensive rebound by K. Olynyk
0:08.0,,,28-27,,R. McGruder misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by L. Galloway,,28-27,,
0:00.0,B. Griffin misses 3-pt shot from 29 ft,,28-27,,
0:00.0,,,28-27,,Defensive rebound by D. Wade
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-27,,Shooting foul by E. Moreland (drawn by K. Olynyk)
11:41.0,,,28-28,1,K. Olynyk makes free throw 1 of 2
11:41.0,,,28-29,1,K. Olynyk makes free throw 2 of 2
11:27.0,L. Galloway misses 2-pt shot from 19 ft,,28-29,,
11:25.0,,,28-29,,Defensive rebound by D. Wade
11:15.0,,,28-31,2,D. Wade makes 2-pt shot from 16 ft (assist by R. McGruder)
11:00.0,D. Buycks misses 2-pt shot from 20 ft,,28-31,,
10:57.0,,,28-31,,Defensive rebound by D. Wade
10:53.0,,,28-31,,J. Winslow misses 2-pt shot from 3 ft
10:49.0,,,28-31,,Offensive rebound by J. Richardson
10:45.0,,,28-33,2,J. Winslow makes 2-pt shot from 3 ft (assist by K. Olynyk)
10:28.0,Offensive foul by E. Moreland (drawn by J. Richardson),,28-33,,
10:28.0,Turnover by E. Moreland (offensive foul),,28-33,,
10:05.0,,,28-36,3,K. Olynyk makes 3-pt shot from 27 ft
9:53.0,,,28-36,,Personal foul by D. Wade (drawn by E. Moreland)
9:43.0,Offensive foul by E. Moreland (drawn by D. Wade),,28-36,,
9:43.0,Turnover by E. Moreland (offensive foul),,28-36,,
9:43.0,A. Drummond enters the game for E. Moreland,,28-36,,
9:31.0,,,28-38,2,J. Richardson makes 2-pt shot from 11 ft
9:31.0,Violation by A. Drummond (def goaltending),,28-38,,
9:07.0,A. Drummond misses 2-pt shot from 5 ft,,28-38,,
