time,Dallas,pts.away,score,pts.home,Utah
8:26.0,H. Barnes misses 2-pt shot from 9 ft,,5-12,,
8:24.0,,,5-12,,Defensive rebound by R. Rubio
8:17.0,,,5-12,,J. Ingles misses 3-pt shot from 24 ft
8:13.0,,,5-12,,Offensive rebound by D. Favors
8:08.0,,,5-12,,D. Favors misses 2-pt shot from 14 ft
8:05.0,Defensive rebound by H. Barnes,,5-12,,
7:53.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,8-12,,
7:26.0,,,8-12,,D. Favors misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by H. Barnes,,8-12,,
7:11.0,Turnover by H. Barnes (bad pass; steal by D. Favors),,8-12,,
7:04.0,,,8-12,,D. Favors misses 2-pt shot from 17 ft
6:59.0,,,8-12,,Offensive rebound by R. Gobert
6:51.0,,,8-14,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert)
6:34.0,Turnover by Y. Ferrell (bad pass; steal by D. Mitchell),,8-14,,
6:31.0,,,8-16,2,D. Mitchell makes 2-pt shot from 1 ft
6:18.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,11-16,,
5:51.0,,,11-16,,J. Ingles misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by Team,,11-16,,
5:49.0,,,11-16,,J. Johnson enters the game for D. Favors
5:49.0,D. Harris enters the game for W. Matthews,,11-16,,
5:49.0,J. Barea enters the game for D. Nowitzki,,11-16,,
5:39.0,,,11-16,,A. Burks enters the game for R. Rubio
5:32.0,J. Barea makes 2-pt shot from 19 ft,2,13-16,,
5:10.0,,,13-19,3,D. Mitchell makes 3-pt shot from 25 ft (assist by R. Gobert)
4:57.0,H. Barnes misses 3-pt shot from 24 ft,,13-19,,
4:55.0,,,13-19,,Defensive rebound by J. Ingles
4:46.0,,,13-19,,Turnover by A. Burks (step out of bounds)
4:29.0,H. Barnes misses 2-pt shot from 15 ft,,13-19,,
4:25.0,Offensive rebound by D. Powell,,13-19,,
4:19.0,J. Barea makes 2-pt shot from 22 ft (assist by D. Powell),2,15-19,,
3:58.0,Personal foul by D. Harris (drawn by R. Gobert),,15-19,,
3:58.0,,,15-19,,T. Sefolosha enters the game for J. Ingles
3:58.0,S. Mejri enters the game for H. Barnes,,15-19,,
3:47.0,,,15-19,,A. Burks misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by D. Powell,,15-19,,
3:34.0,D. Powell misses 2-pt shot from 1 ft,,15-19,,
3:30.0,,,15-19,,Defensive rebound by J. Johnson
3:26.0,,,15-19,,D. Mitchell misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by J. Barea,,15-19,,
3:17.0,Turnover by J. Barea (bad pass),,15-19,,
3:17.0,,,15-19,,Utah full timeout
3:17.0,,,15-19,,E. Udoh enters the game for R. Gobert
3:07.0,,,15-19,,J. Johnson misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by Y. Ferrell,,15-19,,
2:51.0,D. Powell makes 3-pt shot from 23 ft (assist by D. Harris),3,18-19,,
2:32.0,,,18-21,2,T. Sefolosha makes 2-pt shot from 19 ft (assist by E. Udoh)
2:15.0,D. Harris makes 2-pt shot from 19 ft,2,20-21,,
1:57.0,,,20-21,,D. Mitchell misses 2-pt shot from 15 ft
1:54.0,Defensive rebound by D. Powell,,20-21,,
1:51.0,Shooting foul by E. Udoh (drawn by D. Harris),,20-21,,
1:51.0,D. Harris makes free throw 1 of 2,1,21-21,,
1:51.0,,,21-21,,R. Rubio enters the game for A. Burks
1:51.0,D. Harris makes free throw 2 of 2,1,22-21,,
1:37.0,,,22-21,,T. Sefolosha misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by D. Powell,,22-21,,
1:28.0,J. Barea misses 3-pt shot from 26 ft,,22-21,,
1:23.0,Offensive rebound by S. Mejri,,22-21,,
1:15.0,J. Barea makes 2-pt shot from 2 ft,2,24-21,,
0:57.0,,,24-21,,R. Rubio misses 2-pt shot from 13 ft
0:55.0,Defensive rebound by S. Mejri,,24-21,,
0:35.0,Turnover by Y. Ferrell (step out of bounds),,24-21,,
0:27.0,,,24-21,,T. Sefolosha misses 2-pt shot from 10 ft
0:25.0,Defensive rebound by D. Powell,,24-21,,
0:04.0,J. Barea makes 3-pt shot from 25 ft,3,27-21,,
0:00.0,,,27-21,,D. Mitchell misses 3-pt shot from 32 ft
0:00.0,,,27-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Harris),3,30-21,,
11:25.0,,,30-23,2,R. Hood makes 2-pt shot from 17 ft (assist by R. Rubio)
11:16.0,,,30-23,,Personal foul by T. Sefolosha (drawn by W. Matthews)
11:09.0,Shooting foul by E. Udoh (drawn by D. Harris),,30-23,,
11:09.0,D. Harris makes free throw 1 of 2,1,31-23,,
11:09.0,D. Harris makes free throw 2 of 2,1,32-23,,
10:50.0,,,32-23,,R. Rubio misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by W. Matthews,,32-23,,
10:36.0,W. Matthews misses 2-pt shot from 2 ft,,32-23,,
10:33.0,Offensive rebound by D. Smith,,32-23,,
10:28.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,35-23,,
10:09.0,,,35-26,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by R. Rubio)
9:54.0,D. Smith misses 2-pt shot from 1 ft,,35-26,,
9:50.0,Offensive rebound by D. Powell,,35-26,,
9:50.0,D. Powell makes 2-pt shot at rim,2,37-26,,
9:48.0,,,37-26,,Utah full timeout
9:48.0,J. Barea enters the game for D. Harris,,37-26,,
9:42.0,,,37-28,2,R. Rubio makes 2-pt shot from 20 ft
9:30.0,D. Smith makes 2-pt shot from 1 ft,2,39-28,,
9:14.0,,,39-28,,E. Udoh misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by D. Nowitzki,,39-28,,
9:00.0,D. Nowitzki misses 2-pt shot from 18 ft,,39-28,,
8:58.0,,,39-28,,Defensive rebound by T. Sefolosha
8:38.0,,,39-30,2,T. Sefolosha makes 2-pt shot from 2 ft
8:21.0,D. Smith misses 3-pt shot from 25 ft,,39-30,,
8:19.0,,,39-30,,Defensive rebound by D. Favors
8:12.0,,,39-30,,R. Rubio misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by D. Nowitzki,,39-30,,
7:58.0,D. Nowitzki makes 2-pt shot from 12 ft,2,41-30,,
7:46.0,,,41-30,,Offensive foul by E. Udoh (drawn by J. Barea)
7:46.0,,,41-30,,Turnover by E. Udoh (offensive foul)
7:46.0,,,41-30,,R. Gobert enters the game for E. Udoh
7:46.0,H. Barnes enters the game for D. Smith,,41-30,,
7:46.0,S. Mejri enters the game for D. Powell,,41-30,,
7:46.0,Y. Ferrell enters the game for D. Nowitzki,,41-30,,
7:32.0,Turnover by W. Matthews (out of bounds lost ball),,41-30,,
7:15.0,,,41-33,3,R. Hood makes 3-pt shot from 25 ft
6:49.0,J. Barea misses 3-pt shot from 23 ft,,41-33,,
6:46.0,,,41-33,,Defensive rebound by T. Sefolosha
6:39.0,,,41-35,2,R. Rubio makes 2-pt shot from 13 ft (assist by D. Favors)
6:36.0,Dallas full timeout,,41-35,,
6:36.0,,,41-35,,J. Ingles enters the game for R. Rubio
6:36.0,,,41-35,,D. Mitchell enters the game for T. Sefolosha
6:36.0,N. Noel enters the game for S. Mejri,,41-35,,
6:36.0,D. Harris enters the game for Y. Ferrell,,41-35,,
6:18.0,N. Noel misses 2-pt shot from 2 ft (block by R. Gobert),,41-35,,
6:15.0,,,41-35,,Defensive rebound by R. Hood
6:11.0,,,41-35,,Offensive foul by R. Gobert (drawn by D. Harris)
6:11.0,,,41-35,,Turnover by R. Gobert (offensive foul)
6:00.0,N. Noel makes 2-pt shot at rim (assist by W. Matthews),2,43-35,,
5:31.0,,,43-35,,D. Mitchell misses 2-pt shot from 16 ft
5:28.0,Defensive rebound by J. Barea,,43-35,,
5:23.0,J. Barea makes 2-pt shot from 6 ft,2,45-35,,
5:06.0,,,45-35,,Shooting foul by N. Noel (drawn by R. Gobert)
5:06.0,,,45-36,1,R. Gobert makes free throw 1 of 2
5:06.0,,,45-36,,J. Johnson enters the game for D. Favors
5:06.0,,,45-37,1,R. Gobert makes free throw 2 of 2
4:54.0,W. Matthews misses 2-pt shot from 20 ft,,45-37,,
4:51.0,,,45-37,,Defensive rebound by D. Mitchell
4:45.0,,,45-37,,Turnover by J. Ingles (lost ball; steal by D. Harris)
4:42.0,Turnover by N. Noel (out of bounds lost ball),,45-37,,
4:26.0,,,45-37,,J. Ingles misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by H. Barnes,,45-37,,
4:16.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Harris),3,48-37,,
3:56.0,,,48-37,,D. Mitchell misses 2-pt shot from 4 ft (block by N. Noel)
3:53.0,Defensive rebound by D. Harris,,48-37,,
3:48.0,J. Barea makes 3-pt shot from 26 ft (assist by D. Harris),3,51-37,,
3:46.0,,,51-37,,Utah full timeout
3:46.0,,,51-37,,R. Rubio enters the game for D. Mitchell
3:36.0,,,51-37,,R. Rubio misses 2-pt shot from 14 ft
3:33.0,Defensive rebound by N. Noel,,51-37,,
3:18.0,N. Noel misses 2-pt shot from 3 ft (block by R. Gobert),,51-37,,
3:16.0,Offensive rebound by N. Noel,,51-37,,
3:16.0,N. Noel misses 2-pt shot from 2 ft (block by R. Gobert),,51-37,,
3:16.0,Offensive rebound by Team,,51-37,,
3:10.0,Turnover by J. Barea (bad pass; steal by R. Rubio),,51-37,,
3:04.0,,,51-37,,R. Gobert misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by H. Barnes,,51-37,,
2:42.0,Turnover by W. Matthews (bad pass; steal by R. Rubio),,51-37,,
2:36.0,,,51-40,3,R. Rubio makes 3-pt shot from 24 ft (assist by R. Gobert)
2:12.0,H. Barnes makes 2-pt shot from 20 ft,2,53-40,,
1:55.0,,,53-42,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
1:36.0,J. Barea misses 2-pt shot from 12 ft,,53-42,,
1:33.0,,,53-42,,Defensive rebound by R. Gobert
1:28.0,,,53-42,,J. Johnson misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by H. Barnes,,53-42,,
1:06.0,D. Harris misses 3-pt shot from 25 ft,,53-42,,
1:02.0,,,53-42,,Defensive rebound by R. Gobert
0:54.0,,,53-44,2,J. Johnson makes 2-pt shot from 11 ft
0:31.0,H. Barnes misses 2-pt shot from 19 ft,,53-44,,
0:28.0,,,53-44,,Defensive rebound by J. Johnson
0:24.0,,,53-44,,Offensive charge foul by R. Rubio (drawn by J. Barea)
0:24.0,,,53-44,,Turnover by R. Rubio (offensive foul)
0:24.0,,,53-44,,T. Sefolosha enters the game for R. Hood
0:24.0,D. Nowitzki enters the game for N. Noel,,53-44,,
0:24.0,Y. Ferrell enters the game for J. Barea,,53-44,,
0:24.0,D. Smith enters the game for D. Harris,,53-44,,
0:00.0,H. Barnes misses 2-pt shot from 17 ft,,53-44,,
0:00.0,Offensive rebound by Team,,53-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Nowitzki misses 3-pt shot from 22 ft,,53-44,,
11:43.0,,,53-44,,Defensive rebound by R. Gobert
11:32.0,,,53-46,2,R. Hood makes 2-pt shot from 13 ft
11:21.0,,,53-46,,Personal foul by D. Favors (drawn by D. Nowitzki)
11:15.0,D. Smith misses 2-pt shot from 2 ft (block by R. Gobert),,53-46,,
11:13.0,,,53-46,,Defensive rebound by J. Ingles
11:11.0,,,53-48,2,R. Rubio makes 2-pt shot from 18 ft (assist by J. Ingles)
10:52.0,H. Barnes makes 2-pt shot from 7 ft,2,55-48,,
10:37.0,,,55-48,,R. Hood misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by D. Smith,,55-48,,
10:29.0,Turnover by D. Smith (bad pass),,55-48,,
10:15.0,,,55-48,,R. Hood misses 2-pt shot from 16 ft
10:14.0,,,55-48,,Offensive rebound by Team
10:14.0,Loose ball foul by H. Barnes (drawn by R. Gobert),,55-48,,
10:02.0,,,55-51,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
9:41.0,Turnover by N. Noel (bad pass; steal by J. Ingles),,55-51,,
9:37.0,,,55-51,,R. Rubio misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by W. Matthews,,55-51,,
9:18.0,D. Nowitzki misses 2-pt shot from 11 ft,,55-51,,
9:16.0,,,55-51,,Defensive rebound by R. Gobert
9:05.0,,,55-54,3,R. Hood makes 3-pt shot from 25 ft
9:03.0,Dallas full timeout,,55-54,,
9:03.0,D. Powell enters the game for D. Smith,,55-54,,
9:03.0,J. Barea enters the game for N. Noel,,55-54,,
8:40.0,Turnover by J. Barea (bad pass; steal by R. Rubio),,55-54,,
8:29.0,,,55-54,,D. Favors misses 2-pt shot from 9 ft
8:26.0,Defensive rebound by D. Powell,,55-54,,
8:12.0,D. Powell misses 2-pt shot from 4 ft,,55-54,,
8:10.0,,,55-54,,Defensive rebound by J. Ingles
8:02.0,,,55-56,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Gobert)
8:02.0,,,55-56,,Shooting foul by D. Powell (drawn by D. Favors)
8:02.0,,,55-57,1,D. Favors makes free throw 1 of 1
7:43.0,Turnover by J. Barea (bad pass; steal by R. Gobert),,55-57,,
7:40.0,,,55-57,,Shooting foul by W. Matthews (drawn by R. Hood)
7:40.0,,,55-58,1,R. Hood makes free throw 1 of 2
7:40.0,,,55-59,1,R. Hood makes free throw 2 of 2
7:24.0,H. Barnes makes 2-pt shot from 15 ft,2,57-59,,
7:06.0,,,57-59,,Turnover by D. Favors (bad pass)
7:06.0,D. Harris enters the game for W. Matthews,,57-59,,
6:52.0,D. Harris misses 2-pt shot from 17 ft,,57-59,,
6:49.0,,,57-59,,Defensive rebound by R. Hood
6:49.0,Personal foul by D. Powell (drawn by R. Hood),,57-59,,
6:39.0,,,57-61,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
6:24.0,Offensive foul by D. Nowitzki (drawn by R. Rubio),,57-61,,
6:24.0,Turnover by D. Nowitzki (offensive foul),,57-61,,
6:24.0,S. Mejri enters the game for D. Nowitzki,,57-61,,
6:15.0,,,57-61,,R. Hood misses 2-pt shot from 21 ft
6:14.0,,,57-61,,Offensive rebound by R. Gobert
6:14.0,Personal foul by S. Mejri (drawn by R. Gobert),,57-61,,
6:14.0,,,57-62,1,R. Gobert makes free throw 1 of 2
6:14.0,,,57-62,,R. Gobert misses free throw 2 of 2
6:12.0,Defensive rebound by S. Mejri,,57-62,,
5:52.0,J. Barea misses 3-pt shot from 25 ft,,57-62,,
5:49.0,,,57-62,,Defensive rebound by D. Favors
5:44.0,,,57-62,,R. Hood misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by D. Harris,,57-62,,
5:32.0,D. Harris misses 2-pt shot from 17 ft,,57-62,,
5:29.0,,,57-62,,Defensive rebound by R. Gobert
5:10.0,,,57-65,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Favors)
5:06.0,Dallas full timeout,,57-65,,
5:06.0,,,57-65,,D. Mitchell enters the game for R. Rubio
5:06.0,,,57-65,,J. Johnson enters the game for D. Favors
4:55.0,,,57-65,,Personal foul by D. Mitchell (drawn by D. Powell)
4:55.0,N. Noel enters the game for S. Mejri,,57-65,,
4:44.0,H. Barnes misses 2-pt shot from 10 ft,,57-65,,
4:41.0,Offensive rebound by N. Noel,,57-65,,
4:39.0,N. Noel misses 2-pt shot from 3 ft,,57-65,,
4:39.0,,,57-65,,Defensive rebound by Team
4:39.0,Loose ball foul by N. Noel (drawn by R. Gobert),,57-65,,
4:39.0,,,57-66,1,R. Gobert makes free throw 1 of 2
4:39.0,Y. Ferrell enters the game for J. Barea,,57-66,,
4:39.0,W. Matthews enters the game for H. Barnes,,57-66,,
4:39.0,,,57-67,1,R. Gobert makes free throw 2 of 2
4:19.0,Turnover by W. Matthews (lost ball; steal by J. Ingles),,57-67,,
4:04.0,,,57-69,2,R. Hood makes 2-pt shot from 22 ft (assist by R. Gobert)
3:51.0,D. Harris misses 3-pt shot from 25 ft,,57-69,,
3:47.0,,,57-69,,Defensive rebound by R. Hood
3:39.0,,,57-69,,Offensive foul by R. Hood (drawn by D. Harris)
3:39.0,,,57-69,,Turnover by R. Hood (offensive foul)
3:39.0,,,57-69,,A. Burks enters the game for J. Ingles
3:28.0,W. Matthews misses 2-pt shot from 7 ft,,57-69,,
3:25.0,,,57-69,,Defensive rebound by R. Gobert
3:23.0,,,57-69,,Offensive foul by R. Gobert (drawn by W. Matthews)
3:23.0,,,57-69,,Turnover by R. Gobert (offensive foul)
3:23.0,,,57-69,,T. Sefolosha enters the game for R. Hood
3:15.0,Shooting foul by D. Mitchell (drawn by Y. Ferrell),,57-69,,
3:15.0,Y. Ferrell makes free throw 1 of 2,1,58-69,,
3:15.0,Y. Ferrell makes free throw 2 of 2,1,59-69,,
3:15.0,,,59-69,,Utah full timeout
3:03.0,Violation by N. Noel (kicked ball),,59-69,,
3:03.0,,,59-69,,R. Rubio enters the game for D. Mitchell
2:58.0,Personal foul by D. Harris (drawn by R. Gobert),,59-69,,
2:58.0,,,59-70,1,R. Gobert makes free throw 1 of 2
2:58.0,,,59-70,,R. Gobert misses free throw 2 of 2
2:55.0,Defensive rebound by D. Powell,,59-70,,
2:41.0,D. Harris misses 2-pt shot from 9 ft (block by A. Burks),,59-70,,
2:41.0,Offensive rebound by Team,,59-70,,
2:35.0,D. Powell misses 2-pt shot from 2 ft,,59-70,,
2:33.0,,,59-70,,Defensive rebound by R. Gobert
2:26.0,,,59-70,,Turnover by A. Burks (bad pass; steal by Y. Ferrell)
2:18.0,Y. Ferrell misses 3-pt shot from 25 ft,,59-70,,
2:15.0,Offensive rebound by D. Powell,,59-70,,
2:08.0,W. Matthews makes 2-pt shot from 17 ft,2,61-70,,
1:47.0,,,61-73,3,A. Burks makes 3-pt shot from 24 ft (assist by R. Gobert)
1:33.0,D. Harris makes 3-pt shot from 24 ft (assist by D. Powell),3,64-73,,
1:13.0,,,64-76,3,R. Rubio makes 3-pt shot from 24 ft
0:52.0,Turnover by W. Matthews (bad pass; steal by A. Burks),,64-76,,
0:46.0,,,64-76,,J. Johnson misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by Team,,64-76,,
0:44.0,,,64-76,,E. Udoh enters the game for R. Gobert
0:35.0,D. Harris makes 2-pt shot from 1 ft,2,66-76,,
0:14.0,,,66-76,,Offensive foul by E. Udoh (drawn by W. Matthews)
0:14.0,,,66-76,,Turnover by E. Udoh (offensive foul)
0:14.0,D. Nowitzki enters the game for N. Noel,,66-76,,
0:05.0,Shooting foul by T. Sefolosha (drawn by D. Harris),,66-76,,
0:05.0,D. Harris makes free throw 1 of 2,1,67-76,,
0:05.0,S. Mejri enters the game for D. Powell,,67-76,,
0:05.0,D. Harris makes free throw 2 of 2,1,68-76,,
0:05.0,,,68-76,,J. Ingles enters the game for T. Sefolosha
0:01.0,,,68-76,,Turnover by R. Rubio (lost ball; steal by S. Mejri)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,68-79,3,R. Rubio makes 3-pt shot from 22 ft (assist by E. Udoh)
11:12.0,Turnover by D. Smith (bad pass; steal by E. Udoh),,68-79,,
11:12.0,,,68-79,,D. Favors misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by S. Mejri,,68-79,,
10:59.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Mejri),3,71-79,,
10:42.0,,,71-82,3,A. Burks makes 3-pt shot from 24 ft (assist by R. Rubio)
10:24.0,D. Nowitzki makes 2-pt shot from 13 ft,2,73-82,,
10:07.0,,,73-84,2,D. Favors makes 2-pt shot from 10 ft (assist by R. Rubio)
9:44.0,Turnover by W. Matthews (bad pass; steal by E. Udoh),,73-84,,
9:35.0,,,73-86,2,R. Rubio makes 2-pt shot from 19 ft
9:31.0,Dallas full timeout,,73-86,,
9:31.0,H. Barnes enters the game for S. Mejri,,73-86,,
9:19.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,76-86,,
9:01.0,,,76-86,,D. Favors misses 2-pt shot from 9 ft
8:58.0,,,76-86,,Offensive rebound by E. Udoh
8:57.0,,,76-89,3,R. Rubio makes 3-pt shot from 27 ft (assist by E. Udoh)
8:39.0,H. Barnes misses 3-pt shot from 23 ft,,76-89,,
8:36.0,,,76-89,,Defensive rebound by J. Ingles
8:24.0,,,76-89,,D. Favors misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by D. Nowitzki,,76-89,,
8:15.0,W. Matthews misses 2-pt shot from 2 ft (block by E. Udoh),,76-89,,
8:07.0,Offensive rebound by W. Matthews,,76-89,,
8:03.0,Turnover by J. Barea (lost ball; steal by J. Ingles),,76-89,,
7:57.0,,,76-89,,R. Rubio misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by H. Barnes,,76-89,,
7:40.0,D. Nowitzki makes 2-pt shot from 1 ft,2,78-89,,
7:40.0,Shooting foul by A. Burks (drawn by D. Nowitzki),,78-89,,
7:40.0,,,78-89,,R. Hood enters the game for A. Burks
7:40.0,,,78-89,,R. Gobert enters the game for E. Udoh
7:40.0,D. Harris enters the game for D. Smith,,78-89,,
7:40.0,Y. Ferrell enters the game for J. Barea,,78-89,,
7:40.0,N. Noel enters the game for W. Matthews,,78-89,,
7:40.0,D. Nowitzki misses free throw 1 of 1,,78-89,,
7:37.0,,,78-89,,Defensive rebound by D. Favors
7:19.0,Loose ball foul by D. Harris (drawn by R. Gobert),,78-89,,
7:18.0,,,78-89,,D. Favors misses 2-pt shot from 9 ft
7:18.0,,,78-89,,Offensive rebound by Team
7:12.0,,,78-89,,Turnover by R. Rubio (bad pass; steal by Y. Ferrell)
7:07.0,D. Harris makes 2-pt shot from 2 ft (assist by N. Noel),2,80-89,,
6:50.0,,,80-89,,R. Rubio misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by D. Nowitzki,,80-89,,
6:31.0,Y. Ferrell makes 2-pt shot from 20 ft (assist by D. Nowitzki),2,82-89,,
6:29.0,,,82-89,,Utah full timeout
6:29.0,,,82-89,,T. Sefolosha enters the game for R. Rubio
6:29.0,,,82-89,,D. Mitchell enters the game for D. Favors
6:14.0,,,82-89,,R. Hood misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by D. Nowitzki,,82-89,,
5:59.0,N. Noel makes 2-pt shot from 7 ft (assist by D. Harris),2,84-89,,
5:44.0,,,84-89,,Turnover by J. Ingles (step out of bounds)
5:25.0,Turnover by D. Nowitzki (lost ball; steal by T. Sefolosha),,84-89,,
5:16.0,,,84-89,,J. Ingles misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by H. Barnes,,84-89,,
5:02.0,Turnover by Y. Ferrell (bad pass; steal by D. Mitchell),,84-89,,
4:57.0,,,84-91,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Mitchell)
4:38.0,D. Harris misses 3-pt shot from 25 ft,,84-91,,
4:36.0,,,84-91,,Defensive rebound by J. Ingles
4:22.0,,,84-91,,Shooting foul by D. Nowitzki (drawn by R. Gobert)
4:22.0,,,84-91,,R. Gobert misses free throw 1 of 2
4:22.0,,,84-91,,Offensive rebound by Team
4:22.0,D. Smith enters the game for Y. Ferrell,,84-91,,
4:22.0,J. Barea enters the game for D. Harris,,84-91,,
4:22.0,,,84-92,1,R. Gobert makes free throw 2 of 2
4:21.0,,,84-92,,T. Sefolosha misses 2-pt shot from 21 ft
4:21.0,,,84-92,,Offensive rebound by R. Gobert
4:07.0,Turnover by H. Barnes (bad pass),,84-92,,
3:53.0,,,84-94,2,R. Hood makes 2-pt shot from 11 ft
3:53.0,Dallas full timeout,,84-94,,
3:53.0,W. Matthews enters the game for D. Nowitzki,,84-94,,
3:40.0,W. Matthews misses 2-pt shot from 13 ft,,84-94,,
3:36.0,,,84-94,,Defensive rebound by J. Ingles
3:24.0,,,84-97,3,D. Mitchell makes 3-pt shot from 22 ft (assist by J. Ingles)
3:05.0,Offensive foul by N. Noel (drawn by R. Hood),,84-97,,
3:05.0,Turnover by N. Noel (offensive foul),,84-97,,
3:05.0,D. Powell enters the game for N. Noel,,84-97,,
2:57.0,,,84-100,3,R. Hood makes 3-pt shot from 26 ft
2:54.0,Dallas full timeout,,84-100,,
2:54.0,,,84-100,,R. Rubio enters the game for D. Mitchell
2:47.0,D. Smith misses 2-pt shot from 2 ft (block by R. Gobert),,84-100,,
2:44.0,,,84-100,,Defensive rebound by R. Rubio
2:30.0,,,84-100,,Turnover by R. Gobert (out of bounds lost ball)
2:30.0,Y. Ferrell enters the game for D. Smith,,84-100,,
2:30.0,G. Clavell enters the game for J. Barea,,84-100,,
2:18.0,H. Barnes misses 2-pt shot from 16 ft,,84-100,,
2:16.0,,,84-100,,Defensive rebound by R. Gobert
2:10.0,Personal foul by Y. Ferrell (drawn by R. Rubio),,84-100,,
2:10.0,,,84-100,,R. Neto enters the game for J. Ingles
2:10.0,,,84-100,,J. Jerebko enters the game for R. Rubio
2:10.0,,,84-100,,R. O'Neale enters the game for R. Hood
2:10.0,,,84-100,,E. Udoh enters the game for R. Gobert
2:10.0,M. Kleber enters the game for W. Matthews,,84-100,,
2:10.0,J. Withey enters the game for H. Barnes,,84-100,,
2:01.0,,,84-100,,J. Jerebko misses 2-pt shot from 10 ft
