time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (R. Westbrook gains possession)
11:45.0,,,0-2,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
11:24.0,S. Curry misses 3-pt shot from 24 ft,,0-2,,
11:21.0,Offensive rebound by K. Thompson,,0-2,,
11:17.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,3-2,,
10:54.0,,,3-2,,S. Adams misses 2-pt shot from 8 ft
10:52.0,Defensive rebound by K. Durant,,3-2,,
10:47.0,K. Durant misses 2-pt shot from 15 ft,,3-2,,
10:42.0,Offensive rebound by Z. Pachulia,,3-2,,
10:42.0,Z. Pachulia misses 2-pt shot at rim,,3-2,,
10:42.0,Offensive rebound by Team,,3-2,,
10:32.0,K. Thompson makes 3-pt shot from 32 ft (assist by D. Green),3,6-2,,
10:10.0,,,6-4,2,R. Westbrook makes 2-pt shot from 19 ft (assist by A. Roberson)
9:53.0,K. Thompson misses 2-pt shot from 8 ft,,6-4,,
9:51.0,,,6-4,,Defensive rebound by S. Adams
9:41.0,,,6-4,,R. Westbrook misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by K. Thompson,,6-4,,
9:23.0,D. Green misses 3-pt shot from 26 ft,,6-4,,
9:21.0,,,6-4,,Defensive rebound by C. Anthony
9:13.0,,,6-4,,C. Anthony misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by Z. Pachulia,,6-4,,
9:05.0,K. Thompson misses 3-pt shot from 23 ft,,6-4,,
9:03.0,,,6-4,,Defensive rebound by Team
8:52.0,,,6-4,,P. George misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by K. Durant,,6-4,,
8:39.0,Turnover by K. Thompson (bad pass; steal by S. Adams),,6-4,,
8:35.0,,,6-4,,Turnover by S. Adams (bad pass; steal by S. Curry)
8:32.0,S. Curry misses 2-pt shot from 16 ft,,6-4,,
8:30.0,,,6-4,,Defensive rebound by S. Adams
8:23.0,,,6-4,,S. Adams misses 2-pt shot from 8 ft
8:19.0,,,6-4,,Offensive rebound by S. Adams
8:19.0,,,6-4,,Shooting foul by K. Durant (drawn by S. Adams)
8:19.0,,,6-4,,S. Adams misses free throw 1 of 2
8:19.0,,,6-4,,Offensive rebound by Team
8:19.0,,,6-4,,S. Adams misses free throw 2 of 2
8:19.0,Violation by K. Durant (lane),,6-4,,
8:17.0,Offensive rebound by D. Green,,6-4,,
7:55.0,Turnover by K. Durant (bad pass; steal by S. Adams),,6-4,,
7:45.0,,,6-4,,S. Adams misses 2-pt shot from 8 ft (block by K. Thompson)
7:44.0,,,6-4,,Offensive rebound by R. Westbrook
7:35.0,,,6-4,,Turnover by R. Westbrook (lost ball; steal by D. Green)
7:33.0,Shooting foul by C. Anthony (drawn by D. Green),,6-4,,
7:33.0,D. Green makes free throw 1 of 2,1,7-4,,
7:33.0,,,7-4,,J. Grant enters the game for S. Adams
7:33.0,D. Green makes free throw 2 of 2,1,8-4,,
7:23.0,,,8-6,2,R. Westbrook makes 2-pt shot from 17 ft
7:10.0,Turnover by K. Durant (bad pass; steal by A. Roberson),,8-6,,
7:06.0,,,8-8,2,P. George makes 2-pt shot at rim (assist by A. Roberson)
7:04.0,Golden State full timeout,,8-8,,
6:55.0,D. Green misses 2-pt shot from 6 ft,,8-8,,
6:53.0,,,8-8,,Defensive rebound by R. Westbrook
6:51.0,,,8-8,,Shooting foul by K. Thompson (drawn by A. Roberson)
6:51.0,,,8-8,,A. Roberson misses free throw 1 of 2
6:51.0,,,8-8,,Offensive rebound by Team
6:51.0,K. Looney enters the game for Z. Pachulia,,8-8,,
6:51.0,,,8-8,,A. Roberson misses free throw 2 of 2
6:49.0,Defensive rebound by K. Durant,,8-8,,
6:42.0,K. Durant misses 2-pt shot from 1 ft (block by J. Grant),,8-8,,
6:39.0,,,8-8,,Defensive rebound by R. Westbrook
6:37.0,,,8-11,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:31.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,11-11,,
6:07.0,,,11-11,,R. Westbrook misses 2-pt shot from 14 ft
6:04.0,Defensive rebound by S. Curry,,11-11,,
6:00.0,Turnover by S. Curry (bad pass; steal by P. George),,11-11,,
