time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (R. Jackson gains possession)
11:38.0,,,0-0,,S. Johnson misses 2-pt shot from 7 ft (block by R. Lopez)
11:34.0,Defensive rebound by R. Lopez,,0-0,,
11:17.0,C. Payne misses 3-pt shot from 28 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by A. Drummond
11:05.0,,,0-3,3,R. Jackson makes 3-pt shot from 26 ft (assist by B. Griffin)
10:43.0,J. Holiday misses 3-pt shot from 23 ft,,0-3,,
10:40.0,,,0-3,,Defensive rebound by S. Johnson
10:37.0,,,0-3,,R. Bullock misses 3-pt shot from 25 ft
10:31.0,,,0-3,,Offensive rebound by A. Drummond
10:15.0,,,0-3,,R. Bullock misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by N. Vonleh,,0-3,,
9:58.0,R. Lopez misses 2-pt shot from 5 ft (block by A. Drummond),,0-3,,
9:54.0,Offensive rebound by R. Lopez,,0-3,,
9:52.0,Turnover by R. Lopez (lost ball; steal by A. Drummond),,0-3,,
9:48.0,,,0-6,3,B. Griffin makes 3-pt shot from 22 ft (assist by R. Jackson)
9:37.0,C. Payne makes 2-pt shot from 15 ft,2,2-6,,
9:24.0,,,2-6,,R. Jackson misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by J. Holiday,,2-6,,
9:06.0,R. Lopez misses 2-pt shot from 7 ft,,2-6,,
9:01.0,,,2-6,,Defensive rebound by A. Drummond
8:52.0,,,2-6,,Turnover by B. Griffin (lost ball; steal by N. Vonleh)
8:52.0,,,2-6,,Personal foul by B. Griffin (drawn by N. Vonleh)
8:41.0,N. Vonleh misses 3-pt shot from 27 ft,,2-6,,
8:38.0,,,2-6,,Defensive rebound by R. Jackson
8:34.0,,,2-6,,Turnover by R. Jackson (bad pass; steal by N. Vonleh)
8:26.0,J. Holiday misses 3-pt shot from 23 ft,,2-6,,
8:23.0,,,2-6,,Defensive rebound by A. Drummond
8:09.0,,,2-9,3,R. Jackson makes 3-pt shot from 23 ft (assist by B. Griffin)
7:58.0,C. Payne misses 2-pt shot from 7 ft (block by A. Drummond),,2-9,,
7:58.0,Offensive rebound by Team,,2-9,,
7:56.0,D. Valentine misses 2-pt shot from 6 ft,,2-9,,
7:50.0,,,2-9,,Defensive rebound by B. Griffin
