time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Gasol (J. Green gains possession),,,,Jump ball: K. Koufos vs. M. Gasol (J. Green gains possession)
11:39.0,Turnover by J. Green (lost ball; steal by K. Koufos),,0-0,,
11:25.0,,,0-0,,K. Koufos misses 2-pt shot from 8 ft (block by M. Gasol)
11:21.0,Defensive rebound by A. Harrison,,0-0,,
11:19.0,T. Evans misses 2-pt shot at rim (block by G. Temple),,0-0,,
11:16.0,,,0-0,,Defensive rebound by Z. Randolph
11:12.0,,,0-0,,G. Temple misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by D. Brooks,,0-0,,
10:53.0,D. Brooks misses 2-pt shot from 6 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by B. Bogdanovic
10:41.0,,,0-0,,Z. Randolph misses 2-pt shot from 16 ft (block by M. Gasol)
10:38.0,,,0-0,,Offensive rebound by Z. Randolph
10:35.0,,,0-0,,Z. Randolph misses 2-pt shot from 9 ft
10:32.0,,,0-0,,Offensive rebound by K. Koufos
10:31.0,,,0-0,,Turnover by K. Koufos (bad pass; steal by T. Evans)
10:27.0,A. Harrison misses 3-pt shot from 25 ft,,0-0,,
10:24.0,,,0-0,,Defensive rebound by K. Koufos
10:14.0,,,0-3,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by G. Temple)
10:02.0,T. Evans makes 3-pt shot from 25 ft,3,3-3,,
9:54.0,,,3-5,2,G. Hill makes 2-pt shot from 2 ft
9:43.0,T. Evans misses 2-pt shot from 3 ft,,3-5,,
9:41.0,,,3-5,,Defensive rebound by K. Koufos
9:32.0,,,3-5,,B. Bogdanovic misses 2-pt shot from 1 ft (block by M. Gasol)
9:32.0,,,3-5,,Offensive rebound by Team
9:20.0,,,3-5,,B. Bogdanovic misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by A. Harrison,,3-5,,
9:11.0,A. Harrison makes 2-pt shot from 3 ft,2,5-5,,
8:48.0,,,5-5,,K. Koufos misses 2-pt shot from 6 ft
8:46.0,Defensive rebound by J. Green,,5-5,,
8:36.0,M. Gasol misses 3-pt shot from 25 ft,,5-5,,
8:33.0,,,5-5,,Defensive rebound by B. Bogdanovic
8:13.0,,,5-5,,G. Hill misses 2-pt shot from 14 ft
8:10.0,Defensive rebound by M. Gasol,,5-5,,
8:01.0,J. Green misses 3-pt shot from 22 ft,,5-5,,
7:59.0,,,5-5,,Defensive rebound by G. Hill
7:56.0,,,5-5,,Turnover by G. Hill (out of bounds lost ball)
7:38.0,M. Gasol makes 2-pt shot from 15 ft,2,7-5,,
7:19.0,,,7-5,,G. Hill misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by T. Evans,,7-5,,
7:05.0,T. Evans misses 3-pt shot from 23 ft,,7-5,,
7:03.0,,,7-5,,Defensive rebound by Z. Randolph
6:56.0,,,7-5,,Turnover by B. Bogdanovic (bad pass; steal by A. Harrison)
6:51.0,Memphis full timeout,,7-5,,
6:51.0,J. Martin enters the game for D. Brooks,,7-5,,
6:51.0,J. Ennis enters the game for J. Green,,7-5,,
6:51.0,K. Simmons enters the game for A. Harrison,,7-5,,
6:36.0,J. Martin makes 2-pt shot from 19 ft (assist by T. Evans),2,9-5,,
6:14.0,,,9-5,,Shooting foul by J. Martin (drawn by K. Koufos)
6:14.0,,,9-5,,K. Koufos misses free throw 1 of 2
6:14.0,,,9-5,,Offensive rebound by Team
6:14.0,,,9-5,,K. Koufos misses free throw 2 of 2
6:11.0,Defensive rebound by J. Martin,,9-5,,
5:49.0,T. Evans makes 3-pt shot from 25 ft,3,12-5,,
5:31.0,,,12-7,2,Z. Randolph makes 2-pt shot from 1 ft
5:22.0,M. Gasol makes 3-pt shot from 26 ft (assist by T. Evans),3,15-7,,
5:00.0,,,15-7,,Z. Randolph misses 2-pt shot from 5 ft (block by M. Gasol)
4:56.0,,,15-7,,Offensive rebound by G. Temple
4:56.0,,,15-7,,G. Temple misses 2-pt shot from 10 ft
4:56.0,Defensive rebound by Team,,15-7,,
4:56.0,,,15-7,,Loose ball foul by K. Koufos (drawn by M. Gasol)
4:56.0,,,15-7,,F. Mason enters the game for G. Hill
4:56.0,,,15-7,,W. Cauley-Stein enters the game for K. Koufos
4:56.0,M. Chalmers enters the game for T. Evans,,15-7,,
4:33.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Chalmers),2,17-7,,
4:17.0,,,17-9,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
3:55.0,Shooting foul by F. Mason (drawn by K. Simmons),,17-9,,
3:55.0,K. Simmons makes free throw 1 of 2,1,18-9,,
3:55.0,,,18-9,,B. Hield enters the game for G. Temple
3:55.0,K. Simmons makes free throw 2 of 2,1,19-9,,
3:38.0,,,19-9,,W. Cauley-Stein misses 2-pt shot from 4 ft (block by J. Martin)
3:36.0,,,19-9,,Offensive rebound by W. Cauley-Stein
3:36.0,,,19-11,2,F. Mason makes 2-pt shot from 1 ft
3:36.0,,,19-11,,Shooting foul by M. Chalmers (drawn by F. Mason)
3:36.0,W. Selden enters the game for K. Simmons,,19-11,,
