time,LA Lakers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Collins vs. B. Lopez (K. Bazemore gains possession),,,,Jump ball: J. Collins vs. B. Lopez (K. Bazemore gains possession)
11:56.0,,,0-0,,K. Bazemore misses 2-pt shot from 3 ft (block by B. Ingram)
11:56.0,,,0-0,,Offensive rebound by Team
11:54.0,,,0-0,,T. Waller-Prince misses 2-pt shot from 9 ft
11:50.0,Defensive rebound by J. Randle,,0-0,,
11:34.0,Offensive charge foul by J. Hart (drawn by D. Schroder),,0-0,,
11:34.0,Turnover by J. Hart (offensive foul),,0-0,,
11:18.0,,,0-0,,Turnover by K. Bazemore (lost ball; steal by J. Randle)
11:13.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,2-0,,
11:01.0,,,2-0,,T. Waller-Prince misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
10:50.0,B. Ingram misses 2-pt shot from 5 ft,,2-0,,
10:44.0,Offensive rebound by B. Ingram,,2-0,,
10:44.0,B. Ingram makes 2-pt shot at rim,2,4-0,,
10:34.0,,,4-0,,D. Schroder misses 2-pt shot from 18 ft
10:30.0,,,4-0,,Offensive rebound by D. Dedmon
10:24.0,,,4-0,,T. Waller-Prince misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by B. Ingram,,4-0,,
10:10.0,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram),3,7-0,,
9:53.0,,,7-0,,D. Dedmon misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by K. Caldwell-Pope,,7-0,,
9:45.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Dedmon),,7-0,,
9:40.0,,,7-2,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore)
9:16.0,Turnover by J. Randle (bad pass; steal by D. Schroder),,7-2,,
9:12.0,,,7-2,,Shooting foul by J. Hart (drawn by T. Waller-Prince)
9:12.0,,,7-2,,T. Waller-Prince misses free throw 1 of 2
9:12.0,,,7-2,,Offensive rebound by Team
9:12.0,,,7-3,1,T. Waller-Prince makes free throw 2 of 2
9:02.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,7-3,,
8:58.0,,,7-3,,Defensive rebound by D. Dedmon
8:52.0,,,7-5,2,K. Bazemore makes 2-pt shot from 1 ft
8:42.0,B. Ingram misses 2-pt shot from 10 ft,,7-5,,
8:39.0,Offensive rebound by B. Ingram,,7-5,,
8:38.0,B. Ingram makes 2-pt shot from 1 ft,2,9-5,,
8:19.0,,,9-5,,Turnover by D. Schroder (bad pass; steal by K. Caldwell-Pope)
8:11.0,J. Randle makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,11-5,,
8:10.0,,,11-5,,Atlanta full timeout
7:59.0,,,11-8,3,D. Dedmon makes 3-pt shot from 22 ft (assist by K. Bazemore)
7:41.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,11-8,,
7:38.0,,,11-8,,Defensive rebound by K. Bazemore
7:32.0,,,11-10,2,K. Bazemore makes 2-pt shot from 2 ft
7:19.0,Turnover by B. Lopez (bad pass; steal by J. Collins),,11-10,,
7:13.0,Personal block foul by K. Caldwell-Pope (drawn by T. Waller-Prince),,11-10,,
7:13.0,I. Thomas enters the game for J. Hart,,11-10,,
7:07.0,,,11-10,,D. Dedmon misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by K. Caldwell-Pope,,11-10,,
6:56.0,J. Randle misses 2-pt shot from 2 ft (block by K. Bazemore),,11-10,,
6:52.0,,,11-10,,Defensive rebound by D. Schroder
6:48.0,,,11-10,,D. Schroder misses 2-pt shot from 12 ft
6:45.0,Defensive rebound by K. Caldwell-Pope,,11-10,,
6:40.0,J. Randle makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,13-10,,
6:22.0,,,13-12,2,T. Waller-Prince makes 2-pt shot from 5 ft
6:14.0,I. Thomas misses 3-pt shot from 25 ft,,13-12,,
6:11.0,,,13-12,,Defensive rebound by J. Collins
5:55.0,,,13-12,,D. Dedmon misses 2-pt shot from 12 ft (block by B. Lopez)
