time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Howard (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. D. Howard (B. Simmons gains possession)
11:53.0,,,0-0,,R. Covington misses 3-pt shot from 23 ft
11:47.0,,,0-0,,Offensive rebound by J. Embiid
11:47.0,,,0-0,,J. Embiid misses 2-pt shot at rim
11:46.0,Defensive rebound by D. Howard,,0-0,,
11:34.0,M. Williams makes 2-pt shot from 3 ft,2,2-0,,
11:18.0,,,2-0,,D. Saric misses 2-pt shot from 6 ft
11:15.0,Defensive rebound by K. Walker,,2-0,,
11:08.0,D. Howard misses 2-pt shot from 2 ft (block by J. Embiid),,2-0,,
11:08.0,Offensive rebound by Team,,2-0,,
11:07.0,M. Williams misses 3-pt shot from 26 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by J. Embiid
11:00.0,,,2-0,,R. Covington misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by D. Howard,,2-0,,
10:44.0,D. Howard misses 2-pt shot from 19 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by D. Saric
10:34.0,,,2-2,2,J. Embiid makes 2-pt shot from 10 ft (assist by B. Simmons)
10:07.0,J. Lamb misses 3-pt shot from 25 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by J. Redick
9:59.0,,,2-5,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
9:45.0,Turnover by K. Walker (bad pass; steal by B. Simmons),,2-5,,
9:33.0,,,2-5,,J. Redick misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by J. Lamb,,2-5,,
9:28.0,Charlotte full timeout,,2-5,,
9:17.0,D. Howard makes 2-pt shot from 9 ft (assist by J. Lamb),2,4-5,,
8:59.0,,,4-5,,J. Embiid misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by M. Williams,,4-5,,
8:45.0,D. Howard makes 2-pt shot from 2 ft,2,6-5,,
8:35.0,,,6-7,2,J. Redick makes 2-pt shot at rim (assist by D. Saric)
8:24.0,K. Walker misses 3-pt shot from 27 ft,,6-7,,
8:20.0,,,6-7,,Defensive rebound by J. Embiid
8:14.0,,,6-7,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Simmons)
8:14.0,,,6-7,,B. Simmons misses free throw 1 of 2
8:14.0,,,6-7,,Offensive rebound by Team
8:14.0,,,6-8,1,B. Simmons makes free throw 2 of 2
7:53.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,8-8,,
7:34.0,,,8-8,,D. Saric misses 3-pt shot from 27 ft
7:31.0,Defensive rebound by J. Lamb,,8-8,,
7:14.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,8-8,,
7:11.0,,,8-8,,Defensive rebound by J. Embiid
7:04.0,Personal foul by D. Howard (drawn by J. Embiid),,8-8,,
7:04.0,,,8-8,,M. Belinelli enters the game for J. Embiid
7:04.0,,,8-8,,A. Johnson enters the game for J. Redick
