time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: A. Baynes vs. J. Embiid (B. Simmons gains possession)
11:45.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:43.0,Offensive rebound by D. Saric,,0-0,,
11:42.0,D. Saric makes 2-pt shot at rim,2,2-0,,
11:19.0,,,2-3,3,T. Rozier makes 3-pt shot from 26 ft
11:09.0,J. Embiid makes 3-pt shot from 25 ft (assist by D. Saric),3,5-3,,
10:46.0,,,5-3,,J. Tatum misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by D. Saric,,5-3,,
10:34.0,J. Embiid misses 3-pt shot from 25 ft,,5-3,,
10:31.0,Offensive rebound by D. Saric,,5-3,,
10:21.0,J. Embiid misses 2-pt shot from 9 ft,,5-3,,
10:17.0,,,5-3,,Defensive rebound by A. Horford
10:11.0,,,5-3,,M. Smart misses 3-pt shot from 27 ft
10:05.0,Defensive rebound by J. Embiid,,5-3,,
9:58.0,D. Saric misses 2-pt shot from 16 ft,,5-3,,
9:56.0,,,5-3,,Defensive rebound by T. Rozier
9:44.0,,,5-3,,T. Rozier misses 2-pt shot from 11 ft
9:41.0,Defensive rebound by D. Saric,,5-3,,
9:27.0,D. Saric misses 3-pt shot from 26 ft,,5-3,,
9:23.0,,,5-3,,Defensive rebound by A. Baynes
9:19.0,,,5-3,,Turnover by T. Rozier (lost ball; steal by J. Embiid)
9:11.0,J. Redick misses 2-pt shot from 1 ft (block by T. Rozier),,5-3,,
9:10.0,Offensive rebound by J. Redick,,5-3,,
9:09.0,J. Redick makes 2-pt shot from 1 ft,2,7-3,,
8:49.0,,,7-5,2,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart)
8:49.0,,,7-5,,Shooting foul by R. Covington (drawn by J. Tatum)
8:49.0,,,7-6,1,J. Tatum makes free throw 1 of 1
8:37.0,J. Redick misses 3-pt shot from 24 ft,,7-6,,
8:35.0,Offensive rebound by Team,,7-6,,
8:29.0,B. Simmons misses 2-pt shot from 6 ft,,7-6,,
8:25.0,,,7-6,,Defensive rebound by T. Rozier
8:18.0,,,7-6,,Turnover by M. Smart (bad pass; steal by B. Simmons)
8:12.0,R. Covington misses 3-pt shot from 23 ft,,7-6,,
8:10.0,,,7-6,,Defensive rebound by A. Baynes
7:58.0,,,7-6,,J. Tatum misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by J. Embiid,,7-6,,
7:43.0,D. Saric makes 2-pt shot from 9 ft (assist by J. Embiid),2,9-6,,
