time,Indiana,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Sabonis (A. Roberson gains possession),,,,Jump ball: S. Adams vs. D. Sabonis (A. Roberson gains possession)
11:46.0,,,0-0,,C. Anthony misses 2-pt shot from 12 ft
11:42.0,,,0-0,,Offensive rebound by S. Adams
11:40.0,,,0-0,,Turnover by S. Adams (out of bounds lost ball)
11:30.0,V. Oladipo misses 2-pt shot from 23 ft,,0-0,,
11:28.0,Offensive rebound by D. Sabonis,,0-0,,
11:26.0,D. Collison makes 3-pt shot from 23 ft (assist by D. Sabonis),3,3-0,,
11:03.0,,,3-0,,A. Roberson misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by D. Sabonis,,3-0,,
10:42.0,Turnover by D. Sabonis (lost ball; steal by R. Westbrook),,3-0,,
10:39.0,,,3-2,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
10:31.0,V. Oladipo makes 2-pt shot from 1 ft,2,5-2,,
10:21.0,,,5-2,,Shooting foul by D. Collison (drawn by R. Westbrook)
10:21.0,,,5-2,,R. Westbrook misses free throw 1 of 2
10:21.0,,,5-2,,Offensive rebound by Team
10:21.0,,,5-3,1,R. Westbrook makes free throw 2 of 2
10:05.0,B. Bogdanovic misses 3-pt shot from 24 ft,,5-3,,
10:03.0,,,5-3,,Defensive rebound by C. Anthony
9:46.0,,,5-3,,Turnover by C. Anthony (bad pass; steal by B. Bogdanovic)
9:42.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by C. Anthony),,5-3,,
9:42.0,Offensive rebound by Team,,5-3,,
9:38.0,,,5-3,,Personal foul by P. George (drawn by B. Bogdanovic)
9:27.0,Turnover by T. Young (lost ball; steal by S. Adams),,5-3,,
9:09.0,,,5-3,,Violation by S. Adams (def goaltending)
9:06.0,D. Sabonis misses 2-pt shot from 18 ft,,5-3,,
9:04.0,,,5-3,,Defensive rebound by R. Westbrook
9:02.0,Personal foul by D. Sabonis (drawn by S. Adams),,5-3,,
8:54.0,,,5-5,2,P. George makes 2-pt shot from 11 ft
