time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Embiid (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. J. Embiid (G. Antetokounmpo gains possession)
11:38.0,,,0-0,,J. Henson misses 2-pt shot from 2 ft (block by R. Covington)
11:34.0,Defensive rebound by J. Embiid,,0-0,,
11:21.0,J. Embiid makes 2-pt shot from 1 ft,2,2-0,,
11:14.0,,,2-0,,Turnover by E. Bledsoe (bad pass; steal by R. Covington)
11:09.0,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons),3,5-0,,
10:49.0,,,5-0,,E. Bledsoe misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by D. Saric,,5-0,,
10:41.0,J. Redick makes 2-pt shot from 1 ft (assist by B. Simmons),2,7-0,,
10:30.0,,,7-0,,E. Bledsoe misses 2-pt shot from 5 ft
10:28.0,Defensive rebound by J. Embiid,,7-0,,
10:23.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons),3,10-0,,
10:22.0,,,10-0,,Milwaukee full timeout
10:04.0,,,10-2,2,K. Middleton makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
9:52.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,12-2,,
9:30.0,,,12-4,2,G. Antetokounmpo makes 2-pt shot from 12 ft
9:18.0,B. Simmons makes 2-pt shot from 14 ft (assist by J. Embiid),2,14-4,,
9:12.0,Personal foul by R. Covington (drawn by K. Middleton),,14-4,,
9:04.0,,,14-6,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by K. Middleton)
8:57.0,Turnover by J. Embiid (lost ball; steal by J. Henson),,14-6,,
8:53.0,,,14-6,,Shooting foul by J. Redick (drawn by E. Bledsoe)
8:53.0,,,14-7,1,E. Bledsoe makes free throw 1 of 2
8:53.0,,,14-8,1,E. Bledsoe makes free throw 2 of 2
8:41.0,J. Embiid makes 2-pt shot from 1 ft (assist by R. Covington),2,16-8,,
8:28.0,,,16-10,2,E. Bledsoe makes 2-pt shot from 2 ft
8:12.0,,,16-10,,Personal foul by J. Henson (drawn by J. Embiid)
8:12.0,,,16-10,,T. Zeller enters the game for J. Henson
8:07.0,Turnover by B. Simmons (bad pass; steal by G. Antetokounmpo),,16-10,,
7:58.0,,,16-12,2,G. Antetokounmpo makes 2-pt shot from 3 ft
7:48.0,D. Saric makes 2-pt shot from 11 ft,2,18-12,,
7:33.0,,,18-12,,K. Middleton misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by J. Embiid,,18-12,,
7:28.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,20-12,,
7:28.0,Shooting foul by T. Snell (drawn by D. Saric),,20-12,,
7:28.0,M. Belinelli enters the game for J. Redick,,20-12,,
7:28.0,D. Saric makes free throw 1 of 1,1,21-12,,
7:18.0,,,21-12,,E. Bledsoe misses 2-pt shot from 10 ft
7:16.0,Defensive rebound by J. Embiid,,21-12,,
6:57.0,J. Embiid makes 2-pt shot from 12 ft,2,23-12,,
6:34.0,,,23-12,,G. Antetokounmpo misses 2-pt shot from 8 ft
6:32.0,Defensive rebound by R. Covington,,23-12,,
6:24.0,J. Embiid misses 3-pt shot from 27 ft,,23-12,,
6:20.0,,,23-12,,Defensive rebound by E. Bledsoe
6:18.0,,,23-14,2,T. Zeller makes 2-pt shot at rim (assist by E. Bledsoe)
6:18.0,Philadelphia full timeout,,23-14,,
6:18.0,,,23-14,,J. Parker enters the game for T. Snell
