time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Baynes (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. A. Baynes (T. Satoransky gains possession)
11:48.0,,,0-0,,Turnover by O. Porter (lost ball; steal by J. Tatum)
11:45.0,J. Tatum makes 2-pt shot from 1 ft (assist by K. Irving),2,2-0,,
11:25.0,,,2-0,,T. Satoransky misses 2-pt shot from 13 ft
11:24.0,Defensive rebound by A. Baynes,,2-0,,
11:09.0,Turnover by J. Brown (bad pass),,2-0,,
10:53.0,,,2-2,2,B. Beal makes 2-pt shot from 1 ft
10:32.0,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford),3,5-2,,
10:16.0,,,5-4,2,O. Porter makes 2-pt shot from 15 ft (assist by T. Satoransky)
10:08.0,Turnover by K. Irving (bad pass),,5-4,,
9:49.0,,,5-7,3,B. Beal makes 3-pt shot from 27 ft (assist by M. Morris)
9:33.0,A. Horford makes 2-pt shot from 7 ft,2,7-7,,
9:09.0,,,7-7,,M. Morris misses 3-pt shot from 25 ft
9:06.0,,,7-7,,Offensive rebound by M. Gortat
9:02.0,,,7-10,3,M. Morris makes 3-pt shot from 27 ft (assist by M. Gortat)
8:49.0,J. Tatum misses 2-pt shot from 17 ft,,7-10,,
8:47.0,Offensive rebound by A. Baynes,,7-10,,
8:40.0,Shooting foul by O. Porter (drawn by A. Horford),,7-10,,
8:40.0,A. Horford misses free throw 1 of 2,,7-10,,
8:40.0,Offensive rebound by Team,,7-10,,
8:40.0,A. Horford makes free throw 2 of 2,1,8-10,,
8:28.0,,,8-10,,B. Beal misses 2-pt shot from 17 ft
8:24.0,Defensive rebound by A. Horford,,8-10,,
8:20.0,J. Brown misses 3-pt shot from 24 ft,,8-10,,
8:18.0,,,8-10,,Defensive rebound by M. Morris
8:12.0,,,8-10,,B. Beal misses 3-pt shot from 25 ft
8:08.0,,,8-10,,Offensive rebound by M. Gortat
8:04.0,,,8-10,,M. Gortat misses 2-pt shot from 9 ft
8:02.0,Defensive rebound by K. Irving,,8-10,,
7:58.0,K. Irving misses 2-pt shot from 4 ft,,8-10,,
7:55.0,,,8-10,,Defensive rebound by O. Porter
7:41.0,,,8-10,,Turnover by M. Gortat (bad pass; steal by K. Irving)
7:28.0,J. Tatum misses 3-pt shot from 24 ft,,8-10,,
7:24.0,,,8-10,,Defensive rebound by M. Gortat
7:07.0,,,8-10,,Turnover by M. Gortat (lost ball; steal by A. Horford)
7:02.0,J. Tatum makes 2-pt shot from 3 ft (assist by A. Horford),2,10-10,,
6:36.0,,,10-10,,Turnover by Team (shot clock)
6:36.0,,,10-10,,Washington full timeout
6:15.0,K. Irving makes 2-pt shot from 16 ft,2,12-10,,
5:57.0,,,12-12,2,T. Satoransky makes 2-pt shot from 8 ft
5:40.0,K. Irving makes 2-pt shot from 14 ft,2,14-12,,
5:26.0,Personal foul by J. Brown (drawn by B. Beal),,14-12,,
5:26.0,M. Morris enters the game for A. Baynes,,14-12,,
5:26.0,T. Rozier enters the game for J. Brown,,14-12,,
5:15.0,,,14-12,,Shooting foul by J. Tatum (drawn by O. Porter)
5:15.0,,,14-13,1,O. Porter makes free throw 1 of 2
5:15.0,,,14-14,1,O. Porter makes free throw 2 of 2
4:56.0,K. Irving makes 2-pt shot from 4 ft,2,16-14,,
4:46.0,,,16-17,3,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat)
4:27.0,K. Irving misses 3-pt shot from 25 ft,,16-17,,
4:25.0,,,16-17,,Defensive rebound by M. Morris
4:21.0,,,16-19,2,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Morris)
3:56.0,Boston full timeout,,16-19,,
3:56.0,,,16-19,,K. Oubre enters the game for M. Morris
3:55.0,M. Morris misses 2-pt shot from 2 ft,,16-19,,
3:53.0,,,16-19,,Defensive rebound by O. Porter
3:48.0,,,16-19,,T. Satoransky misses 2-pt shot from 13 ft
3:48.0,Defensive rebound by M. Morris,,16-19,,
3:32.0,T. Rozier makes 2-pt shot from 1 ft,2,18-19,,
3:15.0,,,18-19,,B. Beal misses 2-pt shot from 8 ft (block by A. Horford)
3:15.0,,,18-19,,Offensive rebound by M. Gortat
3:15.0,,,18-19,,Shooting foul by T. Rozier (drawn by M. Gortat)
3:15.0,,,18-20,1,M. Gortat makes free throw 1 of 2
3:15.0,,,18-20,,T. Frazier enters the game for T. Satoransky
3:15.0,G. Monroe enters the game for K. Irving,,18-20,,
3:15.0,D. Theis enters the game for A. Horford,,18-20,,
3:15.0,,,18-20,,M. Gortat misses free throw 2 of 2
3:13.0,Defensive rebound by M. Morris,,18-20,,
2:59.0,T. Rozier makes 3-pt shot from 26 ft,3,21-20,,
2:37.0,,,21-20,,Turnover by T. Frazier (bad pass; steal by G. Monroe)
2:22.0,G. Monroe misses 2-pt shot from 8 ft,,21-20,,
2:19.0,,,21-20,,Defensive rebound by O. Porter
2:13.0,,,21-22,2,O. Porter makes 2-pt shot from 19 ft (assist by M. Gortat)
1:59.0,,,21-22,,Violation by M. Gortat (kicked ball)
1:59.0,,,21-22,,I. Mahinmi enters the game for M. Gortat
1:59.0,,,21-22,,M. Scott enters the game for O. Porter
1:46.0,Turnover by T. Rozier (bad pass; steal by T. Frazier),,21-22,,
1:41.0,,,21-24,2,M. Scott makes 2-pt shot at rim (assist by B. Beal)
1:23.0,J. Tatum misses 2-pt shot from 19 ft,,21-24,,
1:19.0,,,21-24,,Defensive rebound by K. Oubre
1:14.0,,,21-24,,K. Oubre misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by T. Rozier,,21-24,,
1:01.0,Shooting foul by K. Oubre (drawn by M. Morris),,21-24,,
1:01.0,M. Morris makes free throw 1 of 2,1,22-24,,
1:01.0,J. Brown enters the game for J. Tatum,,22-24,,
1:01.0,M. Morris makes free throw 2 of 2,1,23-24,,
0:48.0,,,23-24,,Turnover by I. Mahinmi (bad pass)
0:36.0,J. Brown makes 3-pt shot from 25 ft,3,26-24,,
0:32.0,,,26-27,3,B. Beal makes 3-pt shot from 27 ft (assist by M. Scott)
0:20.0,M. Morris misses 2-pt shot from 16 ft,,26-27,,
0:17.0,,,26-27,,Defensive rebound by Team
0:04.0,,,26-27,,B. Beal misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by J. Brown,,26-27,,
0:01.0,J. Brown misses 3-pt shot from 47 ft,,26-27,,
0:01.0,,,26-27,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,G. Monroe misses 2-pt shot from 4 ft,,26-27,,
11:44.0,,,26-27,,Defensive rebound by Team
11:44.0,Loose ball foul by G. Monroe,,26-27,,
11:44.0,Technical foul by G. Monroe,,26-27,,
11:44.0,,,26-28,1,J. Meeks makes technical free throw
11:34.0,,,26-28,,T. Frazier misses 2-pt shot from 3 ft (block by D. Theis)
