time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. J. Henson (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. J. Henson (K. Lowry gains possession)
11:45.0,,,0-2,2,K. Lowry makes 2-pt shot from 10 ft (assist by J. Valanciunas)
11:32.0,E. Bledsoe makes 2-pt shot from 8 ft,2,2-2,,
11:18.0,,,2-2,,K. Lowry misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by G. Antetokounmpo,,2-2,,
11:08.0,,,2-2,,Personal foul by K. Lowry (drawn by G. Antetokounmpo)
10:58.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,4-2,,
10:41.0,,,4-2,,S. Ibaka misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by J. Henson,,4-2,,
10:35.0,Turnover by E. Bledsoe (bad pass),,4-2,,
10:27.0,,,4-4,2,D. DeRozan makes 2-pt shot from 16 ft
10:11.0,Shooting foul by D. DeRozan (drawn by K. Middleton),,4-4,,
10:11.0,K. Middleton makes free throw 1 of 3,1,5-4,,
10:11.0,K. Middleton makes free throw 2 of 3,1,6-4,,
10:11.0,K. Middleton makes free throw 3 of 3,1,7-4,,
9:50.0,,,7-7,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
9:33.0,E. Bledsoe makes 2-pt shot from 12 ft,2,9-7,,
9:16.0,,,9-10,3,S. Ibaka makes 3-pt shot from 25 ft
9:03.0,K. Middleton misses 2-pt shot from 10 ft,,9-10,,
9:00.0,,,9-10,,Defensive rebound by J. Valanciunas
8:53.0,Personal foul by T. Snell (drawn by S. Ibaka),,9-10,,
8:43.0,,,9-10,,D. DeRozan misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
8:40.0,Defensive rebound by G. Antetokounmpo,,9-10,,
8:37.0,T. Snell misses 3-pt shot from 24 ft,,9-10,,
8:37.0,,,9-10,,Defensive rebound by S. Ibaka
8:35.0,Personal foul by K. Middleton (drawn by S. Ibaka),,9-10,,
8:22.0,,,9-12,2,S. Ibaka makes 2-pt shot from 3 ft (assist by K. Lowry)
8:05.0,J. Henson misses 2-pt shot from 6 ft,,9-12,,
8:03.0,,,9-12,,Defensive rebound by S. Ibaka
7:47.0,,,9-12,,Shooting foul by T. Snell (drawn by D. DeRozan)
7:47.0,,,9-13,1,D. DeRozan makes free throw 1 of 2
7:47.0,S. Brown enters the game for T. Snell,,9-13,,
7:47.0,,,9-14,1,D. DeRozan makes free throw 2 of 2
7:29.0,E. Bledsoe makes 2-pt shot from 2 ft,2,11-14,,
7:12.0,,,11-14,,O. Anunoby misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by E. Bledsoe,,11-14,,
7:04.0,J. Henson misses 2-pt shot from 1 ft,,11-14,,
7:02.0,Offensive rebound by J. Henson,,11-14,,
7:00.0,J. Henson makes 2-pt shot from 1 ft,2,13-14,,
6:56.0,,,13-14,,Toronto full timeout
6:48.0,,,13-14,,Turnover by D. DeRozan (bad pass)
6:32.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,13-14,,
6:29.0,,,13-14,,Defensive rebound by J. Valanciunas
6:23.0,,,13-16,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry)
6:05.0,S. Brown misses 3-pt shot from 23 ft,,13-16,,
6:02.0,,,13-16,,Defensive rebound by J. Valanciunas
5:53.0,,,13-18,2,S. Ibaka makes 2-pt shot from 15 ft (assist by J. Valanciunas)
5:33.0,Turnover by E. Bledsoe (bad pass; steal by D. DeRozan),,13-18,,
5:29.0,,,13-18,,D. DeRozan misses 2-pt shot from 2 ft (block by S. Brown)
5:29.0,,,13-18,,Offensive rebound by Team
5:29.0,J. Parker enters the game for G. Antetokounmpo,,13-18,,
5:21.0,,,13-18,,J. Valanciunas misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by S. Brown,,13-18,,
5:12.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,15-18,,
5:02.0,Personal foul by K. Middleton (drawn by D. DeRozan),,15-18,,
5:02.0,,,15-18,,C. Miles enters the game for O. Anunoby
5:02.0,S. Kilpatrick enters the game for K. Middleton,,15-18,,
4:54.0,,,15-18,,K. Lowry misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by Team,,15-18,,
4:37.0,J. Henson misses 2-pt shot from 1 ft (block by S. Ibaka),,15-18,,
4:37.0,Offensive rebound by J. Henson,,15-18,,
4:31.0,J. Parker misses 2-pt shot from 3 ft,,15-18,,
4:29.0,,,15-18,,Defensive rebound by S. Ibaka
4:20.0,,,15-20,2,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry)
4:10.0,Turnover by J. Parker (bad pass),,15-20,,
4:03.0,,,15-20,,D. DeRozan misses 2-pt shot from 3 ft
4:01.0,Defensive rebound by J. Henson,,15-20,,
3:59.0,Shooting foul by C. Miles (drawn by J. Parker),,15-20,,
3:59.0,J. Parker makes free throw 1 of 2,1,16-20,,
3:59.0,J. Parker makes free throw 2 of 2,1,17-20,,
3:46.0,,,17-20,,D. DeRozan misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by J. Parker,,17-20,,
3:31.0,J. Henson makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,19-20,,
3:16.0,,,19-23,3,C. Miles makes 3-pt shot from 22 ft (assist by K. Lowry)
3:16.0,,,19-23,,Shooting foul by S. Kilpatrick (drawn by C. Miles)
3:16.0,,,19-23,,F. VanVleet enters the game for K. Lowry
3:16.0,,,19-23,,P. Siakam enters the game for S. Ibaka
3:16.0,,,19-23,,J. Poeltl enters the game for J. Valanciunas
3:16.0,T. Maker enters the game for J. Henson,,19-23,,
3:16.0,,,19-24,1,C. Miles makes free throw 1 of 1
2:55.0,S. Kilpatrick misses 3-pt shot from 24 ft,,19-24,,
2:52.0,,,19-24,,Defensive rebound by D. DeRozan
2:43.0,,,19-24,,Shooting foul by T. Maker (drawn by P. Siakam)
2:43.0,Milwaukee full timeout,,19-24,,
2:43.0,G. Antetokounmpo enters the game for E. Bledsoe,,19-24,,
2:43.0,,,19-24,,P. Siakam misses free throw 1 of 2
2:43.0,,,19-24,,Offensive rebound by Team
2:43.0,,,19-25,1,P. Siakam makes free throw 2 of 2
2:31.0,S. Kilpatrick misses 3-pt shot from 22 ft,,19-25,,
2:28.0,,,19-25,,Defensive rebound by D. DeRozan
2:12.0,,,19-27,2,F. VanVleet makes 2-pt shot from 2 ft
1:49.0,Shooting foul by F. VanVleet (drawn by S. Kilpatrick),,19-27,,
1:49.0,S. Kilpatrick makes free throw 1 of 2,1,20-27,,
1:49.0,S. Kilpatrick makes free throw 2 of 2,1,21-27,,
1:32.0,,,21-29,2,J. Poeltl makes 2-pt shot from 2 ft (assist by D. DeRozan)
1:19.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,23-29,,
1:06.0,,,23-29,,Turnover by F. VanVleet (bad pass; steal by S. Brown)
