time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (T. Harris gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (T. Harris gains possession)
11:35.0,,,0-0,,A. Bradley misses 2-pt shot from 4 ft
11:30.0,Defensive rebound by J. Richardson,,0-0,,
11:11.0,Turnover by G. Dragic (turnover),,0-0,,
10:56.0,,,0-0,,T. Harris misses 3-pt shot from 28 ft
10:53.0,Defensive rebound by D. Waiters,,0-0,,
10:45.0,J. Richardson makes 3-pt shot from 24 ft (assist by D. Waiters),3,3-0,,
10:31.0,,,3-0,,A. Bradley misses 2-pt shot from 19 ft
10:28.0,Defensive rebound by J. Winslow,,3-0,,
10:23.0,J. Richardson misses 3-pt shot from 25 ft,,3-0,,
10:18.0,,,3-0,,Defensive rebound by A. Drummond
10:06.0,,,3-0,,Turnover by A. Bradley (bad pass; steal by H. Whiteside)
9:58.0,Turnover by D. Waiters (bad pass; steal by A. Bradley),,3-0,,
9:53.0,,,3-0,,A. Bradley misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by D. Waiters,,3-0,,
9:47.0,J. Richardson misses 3-pt shot from 25 ft,,3-0,,
9:43.0,,,3-0,,Defensive rebound by T. Harris
9:33.0,Loose ball foul by D. Waiters (drawn by T. Harris),,3-0,,
9:23.0,,,3-0,,R. Jackson misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by H. Whiteside,,3-0,,
9:05.0,D. Waiters misses 3-pt shot from 26 ft,,3-0,,
9:02.0,,,3-0,,Defensive rebound by R. Bullock
8:50.0,,,3-2,2,R. Jackson makes 2-pt shot from 13 ft
8:35.0,D. Waiters makes 3-pt shot from 24 ft (assist by J. Winslow),3,6-2,,
8:21.0,Personal foul by D. Waiters (drawn by A. Drummond),,6-2,,
8:21.0,T. Johnson enters the game for D. Waiters,,6-2,,
8:12.0,,,6-4,2,R. Jackson makes 2-pt shot from 16 ft
7:54.0,G. Dragic makes 3-pt shot from 26 ft (assist by T. Johnson),3,9-4,,
7:39.0,,,9-6,2,A. Bradley makes 2-pt shot from 3 ft (assist by A. Drummond)
7:39.0,,,9-6,,Shooting foul by H. Whiteside (drawn by A. Bradley)
7:39.0,,,9-7,1,A. Bradley makes free throw 1 of 1
7:14.0,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic),3,12-7,,
7:02.0,,,12-10,3,T. Harris makes 3-pt shot from 26 ft (assist by A. Bradley)
6:40.0,H. Whiteside makes 2-pt shot from 4 ft,2,14-10,,
6:29.0,,,14-10,,Shooting foul by J. Richardson (drawn by R. Jackson)
6:29.0,,,14-10,,Detroit full timeout
6:29.0,,,14-11,1,R. Jackson makes free throw 1 of 2
6:29.0,,,14-12,1,R. Jackson makes free throw 2 of 2
6:07.0,J. Winslow misses 3-pt shot from 23 ft,,14-12,,
6:03.0,,,14-12,,Defensive rebound by A. Drummond
5:51.0,,,14-14,2,A. Bradley makes 2-pt shot from 18 ft
5:34.0,G. Dragic makes 2-pt shot from 11 ft,2,16-14,,
5:15.0,,,16-14,,T. Harris misses 2-pt shot from 3 ft
5:11.0,Defensive rebound by H. Whiteside,,16-14,,
5:07.0,G. Dragic makes 2-pt shot from 1 ft,2,18-14,,
4:53.0,,,18-14,,R. Bullock misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by H. Whiteside,,18-14,,
4:37.0,G. Dragic makes 3-pt shot from 22 ft (assist by T. Johnson),3,21-14,,
4:23.0,,,21-14,,A. Bradley misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by H. Whiteside,,21-14,,
4:16.0,G. Dragic misses 3-pt shot from 26 ft,,21-14,,
4:14.0,,,21-14,,Defensive rebound by A. Drummond
4:07.0,,,21-14,,Shooting foul by J. Winslow (drawn by T. Harris)
4:07.0,,,21-15,1,T. Harris makes free throw 1 of 2
4:07.0,,,21-15,,L. Kennard enters the game for R. Bullock
4:07.0,K. Olynyk enters the game for J. Richardson,,21-15,,
4:07.0,J. Johnson enters the game for H. Whiteside,,21-15,,
4:07.0,,,21-16,1,T. Harris makes free throw 2 of 2
3:56.0,J. Johnson misses 3-pt shot from 23 ft,,21-16,,
3:52.0,,,21-16,,Defensive rebound by T. Harris
3:50.0,,,21-19,3,R. Jackson makes 3-pt shot from 28 ft
3:32.0,G. Dragic misses 2-pt shot at rim,,21-19,,
3:30.0,,,21-19,,Defensive rebound by A. Drummond
3:24.0,,,21-19,,A. Bradley misses 2-pt shot from 2 ft
3:19.0,,,21-19,,Offensive rebound by A. Bradley
3:19.0,,,21-21,2,A. Bradley makes 2-pt shot at rim
3:16.0,Miami full timeout,,21-21,,
3:16.0,,,21-21,,I. Smith enters the game for R. Jackson
3:16.0,,,21-21,,L. Galloway enters the game for A. Bradley
3:11.0,T. Johnson misses 3-pt shot from 26 ft,,21-21,,
3:09.0,,,21-21,,Defensive rebound by A. Drummond
3:03.0,,,21-24,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
2:48.0,G. Dragic makes 2-pt shot from 19 ft,2,23-24,,
2:21.0,,,23-24,,A. Drummond misses 2-pt shot from 3 ft
2:17.0,Defensive rebound by T. Johnson,,23-24,,
2:06.0,J. Winslow misses 2-pt shot from 3 ft,,23-24,,
2:03.0,,,23-24,,Defensive rebound by T. Harris
