time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (S. Curry gains possession)
11:40.0,A. Iguodala misses 2-pt shot from 1 ft,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:32.0,Z. Pachulia misses 2-pt shot from 2 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by D. Jordan
11:16.0,,,0-0,,D. Jordan misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by Z. Pachulia,,0-0,,
10:59.0,Z. Pachulia misses 2-pt shot at rim (block by B. Griffin),,0-0,,
10:59.0,,,0-0,,Defensive rebound by Team
10:39.0,,,0-2,2,C. Williams makes 2-pt shot from 19 ft (assist by J. Evans)
10:27.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,2-2,,
10:05.0,,,2-4,2,C. Williams makes 2-pt shot from 17 ft (assist by B. Griffin)
9:53.0,K. Thompson misses 2-pt shot from 9 ft,,2-4,,
9:51.0,,,2-4,,Defensive rebound by D. Jordan
9:47.0,,,2-4,,J. Evans misses 2-pt shot from 2 ft (block by K. Thompson)
9:47.0,,,2-4,,Offensive rebound by Team
9:43.0,,,2-4,,S. Dekker misses 2-pt shot from 9 ft
9:40.0,Defensive rebound by Z. Pachulia,,2-4,,
9:24.0,K. Thompson misses 3-pt shot from 26 ft,,2-4,,
9:20.0,,,2-4,,Defensive rebound by B. Griffin
9:10.0,,,2-4,,C. Williams misses 3-pt shot from 24 ft
9:04.0,,,2-4,,Offensive rebound by D. Jordan
9:04.0,,,2-6,2,D. Jordan makes 2-pt shot at rim
8:48.0,,,2-6,,Personal foul by S. Dekker (drawn by D. Green)
8:41.0,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Jordan),,2-6,,
8:40.0,,,2-6,,Defensive rebound by Team
8:13.0,,,2-6,,S. Dekker misses 2-pt shot from 4 ft
8:11.0,Defensive rebound by Z. Pachulia,,2-6,,
8:06.0,Shooting foul by B. Griffin (drawn by S. Curry),,2-6,,
8:06.0,S. Curry makes free throw 1 of 2,1,3-6,,
8:06.0,S. Curry makes free throw 2 of 2,1,4-6,,
7:52.0,,,4-6,,Turnover by B. Griffin (bad pass; steal by D. Green)
