time,Dallas,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Motley (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Motley (B. Simmons gains possession)
11:45.0,,,0-0,,J. Redick misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by D. Powell,,0-0,,
11:30.0,D. Smith misses 3-pt shot from 28 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. Saric
11:20.0,,,0-0,,Shooting foul by J. Motley (drawn by B. Simmons)
11:20.0,,,0-0,,B. Simmons misses free throw 1 of 2
11:20.0,,,0-0,,Offensive rebound by Team
11:20.0,,,0-1,1,B. Simmons makes free throw 2 of 2
11:07.0,H. Barnes misses 3-pt shot from 29 ft,,0-1,,
11:03.0,,,0-1,,Defensive rebound by R. Covington
10:58.0,,,0-1,,B. Simmons misses 2-pt shot from 10 ft
10:56.0,,,0-1,,Offensive rebound by A. Johnson
10:53.0,,,0-1,,J. Redick misses 2-pt shot from 21 ft
10:53.0,Defensive rebound by J. Motley,,0-1,,
10:42.0,J. Motley makes 2-pt shot at rim (assist by D. Smith),2,2-1,,
10:32.0,,,2-1,,R. Covington misses 2-pt shot from 15 ft
10:30.0,Defensive rebound by D. Smith,,2-1,,
10:23.0,D. Smith misses 2-pt shot from 18 ft,,2-1,,
10:21.0,,,2-1,,Defensive rebound by D. Saric
10:00.0,,,2-3,2,A. Johnson makes 2-pt shot from 1 ft (assist by B. Simmons)
9:37.0,D. Finney-Smith misses 3-pt shot from 23 ft,,2-3,,
9:35.0,,,2-3,,Defensive rebound by B. Simmons
9:27.0,,,2-3,,J. Redick misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by H. Barnes,,2-3,,
9:11.0,J. Motley misses 2-pt shot from 22 ft,,2-3,,
9:07.0,,,2-3,,Defensive rebound by R. Covington
8:59.0,,,2-5,2,D. Saric makes 2-pt shot from 3 ft
8:39.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by J. Motley),2,4-5,,
8:25.0,,,4-5,,Turnover by B. Simmons (bad pass; steal by D. Smith)
8:16.0,D. Smith makes 2-pt shot from 6 ft,2,6-5,,
8:07.0,,,6-5,,Shooting foul by D. Finney-Smith (drawn by B. Simmons)
8:07.0,,,6-5,,B. Simmons misses free throw 1 of 2
8:07.0,,,6-5,,Offensive rebound by Team
8:07.0,,,6-6,1,B. Simmons makes free throw 2 of 2
7:48.0,D. Powell makes 3-pt shot from 24 ft (assist by D. Finney-Smith),3,9-6,,
7:38.0,,,9-6,,D. Saric misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by Team,,9-6,,
7:23.0,H. Barnes misses 3-pt shot from 27 ft,,9-6,,
7:21.0,,,9-6,,Defensive rebound by B. Simmons
7:14.0,,,9-6,,D. Saric misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by D. Powell,,9-6,,
6:50.0,J. Motley misses 2-pt shot from 3 ft,,9-6,,
6:48.0,,,9-6,,Defensive rebound by R. Covington
6:38.0,,,9-6,,Shooting foul by D. Smith (drawn by J. Redick)
6:38.0,,,9-6,,Philadelphia full timeout
6:38.0,,,9-7,1,J. Redick makes free throw 1 of 2
