time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Gasol (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. M. Gasol (D. Lillard gains possession)
11:38.0,,,0-0,,A. Aminu misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by M. Gasol,,0-0,,
11:21.0,M. Gasol makes 2-pt shot from 16 ft (assist by W. Selden),2,2-0,,
11:07.0,,,2-2,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
10:43.0,D. Brooks misses 2-pt shot from 17 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by C. McCollum
10:34.0,Personal foul by J. Martin (drawn by D. Lillard),,2-2,,
10:27.0,,,2-5,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
10:19.0,Memphis full timeout,,2-5,,
10:05.0,,,2-5,,Personal foul by J. Nurkic (drawn by D. Brooks)
9:56.0,D. Brooks misses 3-pt shot from 25 ft,,2-5,,
9:54.0,,,2-5,,Defensive rebound by C. McCollum
9:46.0,,,2-7,2,E. Turner makes 2-pt shot from 1 ft (assist by C. McCollum)
9:37.0,J. Martin makes 2-pt shot at rim (assist by K. Simmons),2,4-7,,
9:18.0,,,4-7,,D. Lillard misses 3-pt shot from 27 ft
9:16.0,,,4-7,,Offensive rebound by D. Lillard
9:12.0,Personal foul by W. Selden (drawn by E. Turner),,4-7,,
9:12.0,M. Teague enters the game for K. Simmons,,4-7,,
9:04.0,,,4-7,,A. Aminu misses 3-pt shot from 22 ft
9:01.0,,,4-7,,Offensive rebound by A. Aminu
8:56.0,,,4-7,,Turnover by C. McCollum (lost ball; steal by M. Gasol)
8:51.0,D. Brooks misses 2-pt shot from 1 ft,,4-7,,
8:49.0,,,4-7,,Defensive rebound by J. Nurkic
8:40.0,,,4-9,2,E. Turner makes 2-pt shot from 10 ft
8:18.0,M. Gasol misses 2-pt shot from 17 ft,,4-9,,
8:15.0,,,4-9,,Defensive rebound by A. Aminu
8:08.0,,,4-11,2,D. Lillard makes 2-pt shot from 21 ft
7:41.0,J. Martin misses 2-pt shot at rim,,4-11,,
7:39.0,,,4-11,,Defensive rebound by A. Aminu
7:33.0,,,4-11,,C. McCollum misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by M. Gasol,,4-11,,
7:26.0,Shooting foul by J. Nurkic (drawn by J. Martin),,4-11,,
7:26.0,J. Martin misses free throw 1 of 2,,4-11,,
7:26.0,Offensive rebound by Team,,4-11,,
7:26.0,,,4-11,,M. Leonard enters the game for J. Nurkic
7:26.0,J. Martin makes free throw 2 of 2,1,5-11,,
7:10.0,,,5-13,2,E. Turner makes 2-pt shot from 12 ft
7:10.0,,,5-13,,Shooting foul by D. Brooks (drawn by E. Turner)
7:10.0,,,5-14,1,E. Turner makes free throw 1 of 1
6:57.0,,,5-14,,Personal foul by M. Leonard (drawn by M. Gasol)
6:49.0,W. Selden makes 2-pt shot from 1 ft,2,7-14,,
6:28.0,,,7-14,,Shooting foul by M. Teague (drawn by A. Aminu)
6:28.0,,,7-14,,A. Aminu misses free throw 1 of 2
6:28.0,,,7-14,,Offensive rebound by Team
