time,Sacramento,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. W. Cauley-Stein (M. Morris gains possession),,,,Jump ball: M. Gortat vs. W. Cauley-Stein (M. Morris gains possession)
11:44.0,,,0-0,,M. Gortat misses 2-pt shot from 13 ft
11:40.0,Defensive rebound by Z. Randolph,,0-0,,
11:27.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by M. Morris
11:11.0,,,0-0,,M. Morris misses 2-pt shot from 20 ft
11:07.0,Defensive rebound by W. Cauley-Stein,,0-0,,
10:56.0,Z. Randolph misses 2-pt shot from 17 ft,,0-0,,
10:53.0,,,0-0,,Defensive rebound by J. Wall
10:49.0,,,0-0,,B. Beal misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by W. Cauley-Stein,,0-0,,
10:29.0,G. Hill makes 3-pt shot from 25 ft (assist by G. Temple),3,3-0,,
10:11.0,,,3-3,3,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal)
9:47.0,Z. Randolph makes 2-pt shot from 10 ft,2,5-3,,
9:40.0,Personal foul by G. Temple (drawn by B. Beal),,5-3,,
9:33.0,,,5-5,2,O. Porter makes 2-pt shot from 8 ft (assist by B. Beal)
9:21.0,G. Temple makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,8-5,,
9:08.0,,,8-5,,Turnover by B. Beal (lost ball; steal by Z. Randolph)
9:00.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,8-5,,
8:58.0,,,8-5,,Defensive rebound by O. Porter
8:51.0,,,8-8,3,J. Wall makes 3-pt shot from 25 ft
8:27.0,B. Bogdanovic makes 2-pt shot from 16 ft (assist by W. Cauley-Stein),2,10-8,,
8:05.0,,,10-8,,B. Beal misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by G. Hill,,10-8,,
7:59.0,,,10-8,,Personal foul by B. Beal (drawn by G. Hill)
7:56.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by G. Temple),3,13-8,,
7:43.0,,,13-10,2,J. Wall makes 2-pt shot from 1 ft
7:22.0,Z. Randolph misses 2-pt shot from 18 ft,,13-10,,
7:18.0,Offensive rebound by B. Bogdanovic,,13-10,,
7:18.0,B. Bogdanovic misses 2-pt shot at rim,,13-10,,
7:17.0,,,13-10,,Defensive rebound by B. Beal
7:14.0,,,13-10,,M. Morris misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by Z. Randolph,,13-10,,
6:51.0,W. Cauley-Stein makes 2-pt shot from 10 ft (assist by G. Hill),2,15-10,,
6:36.0,,,15-12,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
6:19.0,Z. Randolph makes 2-pt shot from 12 ft,2,17-12,,
6:08.0,,,17-12,,O. Porter misses 2-pt shot from 22 ft
6:05.0,Defensive rebound by Z. Randolph,,17-12,,
5:47.0,B. Bogdanovic misses 2-pt shot from 1 ft,,17-12,,
5:45.0,,,17-12,,Defensive rebound by M. Gortat
5:39.0,,,17-14,2,J. Wall makes 2-pt shot at rim
5:22.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,17-14,,
5:17.0,Offensive rebound by Z. Randolph,,17-14,,
5:17.0,Z. Randolph makes 2-pt shot at rim,2,19-14,,
5:03.0,,,19-14,,M. Morris misses 3-pt shot from 23 ft
5:02.0,Defensive rebound by Team,,19-14,,
5:02.0,,,19-14,,Loose ball foul by M. Gortat (drawn by W. Cauley-Stein)
5:02.0,,,19-14,,Washington full timeout
4:46.0,Turnover by W. Cauley-Stein (lost ball; steal by M. Morris),,19-14,,
4:41.0,,,19-14,,O. Porter misses 3-pt shot from 25 ft
4:37.0,,,19-14,,Offensive rebound by M. Morris
4:25.0,,,19-14,,M. Morris misses 3-pt shot from 22 ft
4:21.0,Defensive rebound by W. Cauley-Stein,,19-14,,
4:00.0,G. Hill misses 2-pt shot from 8 ft,,19-14,,
3:57.0,Offensive rebound by W. Cauley-Stein,,19-14,,
3:56.0,G. Hill makes 3-pt shot from 22 ft (assist by W. Cauley-Stein),3,22-14,,
3:56.0,Shooting foul by M. Morris (drawn by G. Hill),,22-14,,
3:56.0,,,22-14,,M. Scott enters the game for M. Morris
3:56.0,G. Hill makes free throw 1 of 1,1,23-14,,
3:40.0,,,23-17,3,M. Scott makes 3-pt shot from 23 ft (assist by B. Beal)
3:29.0,,,23-17,,Personal foul by M. Scott (drawn by Z. Randolph)
3:29.0,,,23-17,,K. Oubre enters the game for O. Porter
3:18.0,W. Cauley-Stein makes 2-pt shot from 5 ft,2,25-17,,
3:05.0,,,25-17,,Turnover by J. Wall (lost ball; steal by G. Temple)
2:59.0,G. Hill makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,27-17,,
2:46.0,,,27-19,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
2:46.0,,,27-19,,Shooting foul by B. Bogdanovic (drawn by M. Gortat)
2:46.0,Sacramento full timeout,,27-19,,
2:46.0,,,27-19,,T. Frazier enters the game for J. Wall
2:46.0,D. Fox enters the game for W. Cauley-Stein,,27-19,,
2:46.0,K. Koufos enters the game for G. Temple,,27-19,,
2:46.0,,,27-20,1,M. Gortat makes free throw 1 of 1
2:32.0,Z. Randolph misses 2-pt shot from 15 ft,,27-20,,
2:28.0,,,27-20,,Defensive rebound by K. Oubre
2:08.0,,,27-20,,B. Beal misses 2-pt shot from 3 ft
2:05.0,,,27-20,,Offensive rebound by M. Gortat
2:04.0,,,27-22,2,M. Gortat makes 2-pt shot from 2 ft
1:49.0,,,27-22,,Personal foul by T. Frazier (drawn by G. Hill)
1:49.0,G. Hill makes free throw 1 of 2,1,28-22,,
1:49.0,,,28-22,,I. Mahinmi enters the game for B. Beal
1:49.0,,,28-22,,J. Meeks enters the game for M. Gortat
1:49.0,B. Hield enters the game for B. Bogdanovic,,28-22,,
1:49.0,G. Hill makes free throw 2 of 2,1,29-22,,
1:30.0,,,29-25,3,M. Scott makes 3-pt shot from 25 ft (assist by K. Oubre)
1:11.0,G. Hill makes 2-pt shot from 19 ft (assist by Z. Randolph),2,31-25,,
0:51.0,,,31-25,,K. Oubre misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by B. Hield,,31-25,,
0:42.0,D. Fox misses 3-pt shot from 23 ft,,31-25,,
0:38.0,,,31-25,,Defensive rebound by K. Oubre
0:30.0,,,31-25,,K. Oubre misses 2-pt shot from 10 ft
0:28.0,Defensive rebound by Z. Randolph,,31-25,,
0:14.0,G. Hill misses 2-pt shot from 19 ft,,31-25,,
0:12.0,Offensive rebound by Team,,31-25,,
0:12.0,,,31-25,,Loose ball foul by I. Mahinmi (drawn by Z. Randolph)
0:12.0,Z. Randolph makes free throw 1 of 2,1,32-25,,
0:12.0,J. Jackson enters the game for K. Koufos,,32-25,,
0:12.0,Z. Randolph misses free throw 2 of 2,,32-25,,
0:11.0,,,32-25,,Defensive rebound by I. Mahinmi
0:01.0,,,32-25,,T. Frazier misses 2-pt shot from 3 ft
0:01.0,,,32-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,B. Hield misses 2-pt shot from 3 ft,,32-25,,
11:36.0,,,32-25,,Defensive rebound by I. Mahinmi
11:34.0,,,32-25,,J. Meeks misses 3-pt shot from 26 ft
11:31.0,,,32-25,,Offensive rebound by I. Mahinmi
11:29.0,,,32-27,2,J. Meeks makes 2-pt shot from 1 ft (assist by I. Mahinmi)
11:16.0,J. Jackson misses 2-pt shot from 11 ft,,32-27,,
11:13.0,,,32-27,,Defensive rebound by K. Oubre
11:04.0,,,32-29,2,J. Meeks makes 2-pt shot from 8 ft (assist by T. Frazier)
10:47.0,B. Hield misses 2-pt shot from 20 ft,,32-29,,
10:44.0,,,32-29,,Defensive rebound by K. Oubre
10:36.0,,,32-29,,K. Oubre misses 2-pt shot from 1 ft
10:34.0,,,32-29,,Offensive rebound by K. Oubre
10:33.0,,,32-31,2,K. Oubre makes 2-pt shot from 1 ft
10:27.0,Sacramento full timeout,,32-31,,
10:18.0,Turnover by D. Fox (lost ball; steal by K. Oubre),,32-31,,
10:13.0,,,32-31,,Shooting foul by K. Koufos (drawn by K. Oubre)
10:13.0,,,32-31,,K. Oubre misses free throw 1 of 2
10:13.0,,,32-31,,Offensive rebound by Team
10:13.0,,,32-32,1,K. Oubre makes free throw 2 of 2
10:04.0,Shooting foul by I. Mahinmi (drawn by K. Koufos),,32-32,,
10:04.0,K. Koufos misses free throw 1 of 2,,32-32,,
10:04.0,Offensive rebound by Team,,32-32,,
10:04.0,K. Koufos misses free throw 2 of 2,,32-32,,
10:01.0,,,32-32,,Defensive rebound by I. Mahinmi
9:50.0,,,32-32,,I. Mahinmi misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by S. Labissiere,,32-32,,
9:40.0,K. Koufos makes 2-pt shot from 1 ft (assist by B. Hield),2,34-32,,
9:20.0,,,34-34,2,M. Scott makes 2-pt shot from 17 ft (assist by T. Frazier)
9:13.0,D. Fox misses 2-pt shot from 14 ft,,34-34,,
9:10.0,,,34-34,,Defensive rebound by M. Scott
9:08.0,,,34-36,2,K. Oubre makes 2-pt shot at rim (assist by T. Frazier)
8:52.0,S. Labissiere misses 2-pt shot from 17 ft,,34-36,,
8:50.0,,,34-36,,Defensive rebound by M. Scott
8:40.0,,,34-38,2,M. Scott makes 2-pt shot from 16 ft (assist by K. Oubre)
8:38.0,Sacramento full timeout,,34-38,,
8:21.0,Turnover by D. Fox (bad pass; steal by K. Oubre),,34-38,,
8:17.0,,,34-40,2,K. Oubre makes 2-pt shot at rim
8:02.0,S. Labissiere makes 2-pt shot from 11 ft,2,36-40,,
7:41.0,,,36-40,,Turnover by M. Scott (out of bounds lost ball)
7:22.0,,,36-40,,Personal foul by M. Scott (drawn by S. Labissiere)
7:17.0,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Fox),2,38-40,,
7:07.0,,,38-40,,J. Meeks misses 3-pt shot from 29 ft
