time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Davis (P. Tucker gains possession),,,,Jump ball: C. Capela vs. A. Davis (P. Tucker gains possession)
11:43.0,,,0-0,,J. Harden misses 2-pt shot from 8 ft (block by D. Liggins)
11:43.0,,,0-0,,Offensive rebound by Team
11:40.0,Jump ball: J. Harden vs. D. Liggins (J. Harden gains possession),,,,Jump ball: J. Harden vs. D. Liggins (J. Harden gains possession)
11:36.0,,,0-2,2,J. Harden makes 2-pt shot at rim
11:21.0,,,0-2,,Personal foul by P. Tucker (drawn by J. Holiday)
11:06.0,A. Davis misses 2-pt shot from 13 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by C. Capela
11:00.0,,,0-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:54.0,Turnover by J. Holiday (bad pass),,0-4,,
10:31.0,,,0-4,,J. Harden misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by D. Miller,,0-4,,
10:23.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,2-4,,
9:58.0,,,2-4,,P. Tucker misses 3-pt shot from 22 ft
9:56.0,Defensive rebound by J. Holiday,,2-4,,
9:52.0,E. Moore misses 2-pt shot from 18 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by C. Capela
9:36.0,,,2-6,2,J. Harden makes 2-pt shot from 15 ft
9:24.0,A. Davis misses 2-pt shot from 9 ft,,2-6,,
9:23.0,,,2-6,,Defensive rebound by T. Ariza
9:18.0,,,2-8,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:06.0,J. Holiday misses 2-pt shot from 1 ft,,2-8,,
9:04.0,Offensive rebound by J. Holiday,,2-8,,
9:03.0,J. Holiday misses 2-pt shot from 1 ft (block by C. Capela),,2-8,,
9:00.0,,,2-8,,Defensive rebound by T. Ariza
8:57.0,,,2-8,,E. Gordon misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by E. Moore,,2-8,,
8:39.0,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore),2,4-8,,
8:29.0,,,4-8,,Shooting foul by D. Liggins (drawn by J. Harden)
8:29.0,,,4-9,1,J. Harden makes free throw 1 of 2
8:29.0,,,4-10,1,J. Harden makes free throw 2 of 2
8:20.0,Turnover by J. Holiday (lost ball; steal by C. Capela),,4-10,,
8:10.0,,,4-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:05.0,New Orleans full timeout,,4-12,,
7:47.0,A. Davis misses 2-pt shot from 15 ft,,4-12,,
7:45.0,,,4-12,,Defensive rebound by E. Gordon
7:36.0,,,4-14,2,J. Harden makes 2-pt shot from 1 ft
7:17.0,Turnover by J. Holiday (turnover),,4-14,,
7:07.0,,,4-17,3,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon)
6:51.0,D. Miller misses 3-pt shot from 26 ft,,4-17,,
6:50.0,,,4-17,,Defensive rebound by C. Capela
6:42.0,,,4-17,,J. Harden misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by A. Davis,,4-17,,
6:27.0,E. Moore makes 2-pt shot from 19 ft,2,6-17,,
6:09.0,,,6-17,,T. Ariza misses 2-pt shot from 5 ft (block by A. Davis)
6:07.0,Defensive rebound by D. Miller,,6-17,,
5:56.0,J. Holiday misses 2-pt shot from 22 ft,,6-17,,
5:54.0,,,6-17,,Defensive rebound by E. Gordon
5:48.0,,,6-19,2,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon)
5:38.0,E. Moore misses 2-pt shot from 6 ft,,6-19,,
5:32.0,,,6-19,,Defensive rebound by P. Tucker
5:31.0,,,6-19,,Turnover by P. Tucker (lost ball; steal by E. Moore)
5:26.0,D. Miller misses 2-pt shot from 2 ft (block by C. Capela),,6-19,,
5:26.0,Offensive rebound by D. Miller,,6-19,,
5:26.0,A. Davis misses 2-pt shot from 3 ft (block by C. Capela),,6-19,,
5:26.0,Offensive rebound by Team,,6-19,,
5:26.0,,,6-19,,G. Green enters the game for P. Tucker
5:26.0,,,6-19,,J. Johnson enters the game for C. Capela
5:26.0,,,6-19,,R. Anderson enters the game for E. Gordon
5:26.0,I. Clark enters the game for E. Moore,,6-19,,
5:16.0,A. Davis misses 2-pt shot from 20 ft,,6-19,,
5:14.0,,,6-19,,Defensive rebound by J. Harden
5:06.0,,,6-19,,T. Ariza misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by I. Clark,,6-19,,
4:57.0,,,6-19,,Personal foul by R. Anderson (drawn by A. Davis)
4:48.0,A. Davis misses 2-pt shot from 3 ft,,6-19,,
4:47.0,,,6-19,,Defensive rebound by T. Ariza
4:41.0,,,6-21,2,J. Harden makes 2-pt shot from 1 ft
4:21.0,D. Miller makes 2-pt shot from 7 ft,2,8-21,,
4:00.0,,,8-21,,J. Harden misses 2-pt shot from 5 ft (block by A. Davis)
4:00.0,,,8-21,,Offensive rebound by Team
4:00.0,S. Hill enters the game for D. Miller,,8-21,,
3:56.0,,,8-21,,J. Harden misses 3-pt shot from 22 ft
3:56.0,,,8-21,,Offensive rebound by Team
3:56.0,,,8-21,,Turnover by Team (shot clock)
3:48.0,I. Clark misses 2-pt shot from 19 ft,,8-21,,
3:47.0,Offensive rebound by Team,,8-21,,
3:47.0,,,8-21,,Loose ball foul by T. Ariza (drawn by A. Davis)
3:47.0,L. Drew enters the game for D. Liggins,,8-21,,
3:36.0,A. Davis misses 2-pt shot from 10 ft,,8-21,,
3:29.0,Offensive rebound by S. Hill,,8-21,,
3:29.0,S. Hill makes 2-pt shot at rim,2,10-21,,
